observation_id,primary_support_cell_id,source_sheet,campaign_year,normalized_segment_label,borehole_depth_m,observed_log10_permeability_m2,current_predicted_log10_permeability_m2,best_single_support_prediction_log10,current_log10_residual_pred_minus_obs,lower_bound_log10_residual_pred_minus_obs,objective_weight,current_row_gaussian_loss,single_support_lower_bound_row_loss,configured_scalar_feasibility_status,residual_sign,recommended_next_action
perm_0151,8051,2024,2024,BCD-A32,0.31,-15.69897000433602,-17.61092437480818,-17.610924374808178,-1.911954370472161,-1.9119543704721575,0.5,3.6555695147675977,3.6555695147675844,observed_inside_configured_scalar_range,underpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
perm_0002,8371,2024_OT,2024,BCD-A32,0.45,-15.69897000433602,-17.397940008672037,-17.397940008672037,-1.698970004336017,-1.698970004336017,0.5,2.8864990756335254,2.8864990756335254,observed_inside_configured_scalar_range,underpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
perm_0152,8371,2024,2024,BCD-A32,0.45,-15.69897000433602,-17.397940008672037,-17.397940008672037,-1.698970004336017,-1.698970004336017,0.5,2.8864990756335254,2.8864990756335254,observed_inside_configured_scalar_range,underpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
perm_0193,4096,2024,2024,BCD-A33,0.31,-19.096910013008056,-17.897940008672037,-17.897940008672037,1.1989700043360187,1.1989700043360187,1.0,2.8750581425950257,2.8750581425950257,observed_inside_configured_scalar_range,overpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
perm_0022,5749,2024_OT,2024,BCD-A33,1.25,-16.045757490560675,-17.63380312008852,-17.633803120088515,-1.5880456295278442,-1.5880456295278407,0.5,2.521888921462487,2.521888921462476,observed_inside_configured_scalar_range,underpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
perm_0188,5749,2024,2024,BCD-A33,1.25,-16.045757490560675,-17.63380312008852,-17.633803120088515,-1.5880456295278442,-1.5880456295278407,0.5,2.521888921462487,2.521888921462476,observed_inside_configured_scalar_range,underpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
perm_0014,3600,2024_OT,2024,BCD-A33,0.45,-16.096910013008056,-17.596910013008056,-17.596910013008056,-1.5,-1.5,0.5,2.25,2.25,observed_inside_configured_scalar_range,underpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
perm_0180,3600,2024,2024,BCD-A33,0.45,-16.096910013008056,-17.596910013008056,-17.596910013008056,-1.5,-1.5,0.5,2.25,2.25,observed_inside_configured_scalar_range,underpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
perm_0162,136,2024,2024,BCD-A32,0.15,-17.30102999566398,-16.30102999566398,-16.30102999566398,1.0,1.0,1.0,2.0,2.0,observed_inside_configured_scalar_range,overpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
perm_0197,4649,2024,2024,BCD-A33,0.87,-19.39794000867204,-18.39794000867204,-18.397940008672037,1.0,1.0000000000000036,1.0,2.0,2.000000000000014,observed_inside_configured_scalar_range,overpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
perm_0019,4650,2024_OT,2024,BCD-A33,0.95,-17.221848749616356,-18.610924374808175,-18.610924374808178,-1.3890756251918184,-1.389075625191822,0.5,1.929531092502041,1.929531092502051,observed_inside_configured_scalar_range,underpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
perm_0185,4650,2024,2024,BCD-A33,0.95,-17.221848749616356,-18.610924374808175,-18.610924374808178,-1.3890756251918184,-1.389075625191822,0.5,1.929531092502041,1.929531092502051,observed_inside_configured_scalar_range,underpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
perm_0012,4096,2024_OT,2024,BCD-A33,0.25,-16.69897000433602,-17.897940008672037,-17.897940008672037,-1.1989700043360187,-1.1989700043360187,0.5,1.4375290712975128,1.4375290712975128,observed_inside_configured_scalar_range,underpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
perm_0178,4096,2024,2024,BCD-A33,0.25,-16.69897000433602,-17.897940008672037,-17.897940008672037,-1.1989700043360187,-1.1989700043360187,0.5,1.4375290712975128,1.4375290712975128,observed_inside_configured_scalar_range,underpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
perm_0018,4649,2024_OT,2024,BCD-A33,0.85,-17.397940008672037,-18.39794000867204,-18.397940008672037,-1.0000000000000036,-1.0,0.5,1.000000000000007,1.0,observed_inside_configured_scalar_range,underpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
perm_0184,4649,2024,2024,BCD-A33,0.85,-17.397940008672037,-18.39794000867204,-18.397940008672037,-1.0000000000000036,-1.0,0.5,1.000000000000007,1.0,observed_inside_configured_scalar_range,underpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
perm_0000,136,2024_OT,2024,BCD-A32,0.17,-15.30102999566398,-16.30102999566398,-16.30102999566398,-1.0000000000000018,-1.0000000000000018,0.5,1.0000000000000036,1.0000000000000036,observed_inside_configured_scalar_range,underpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
perm_0150,136,2024,2024,BCD-A32,0.17,-15.30102999566398,-16.30102999566398,-16.30102999566398,-1.0000000000000018,-1.0000000000000018,0.5,1.0000000000000036,1.0000000000000036,observed_inside_configured_scalar_range,underpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
perm_0166,3542,2024,2024,BCD-A32,0.55,-13.0,-13.34948500216801,-13.34948500216801,-0.3494850021680094,-0.3494850021680094,1.0,0.24427953348074705,0.24427953348074705,observed_inside_configured_scalar_range,underpredicts_observation,locally_consistent_under_current_log10_sigma
perm_0174,4298,2024,2024,BCD-A32,1.7,-20.30102999566398,-20.0,-20.0,0.30102999566398125,0.30102999566398125,1.0,0.18123811657891314,0.18123811657891314,observed_inside_configured_scalar_range,overpredicts_observation,locally_consistent_under_current_log10_sigma
perm_0191,3864,2024,2024,BCD-A33,3.3,-20.69897000433602,-20.39794000867204,-20.397940008672037,0.3010299956639777,0.30102999566398125,1.0,0.18123811657890887,0.18123811657891314,observed_inside_configured_scalar_range,overpredicts_observation,locally_consistent_under_current_log10_sigma
perm_0003,3542,2024_OT,2024,BCD-A32,0.59,-13.69897000433602,-13.34948500216801,-13.34948500216801,0.34948500216801115,0.34948500216801115,0.5,0.12213976674037476,0.12213976674037476,observed_inside_configured_scalar_range,overpredicts_observation,locally_consistent_under_current_log10_sigma
perm_0153,3542,2024,2024,BCD-A32,0.59,-13.69897000433602,-13.34948500216801,-13.34948500216801,0.34948500216801115,0.34948500216801115,0.5,0.12213976674037476,0.12213976674037476,observed_inside_configured_scalar_range,overpredicts_observation,locally_consistent_under_current_log10_sigma
perm_0024,3864,2024_OT,2024,BCD-A33,3.3,-20.096910013008056,-20.39794000867204,-20.397940008672037,-0.3010299956639848,-0.30102999566398125,0.5,0.09061905828945871,0.09061905828945657,observed_inside_configured_scalar_range,underpredicts_observation,locally_consistent_under_current_log10_sigma
perm_0190,3864,2024,2024,BCD-A33,3.3,-20.096910013008056,-20.39794000867204,-20.397940008672037,-0.3010299956639848,-0.30102999566398125,0.5,0.09061905828945871,0.09061905828945657,observed_inside_configured_scalar_range,underpredicts_observation,locally_consistent_under_current_log10_sigma
perm_0009,4298,2024_OT,2024,BCD-A32,1.7,-19.69897000433602,-20.0,-20.0,-0.30102999566398125,-0.30102999566398125,0.5,0.09061905828945657,0.09061905828945657,observed_inside_configured_scalar_range,underpredicts_observation,locally_consistent_under_current_log10_sigma
perm_0159,4298,2024,2024,BCD-A32,1.7,-19.69897000433602,-20.0,-20.0,-0.30102999566398125,-0.30102999566398125,0.5,0.09061905828945657,0.09061905828945657,observed_inside_configured_scalar_range,underpredicts_observation,locally_consistent_under_current_log10_sigma
perm_0161,3671,2024,2024,BCD-A32,3.3,-20.30102999566398,-20.41195437047216,-20.41195437047216,-0.11092437480817807,-0.11092437480817807,1.0,0.02460843385317034,0.02460843385317034,observed_inside_configured_scalar_range,underpredicts_observation,locally_consistent_under_current_log10_sigma
perm_0175,5948,2024,2024,BCD-A32,2.5,-20.522878745280337,-20.41195437047216,-20.41195437047216,0.11092437480817807,0.11092437480817807,1.0,0.02460843385317034,0.02460843385317034,observed_inside_configured_scalar_range,overpredicts_observation,locally_consistent_under_current_log10_sigma
perm_0176,3671,2024,2024,BCD-A32,3.3,-20.522878745280337,-20.41195437047216,-20.41195437047216,0.11092437480817807,0.11092437480817807,1.0,0.02460843385317034,0.02460843385317034,observed_inside_configured_scalar_range,overpredicts_observation,locally_consistent_under_current_log10_sigma
perm_0010,5948,2024_OT,2024,BCD-A32,2.5,-20.30102999566398,-20.41195437047216,-20.41195437047216,-0.11092437480817807,-0.11092437480817807,0.5,0.01230421692658517,0.01230421692658517,observed_inside_configured_scalar_range,underpredicts_observation,locally_consistent_under_current_log10_sigma
perm_0160,5948,2024,2024,BCD-A32,2.5,-20.30102999566398,-20.41195437047216,-20.41195437047216,-0.11092437480817807,-0.11092437480817807,0.5,0.01230421692658517,0.01230421692658517,observed_inside_configured_scalar_range,underpredicts_observation,locally_consistent_under_current_log10_sigma
perm_0013,9359,2024_OT,2024,BCD-A33,0.35,-16.096910013008056,-16.096910013008056,-16.096910013008056,0.0,0.0,0.5,0.0,0.0,observed_inside_configured_scalar_range,zero_residual,locally_consistent_under_current_log10_sigma
perm_0017,6194,2024_OT,2024,BCD-A33,0.75,-14.154901959985745,-14.154901959985745,-14.154901959985745,0.0,0.0,0.5,0.0,0.0,observed_inside_configured_scalar_range,zero_residual,locally_consistent_under_current_log10_sigma
perm_0020,5034,2024_OT,2024,BCD-A33,1.05,-14.69897000433602,-14.69897000433602,-14.69897000433602,0.0,0.0,0.5,0.0,0.0,observed_inside_configured_scalar_range,overpredicts_observation,locally_consistent_under_current_log10_sigma
perm_0164,6995,2024,2024,BCD-A32,0.35,-19.045757490560675,-19.045757490560675,-19.045757490560675,0.0,0.0,1.0,0.0,0.0,observed_inside_configured_scalar_range,zero_residual,locally_consistent_under_current_log10_sigma
perm_0168,5292,2024,2024,BCD-A32,0.75,-19.096910013008056,-19.096910013008056,-19.096910013008056,0.0,0.0,1.0,0.0,0.0,observed_inside_configured_scalar_range,zero_residual,locally_consistent_under_current_log10_sigma
perm_0171,5046,2024,2024,BCD-A32,1.05,-19.69897000433602,-19.69897000433602,-19.69897000433602,0.0,0.0,1.0,0.0,0.0,observed_inside_configured_scalar_range,zero_residual,locally_consistent_under_current_log10_sigma
perm_0179,9359,2024,2024,BCD-A33,0.35,-16.096910013008056,-16.096910013008056,-16.096910013008056,0.0,0.0,0.5,0.0,0.0,observed_inside_configured_scalar_range,zero_residual,locally_consistent_under_current_log10_sigma
perm_0183,6194,2024,2024,BCD-A33,0.75,-14.154901959985745,-14.154901959985745,-14.154901959985745,0.0,0.0,0.5,0.0,0.0,observed_inside_configured_scalar_range,zero_residual,locally_consistent_under_current_log10_sigma
perm_0186,5034,2024,2024,BCD-A33,1.05,-14.69897000433602,-14.69897000433602,-14.69897000433602,0.0,0.0,0.5,0.0,0.0,observed_inside_configured_scalar_range,overpredicts_observation,locally_consistent_under_current_log10_sigma
perm_0192,1781,2024,2024,BCD-A33,0.17,-19.39794000867204,-19.39794000867204,-19.39794000867204,0.0,0.0,1.0,0.0,0.0,observed_inside_configured_scalar_range,zero_residual,locally_consistent_under_current_log10_sigma
perm_0196,3539,2024,2024,BCD-A33,0.73,-19.096910013008056,-19.096910013008056,-19.096910013008056,0.0,0.0,1.0,0.0,0.0,observed_inside_configured_scalar_range,zero_residual,locally_consistent_under_current_log10_sigma
perm_0202,4497,2024,2024,BCD-A33,2.5,-20.39794000867204,-20.39794000867204,-20.39794000867204,0.0,0.0,1.0,0.0,0.0,observed_inside_configured_scalar_range,zero_residual,locally_consistent_under_current_log10_sigma
perm_0203,3864,2024,2024,BCD-A33,3.3,-20.39794000867204,-20.39794000867204,-20.397940008672037,0.0,3.552713678800501e-15,1.0,0.0,2.524354896707238e-29,observed_inside_configured_scalar_range,overpredicts_observation,locally_consistent_under_current_log10_sigma
