run_id,run_kind,series_id,sensor,edz_band_cm,row_count,compared_rows,diagnostic_statuses,date_min,date_max,compared_date_min,compared_date_max,mean_abs_time_delta_days,model_taupe_standardized_pearson,delta_sign_agreement_fraction,standardized_residual_mean,standardized_residual_mae,standardized_residual_rmse,taupe_standardized_min,taupe_standardized_max,model_standardized_min,model_standardized_max,model_theta_min,model_theta_max,model_theta_baseline,model_theta_robust_scale
production_sampler_round5_003_length_0p010m_shift_0p926,production_sampler_round,A3_0-10cm,A3,0-10,212,155,outside_time_tolerance=57; trend_compared=155,2019-12-01,2025-10-10,2019-12-01,2024-03-10,5.0613201911589005,-0.1398042605191812,0.4451612903225806,2.920784731215531,2.9350632935892067,3.354150249300236,-6.005866924144911,1.2894643411186026,-0.6801588504045223,3.9046851632437214,0.0562538566345089,0.0931970987057003,0.0617343643644465,0.0080576878867019
production_sampler_round5_003_length_0p010m_shift_0p926,production_sampler_round,A3_0-50cm,A3,0-50,212,155,outside_time_tolerance=57; trend_compared=155,2019-12-01,2025-10-10,2019-12-01,2024-03-10,5.0613201911589005,-0.182350174554795,0.8516129032258064,0.5797565115795951,1.2299042376368554,1.706175989155973,-3.7850321816080488,1.4555481803622266,-2.761435456237628,2.3168343803295395,0.0756251244770335,0.0941392161748691,0.085692622049986,0.0036457479207821
production_sampler_round5_003_length_0p010m_shift_0p926,production_sampler_round,A3_10-20cm,A3,10-20,212,155,outside_time_tolerance=57; trend_compared=155,2019-12-01,2025-10-10,2019-12-01,2024-03-10,5.0613201911589005,0.5505991066019204,0.9612903225806452,-0.9239722251072552,1.2122764479594328,1.342183474869326,-3.253046457706223,0.851858982208852,-4.138931738096088,0.2776453463453092,0.0773836851107207,0.0935679633065902,0.0925505488158818,0.0036644391995065
production_sampler_round5_003_length_0p010m_shift_0p926,production_sampler_round,A3_20-30cm,A3,20-30,212,155,outside_time_tolerance=57; trend_compared=155,2019-12-01,2025-10-10,2019-12-01,2024-03-10,5.0613201911589005,0.5523751334991184,1.0,-1.0493496371201276,1.2047918895996752,1.3621330140836962,-3.0538072782283905,0.4814115268844356,-3.8369847035606366,0.218946306450389,0.0823701221215607,0.0975196180176557,0.0967018215209085,0.0037351463470908
production_sampler_round5_003_length_0p010m_shift_0p926,production_sampler_round,A3_30-40cm,A3,30-40,212,155,outside_time_tolerance=57; trend_compared=155,2019-12-01,2025-10-10,2019-12-01,2024-03-10,5.0613201911589005,0.1341046404270225,1.0,-0.345211034787354,1.0565655687392377,1.2509780030575317,-3.9480415592987774,1.8176301789584537,-3.485986773124125,0.1681184870716323,0.0865744392802794,0.1002231043705623,0.0995951550472297,0.0037351592574406
production_sampler_round5_003_length_0p010m_shift_0p926,production_sampler_round,A3_40-50cm,A3,40-50,212,155,outside_time_tolerance=57; trend_compared=155,2019-12-01,2025-10-10,2019-12-01,2024-03-10,5.0613201911589005,-0.7310157151578875,0.1354838709677419,-3.720922798639292,3.749422361166316,4.191104242859425,-1.2422963201065131,4.88758569606041,-3.39526440844826,0.1327876050701712,0.0906621358117594,0.1022766201431243,0.101839478187003,0.0032920388607825
production_sampler_round5_003_length_0p010m_shift_0p926,production_sampler_round,A4_0-10cm,A4,0-10,212,155,outside_time_tolerance=57; trend_compared=155,2019-12-01,2025-10-10,2019-12-01,2024-03-10,5.0613201911589005,-0.1422618766843588,0.4967741935483871,0.0338816642465779,1.0104071599348765,1.261138027516497,-1.1257117979611122,1.880571499182726,-0.7418012895670482,3.530587170979765,0.0576851829910576,0.0928758942259877,0.0637952348311264,0.0082367770533735
production_sampler_round5_003_length_0p010m_shift_0p926,production_sampler_round,A4_0-50cm,A4,0-50,212,155,outside_time_tolerance=57; trend_compared=155,2019-12-01,2025-10-10,2019-12-01,2024-03-10,5.0613201911589005,-0.0434508818074546,0.3354838709677419,-1.9059680119108828,2.096404754453293,2.4244755410809846,-2.3252467102105383,2.6202317521555165,-2.955638482240333,2.189198764145561,0.0767326874703414,0.0943455034497027,0.0868510088469382,0.0034233961417795
production_sampler_round5_003_length_0p010m_shift_0p926,production_sampler_round,A4_10-20cm,A4,10-20,212,155,outside_time_tolerance=57; trend_compared=155,2019-12-01,2025-10-10,2019-12-01,2024-03-10,5.0613201911589005,0.4183296403335255,0.9741935483870968,-0.828449870463069,1.164895673434287,1.4195478394397203,-4.355263797683731,1.7946116466055737,-4.179250806963958,0.2810567966035414,0.0773620895866563,0.0937990756083766,0.0927633338955434,0.0036851687109143
production_sampler_round5_003_length_0p010m_shift_0p926,production_sampler_round,A4_20-30cm,A4,20-30,212,155,outside_time_tolerance=57; trend_compared=155,2019-12-01,2025-10-10,2019-12-01,2024-03-10,5.0613201911589005,0.1158895658886847,0.0451612903225806,-3.596247171519414,3.648627591353098,3.7714753270051737,-3.8764701714033074,3.1625728267221827,-3.4188454030611704,0.1830123657071242,0.084238362389084,0.0988340291958739,0.0980924153724338,0.0040522607342657
production_sampler_round5_003_length_0p010m_shift_0p926,production_sampler_round,A4_30-40cm,A4,30-40,212,155,outside_time_tolerance=57; trend_compared=155,2019-12-01,2025-10-10,2019-12-01,2024-03-10,5.0613201911589005,0.7610981252838607,0.9483870967741936,1.244640985258156,1.3520390989993714,1.58505795757401,-6.504903791978946,0.7909779151789939,-3.410984392286735,0.1545248047260827,0.0881544682445786,0.1010376257302329,0.1004792854526663,0.0036132728241026
production_sampler_round5_003_length_0p010m_shift_0p926,production_sampler_round,A4_40-50cm,A4,40-50,212,155,outside_time_tolerance=57; trend_compared=155,2019-12-01,2025-10-10,2019-12-01,2024-03-10,5.0613201911589005,0.7950225178019431,1.0,1.7131076854437086,1.721235636220851,1.8593898286820223,-6.139245072765298,0.7586566206866975,-3.4088982038294224,0.1287404354581552,0.0916862875363652,0.1025768749223606,0.1021805486987329,0.0030784906250878
