observation_id,source_sheet,campaign_year,normalized_segment_label,borehole_depth_m,primary_cell_id,centroid_x_m,centroid_y_m,centroid_z_m,observed_log10_permeability_m2,predicted_log10_permeability_m2,log10_residual_pred_minus_obs,abs_log10_residual,objective_weight,configured_scalar_feasibility_status,residual_band,residual_sign,conflict_class,recommended_next_action
perm_0163,2024,2024,BCD-A32,0.25,8051,-1.372583131818535,-0.4611715221291086,0.0,-19.522878745280337,-17.61092437480818,1.911954370472156,1.911954370472156,1.0,observed_inside_configured_scalar_range,abs_1_to_2_log10,overpredicts_observation,large_same_support_observation_conflict,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
perm_0025,2024_CT,2024,BCD-A34,0.15,5828,,,,-17.30102999566398,-19.1568252199496,-1.8557952242856144,1.8557952242856144,0.0,observed_inside_configured_scalar_range,abs_1_to_2_log10,underpredicts_observation,,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
perm_0165,2024,2024,BCD-A32,0.45,8371,-1.5642277604823052,-0.5333953426458528,0.0,-19.096910013008056,-17.397940008672037,1.6989700043360187,1.6989700043360187,1.0,observed_inside_configured_scalar_range,abs_1_to_2_log10,overpredicts_observation,large_same_support_observation_conflict,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
perm_0002,2024_OT,2024,BCD-A32,0.45,8371,-1.5642277604823052,-0.5333953426458528,0.0,-15.69897000433602,-17.397940008672037,-1.698970004336017,1.698970004336017,0.5,observed_inside_configured_scalar_range,abs_1_to_2_log10,underpredicts_observation,large_same_support_observation_conflict,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
perm_0152,2024,2024,BCD-A32,0.45,8371,-1.5642277604823052,-0.5333953426458528,0.0,-15.69897000433602,-17.397940008672037,-1.698970004336017,1.698970004336017,0.5,observed_inside_configured_scalar_range,abs_1_to_2_log10,underpredicts_observation,large_same_support_observation_conflict,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
perm_0036,2024_CT,2024,BCD-A34,1.25,7663,,,,-20.69897000433602,-19.07008544312774,1.6288845612082774,1.6288845612082774,0.0,observed_inside_configured_scalar_range,abs_1_to_2_log10,overpredicts_observation,,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
perm_0022,2024_OT,2024,BCD-A33,1.25,5749,0.7517365625002904,-2.2421498944020555,0.0,-16.045757490560675,-17.63380312008852,-1.5880456295278442,1.5880456295278442,0.5,observed_inside_configured_scalar_range,abs_1_to_2_log10,underpredicts_observation,large_same_support_observation_conflict,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
perm_0188,2024,2024,BCD-A33,1.25,5749,0.7517365625002904,-2.2421498944020555,0.0,-16.045757490560675,-17.63380312008852,-1.5880456295278442,1.5880456295278442,0.5,observed_inside_configured_scalar_range,abs_1_to_2_log10,underpredicts_observation,large_same_support_observation_conflict,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
perm_0200,2024,2024,BCD-A33,1.29,5749,0.7517365625002904,-2.2421498944020555,0.0,-19.22184874961636,-17.63380312008852,1.588045629527841,1.588045629527841,1.0,observed_inside_configured_scalar_range,abs_1_to_2_log10,overpredicts_observation,large_same_support_observation_conflict,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
perm_0051,2024_CT,2024,BCD-A35,3.3,5828,,,,-20.39794000867204,-18.845048236774904,1.5528917718971371,1.5528917718971371,0.0,observed_inside_configured_scalar_range,abs_1_to_2_log10,overpredicts_observation,,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
perm_0014,2024_OT,2024,BCD-A33,0.45,3600,0.4912589966588829,-1.5176807180091867,0.0,-16.096910013008056,-17.596910013008056,-1.5,1.5,0.5,observed_inside_configured_scalar_range,abs_1_to_2_log10,underpredicts_observation,large_same_support_observation_conflict,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
perm_0180,2024,2024,BCD-A33,0.45,3600,0.4912589966588829,-1.5176807180091867,0.0,-16.096910013008056,-17.596910013008056,-1.5,1.5,0.5,observed_inside_configured_scalar_range,abs_1_to_2_log10,underpredicts_observation,large_same_support_observation_conflict,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
perm_0194,2024,2024,BCD-A33,0.45,3600,0.4912589966588829,-1.5176807180091867,0.0,-19.096910013008056,-17.596910013008056,1.5,1.5,1.0,observed_inside_configured_scalar_range,abs_1_to_2_log10,overpredicts_observation,large_same_support_observation_conflict,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
perm_0049,2024_CT,2024,BCD-A35,1.7,5763,,,,-20.39794000867204,-18.898010227571955,1.4999297811000858,1.4999297811000858,0.0,observed_inside_configured_scalar_range,abs_1_to_2_log10,overpredicts_observation,,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
perm_0050,2024_CT,2024,BCD-A35,2.5,5763,,,,-20.39794000867204,-18.898010227571955,1.4999297811000858,1.4999297811000858,0.0,observed_inside_configured_scalar_range,abs_1_to_2_log10,overpredicts_observation,,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
perm_0038,2024_CT,2024,BCD-A34,2.5,7663,,,,-20.522878745280337,-19.07008544312774,1.452793302152596,1.452793302152596,0.0,observed_inside_configured_scalar_range,abs_1_to_2_log10,overpredicts_observation,,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
perm_0019,2024_OT,2024,BCD-A33,0.95,4650,0.665476486551289,-1.953154358070415,0.0,-17.221848749616356,-18.610924374808175,-1.389075625191822,1.389075625191822,0.5,observed_inside_configured_scalar_range,abs_1_to_2_log10,underpredicts_observation,large_same_support_observation_conflict,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
perm_0185,2024,2024,BCD-A33,0.95,4650,0.665476486551289,-1.953154358070415,0.0,-17.221848749616356,-18.610924374808175,-1.389075625191822,1.389075625191822,0.5,observed_inside_configured_scalar_range,abs_1_to_2_log10,underpredicts_observation,large_same_support_observation_conflict,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
