run_id,run_kind,label_group,row_count,fitted_bias_fraction,raw_weighted_bias_fraction,observed_theta_mean,predicted_theta_mean
adaptive_combined_001_length_0p050m,adaptive_combined,NMR seasonal | 4D,5,0.04485804547793991,0.04485804547793991,0.11717910081535166,0.07372119804263741
local_bracketed_003_length_0p031m,local_smooth,NMR seasonal | 4L,8,0.03155670029631397,0.03155670029631397,0.08759295153312814,0.05493411784114455
local_bracketed_003_length_0p031m,local_smooth,NMR seasonal | 4M,8,0.05679410183934176,0.05679410183934176,0.11239079343580044,0.05512896999426843
local_bracketed_003_length_0p031m,local_smooth,NMR seasonal | 4N,5,0.03887306437196552,0.03887306437196552,0.09653728054241559,0.05547196440756411
local_bracketed_003_length_0p031m,local_smooth,NMR seasonal | 4P,5,0.03971581747649257,0.03971581747649257,0.09803444372219518,0.05555933639783182
local_bracketed_003_length_0p031m,local_smooth,NMR seasonal | 4Q,5,0.07180582203737912,0.07180582203737912,0.11816400130095821,0.05502321891426766
local_bracketed_003_length_0p031m,local_smooth,NMR seasonal | 4R,5,0.02533327460728212,0.02533327460728212,0.08542143230590786,0.060088157698625744
local_bracketed_003_length_0p031m,local_smooth,NMR seasonal | 4S,5,0.062377360607789055,0.062377360607789055,0.11308461433025534,0.05358490719091408
local_bracketed_003_length_0p031m,local_smooth,NMR weekly | 4E,84,0.049404691326719416,0.049404691326719416,0.10652978672888767,0.05712509540216826
local_bracketed_003_length_0p031m,local_smooth,NMR weekly | 4S,21,0.0680772430431556,0.0680772430431556,0.12003813664148744,0.05196089359833182
local_refined_001_length_0p013m,local_smooth,NMR seasonal | 4D,5,0.04171158112669591,0.04171158112669591,0.11717910081535166,0.0768977482715413
local_refined_001_length_0p013m,local_smooth,NMR seasonal | 4E,5,0.05644679011186722,0.05644679011186722,0.11164098656910655,0.055194196457239345
local_refined_001_length_0p013m,local_smooth,NMR seasonal | 4F,5,0.07575711101979517,0.07575711101979517,0.12895223067350797,0.05321298828818394
local_refined_001_length_0p013m,local_smooth,NMR seasonal | 4G,5,0.07237121101109527,0.07237121101109527,0.12556283647090566,0.0531916254598104
local_refined_001_length_0p013m,local_smooth,NMR seasonal | 4H,5,0.06727016958275801,0.06727016958275801,0.1223882986985233,0.055312543925358434
local_refined_001_length_0p013m,local_smooth,NMR seasonal | 4I,5,0.0709191059748251,0.0709191059748251,0.1249263844989508,0.05428765050431916
local_refined_001_length_0p013m,local_smooth,NMR seasonal | 4J,8,0.023760751459421362,0.023760751459421362,0.07729376871719223,0.053533017257770876
local_refined_001_length_0p013m,local_smooth,NMR seasonal | 4K,8,0.05890882946987554,0.05890882946987554,0.11401047442260642,0.05590459471920583
local_refined_001_length_0p013m,local_smooth,NMR seasonal | 4L,8,0.03155456830542492,0.03155456830542492,0.08759295153312814,0.054936304416585674
local_refined_001_length_0p013m,local_smooth,NMR seasonal | 4M,8,0.05679223089130526,0.05679223089130526,0.11239079343580044,0.05513085109939881
local_refined_001_length_0p013m,local_smooth,NMR seasonal | 4N,5,0.03887107127257419,0.03887107127257419,0.09653728054241559,0.055473998781263203
local_refined_001_length_0p013m,local_smooth,NMR seasonal | 4P,5,0.03971251044234435,0.03971251044234435,0.09803444372219518,0.0555627861597164
local_refined_001_length_0p013m,local_smooth,NMR seasonal | 4Q,5,0.07180193522981948,0.07180193522981948,0.11816400130095821,0.05502758794316488
local_refined_001_length_0p013m,local_smooth,NMR seasonal | 4R,5,0.025346053318180885,0.025346053318180885,0.08542143230590786,0.06007537898772698
local_refined_001_length_0p013m,local_smooth,NMR seasonal | 4S,5,0.06242638879696966,0.06242638879696966,0.11308461433025534,0.05353431463067062
local_refined_001_length_0p013m,local_smooth,NMR weekly | 4E,84,0.04823640897930964,0.04823640897930964,0.10652978672888767,0.05829337774957803
local_refined_001_length_0p013m,local_smooth,NMR weekly | 4S,21,0.06812885024298107,0.06812885024298107,0.12003813664148744,0.05190928639850635
local_refined_002_length_0p019m,local_smooth,NMR seasonal | 4D,5,0.04205705544878482,0.04205705544878482,0.11717910081535166,0.07654895372009747
local_refined_002_length_0p019m,local_smooth,NMR seasonal | 4E,5,0.056557222824010475,0.056557222824010475,0.11164098656910655,0.05508376374509608
local_refined_002_length_0p019m,local_smooth,NMR seasonal | 4F,5,0.07568754213521142,0.07568754213521142,0.12895223067350797,0.05328268816179656
local_refined_002_length_0p019m,local_smooth,NMR seasonal | 4G,5,0.07239913473522164,0.07239913473522164,0.12556283647090566,0.053163701735684035
local_refined_002_length_0p019m,local_smooth,NMR seasonal | 4H,5,0.06728042833021101,0.06728042833021101,0.1223882986985233,0.055301862050575544
local_refined_002_length_0p019m,local_smooth,NMR seasonal | 4I,5,0.07092172120471303,0.07092172120471303,0.1249263844989508,0.054284939004135356
local_refined_002_length_0p019m,local_smooth,NMR seasonal | 4J,8,0.02376147978117335,0.02376147978117335,0.07729376871719223,0.053532288936018885
local_refined_002_length_0p019m,local_smooth,NMR seasonal | 4K,8,0.05890940699241158,0.05890940699241158,0.11401047442260642,0.05590400521417615
local_refined_002_length_0p019m,local_smooth,NMR seasonal | 4L,8,0.03155492960811735,0.03155492960811735,0.08759295153312814,0.054935927047023624
local_refined_002_length_0p019m,local_smooth,NMR seasonal | 4M,8,0.056792568312149044,0.056792568312149044,0.11239079343580044,0.0551305105332727
local_refined_002_length_0p019m,local_smooth,NMR seasonal | 4N,5,0.03887149426474504,0.03887149426474504,0.09653728054241559,0.05547356602415652
local_refined_002_length_0p019m,local_smooth,NMR seasonal | 4P,5,0.03971368430394963,0.03971368430394963,0.09803444372219518,0.055561558534865815
local_refined_002_length_0p019m,local_smooth,NMR seasonal | 4Q,5,0.07180365649109177,0.07180365649109177,0.11816400130095821,0.05502567068725989
local_refined_002_length_0p019m,local_smooth,NMR seasonal | 4R,5,0.025361948094111304,0.025361948094111304,0.08542143230590786,0.060059484211796556
local_refined_002_length_0p019m,local_smooth,NMR seasonal | 4S,5,0.06242690525605652,0.06242690525605652,0.11308461433025534,0.05353360294998134
local_refined_002_length_0p019m,local_smooth,NMR weekly | 4E,84,0.04834499146251352,0.04834499146251352,0.10652978672888767,0.05818479526637418
local_refined_002_length_0p019m,local_smooth,NMR weekly | 4S,21,0.06812826509954013,0.06812826509954013,0.12003813664148744,0.05190987154194728
lower_support_continuous_001_length_0p004m_shift_0p995,lower_support,NMR seasonal | 4D,5,0.04155458993419276,0.04155458993419276,0.11717910081535166,0.0770561708844769
lower_support_continuous_001_length_0p004m_shift_0p995,lower_support,NMR seasonal | 4E,5,0.056381657743653314,0.056381657743653314,0.11164098656910655,0.05525932882545324
lower_support_continuous_001_length_0p004m_shift_0p995,lower_support,NMR seasonal | 4F,5,0.07576143772431732,0.07576143772431732,0.12895223067350797,0.053208653556171236
lower_support_continuous_001_length_0p004m_shift_0p995,lower_support,NMR seasonal | 4G,5,0.07235722200203379,0.07235722200203379,0.12556283647090566,0.05320561446887188
lower_support_continuous_001_length_0p004m_shift_0p995,lower_support,NMR seasonal | 4H,5,0.06726590074653807,0.06726590074653807,0.1223882986985233,0.055316986672959936
lower_support_continuous_001_length_0p004m_shift_0p995,lower_support,NMR seasonal | 4I,5,0.07091807444112747,0.07091807444112747,0.1249263844989508,0.054288719895297856
lower_support_continuous_001_length_0p004m_shift_0p995,lower_support,NMR seasonal | 4J,8,0.023760474007500063,0.023760474007500063,0.07729376871719223,0.053533294709692175
lower_support_continuous_001_length_0p004m_shift_0p995,lower_support,NMR seasonal | 4K,8,0.058908607178365574,0.058908607178365574,0.11401047442260642,0.055904821713125476
lower_support_continuous_001_length_0p004m_shift_0p995,lower_support,NMR seasonal | 4L,8,0.03155441921776359,0.03155441921776359,0.08759295153312814,0.054936460672378284
lower_support_continuous_001_length_0p004m_shift_0p995,lower_support,NMR seasonal | 4M,8,0.05679207302860151,0.05679207302860151,0.11239079343580044,0.05513101077220375
lower_support_continuous_001_length_0p004m_shift_0p995,lower_support,NMR seasonal | 4N,5,0.038870820600454166,0.038870820600454166,0.09653728054241559,0.055474255671107794
lower_support_continuous_001_length_0p004m_shift_0p995,lower_support,NMR seasonal | 4P,5,0.039711526556974894,0.039711526556974894,0.09803444372219518,0.05556381502132997
lower_support_continuous_001_length_0p004m_shift_0p995,lower_support,NMR seasonal | 4Q,5,0.07180038433044533,0.07180038433044533,0.11816400130095821,0.055029301625139804
lower_support_continuous_001_length_0p004m_shift_0p995,lower_support,NMR seasonal | 4R,5,0.025324786730422738,0.025324786730422738,0.08542143230590786,0.06009664557548512
lower_support_continuous_001_length_0p004m_shift_0p995,lower_support,NMR seasonal | 4S,5,0.06241670999394463,0.06241670999394463,0.11308461433025534,0.05354446450913476
lower_support_continuous_001_length_0p004m_shift_0p995,lower_support,NMR weekly | 4E,84,0.048172660653572945,0.048172660653572945,0.10652978672888767,0.05835712607531473
lower_support_continuous_001_length_0p004m_shift_0p995,lower_support,NMR weekly | 4S,21,0.06811990177329943,0.06811990177329943,0.12003813664148744,0.05191823486818798
