run_id,run_kind,offset_fraction,active_nmr_rows,nmr_offset_objective,nmr_offset_rmse_normalized_residual,direct_permeability_objective,combined_offset_objective,corrected_rows_above_fixed_phi,corrected_negative_free_water_rows,corrected_nonphysical_rows,combined_offset_rank
local_bracketed_002_length_0p013m_shift_1p125,local_smooth,0.015,192,1654.2224148402188,4.1510822068370254,277.42946417328494,1931.6518790135037,39,0,39,55.0
local_bracketed_002_length_0p013m_shift_1p125,local_smooth,0.02,192,1335.2433820556448,3.7294483814293904,277.42946417328494,1612.6728462289298,35,0,35,55.0
local_bracketed_002_length_0p013m_shift_1p125,local_smooth,0.03,192,836.5957463897896,2.9520398074710377,277.42946417328494,1114.0252105630746,12,1,13,56.0
local_bracketed_002_length_0p013m_shift_1p125,local_smooth,0.04,192,523.6953505949908,2.335628374127861,277.42946417328494,801.1248147682758,10,1,11,56.0
local_bracketed_002_length_0p013m_shift_1p125,local_smooth,0.05,192,396.54219467124886,2.032399532857367,277.42946417328494,673.9716588445337,2,1,3,60.0
local_bracketed_002_length_0p013m_shift_1p125,local_smooth,0.075,192,891.3034792977662,3.0470331870009333,277.42946417328494,1168.7329434710512,0,13,13,63.0
local_bracketed_002_length_0p013m_shift_1p125,local_smooth,0.1,192,2546.9850131183885,5.150834290350436,277.42946417328494,2824.4144772916734,0,47,47,64.0
local_bracketed_003_length_0p031m,local_smooth,0.0,192,2947.9590409204557,5.541471526251375,271.3861777595394,3219.345218679995,120,0,120,62.0
local_bracketed_003_length_0p031m,local_smooth,0.005,192,2483.811743061739,5.086554726946958,271.3861777595394,2755.1979208212783,84,0,84,62.0
local_bracketed_003_length_0p031m,local_smooth,0.01,192,2066.1012551707877,4.639168899134381,271.3861777595394,2337.487432930327,55,0,55,62.0
local_bracketed_003_length_0p031m,local_smooth,0.015,192,1694.8275772475995,4.2017203535769125,271.3861777595394,1966.2137550071388,39,0,39,62.0
local_bracketed_003_length_0p031m,local_smooth,0.02,192,1369.9907092921758,3.777662842966115,271.3861777595394,1641.3768870517151,35,0,35,62.0
local_bracketed_003_length_0p031m,local_smooth,0.03,192,859.6274032846211,2.9923990572027885,271.3861777595394,1131.0135810441604,12,1,13,61.0
local_bracketed_003_length_0p031m,local_smooth,0.04,192,535.0113371481226,2.360727591646188,271.3861777595394,806.3975149076621,10,1,11,61.0
local_bracketed_003_length_0p031m,local_smooth,0.05,192,396.1425108826811,2.031375024056676,271.3861777595394,667.5286886422205,2,1,3,42.0
local_bracketed_003_length_0p031m,local_smooth,0.075,192,861.6146196549496,2.995855852352111,271.3861777595394,1133.000797414489,0,13,13,1.0
local_bracketed_003_length_0p031m,local_smooth,0.1,192,2488.006977621323,5.090848588420413,271.3861777595394,2759.3931553808625,0,47,47,2.0
local_refined_001_length_0p013m,local_smooth,0.0,192,2889.8463243588903,5.486580526952871,269.8180571059851,3159.6643814648755,120,0,120,40.0
local_refined_001_length_0p013m,local_smooth,0.005,192,2431.5511558563585,5.032758475578153,269.8180571059851,2701.3692129623437,84,0,84,40.0
local_refined_001_length_0p013m,local_smooth,0.01,192,2019.6927973215916,4.586770829109144,269.8180571059851,2289.5108544275768,55,0,55,40.0
local_refined_001_length_0p013m,local_smooth,0.015,192,1654.271248754588,4.151143477950017,269.8180571059851,1924.089305860573,39,0,39,39.0
local_refined_001_length_0p013m,local_smooth,0.02,192,1335.2865101553484,3.729508611169155,269.8180571059851,1605.1045672613336,35,0,35,37.0
local_refined_001_length_0p013m,local_smooth,0.03,192,836.6274628601627,2.952095764841202,269.8180571059851,1106.445519966148,12,1,13,36.0
local_refined_001_length_0p013m,local_smooth,0.04,192,523.7156554360333,2.3356736524591817,269.8180571059851,793.5337125420184,10,1,11,31.0
local_refined_001_length_0p013m,local_smooth,0.05,192,396.5510878829607,2.03242232293902,269.8180571059851,666.3691449889458,2,1,3,8.0
local_refined_001_length_0p013m,local_smooth,0.075,192,891.2838434361518,3.0469996229832246,269.8180571059851,1161.1019005421367,0,13,13,13.0
local_refined_001_length_0p013m,local_smooth,0.1,192,2546.936848183447,5.150785587517459,269.8180571059851,2816.7549052894324,0,47,47,17.0
local_refined_002_length_0p019m,local_smooth,0.0,192,2895.1407969714537,5.4916041950526,269.8180571059851,3164.958854077439,120,0,120,47.0
local_refined_002_length_0p019m,local_smooth,0.005,192,2436.2832685865174,5.037653294386473,269.8180571059851,2706.1013256925025,84,0,84,47.0
local_refined_002_length_0p019m,local_smooth,0.01,192,2023.8625501693464,4.5915031922306255,269.8180571059851,2293.6806072753316,55,0,55,47.0
local_refined_002_length_0p019m,local_smooth,0.015,192,1657.878641719939,4.155667116671244,269.8180571059851,1927.6966988259242,39,0,39,47.0
local_refined_002_length_0p019m,local_smooth,0.02,192,1338.3315432382956,3.733758639146204,269.8180571059851,1608.1496003442808,35,0,35,47.0
local_refined_002_length_0p019m,local_smooth,0.03,192,838.547776178302,2.955481799728088,269.8180571059851,1108.365833284287,12,1,13,45.0
local_refined_002_length_0p019m,local_smooth,0.04,192,524.5112489893646,2.3374470782542254,269.8180571059851,794.3293060953497,10,1,11,39.0
local_refined_002_length_0p019m,local_smooth,0.05,192,396.2219616714841,2.0315787212767873,269.8180571059851,666.0400187774692,2,1,3,5.0
local_refined_002_length_0p019m,local_smooth,0.075,192,888.1429178126555,3.0416260005489106,269.8180571059851,1157.9609749186407,0,13,13,8.0
local_refined_002_length_0p019m,local_smooth,0.1,192,2540.9841231479313,5.144762833807238,269.8180571059851,2810.8021802539165,0,47,47,11.0
lower_support_continuous_001_length_0p004m_shift_0p995,lower_support,0.0,192,2886.548385328189,5.483448946344685,269.8301710605088,3156.3785563886977,120,0,120,14.0
lower_support_continuous_001_length_0p004m_shift_0p995,lower_support,0.005,192,2428.595467769872,5.029698744053779,269.8301710605088,2698.4256388303806,84,0,84,14.0
lower_support_continuous_001_length_0p004m_shift_0p995,lower_support,0.01,192,2017.0793601793198,4.583802279243865,269.8301710605088,2286.9095312398285,55,0,55,14.0
lower_support_continuous_001_length_0p004m_shift_0p995,lower_support,0.015,192,1652.0000625565308,4.148292900093225,269.8301710605088,1921.8302336170395,39,0,39,14.0
lower_support_continuous_001_length_0p004m_shift_0p995,lower_support,0.02,192,1333.357574901506,3.7268138409671097,269.8301710605088,1603.1877459620148,35,0,35,14.0
lower_support_continuous_001_length_0p004m_shift_0p995,lower_support,0.03,192,835.3830294947498,2.949899414766032,269.8301710605088,1105.2132005552587,12,1,13,13.0
lower_support_continuous_001_length_0p004m_shift_0p995,lower_support,0.04,192,523.1557239590499,2.3344247238324267,269.8301710605088,792.9858950195587,10,1,11,13.0
lower_support_continuous_001_length_0p004m_shift_0p995,lower_support,0.05,192,396.67565829440684,2.0327415249444294,269.8301710605088,666.5058293549157,2,1,3,23.0
lower_support_continuous_001_length_0p004m_shift_0p995,lower_support,0.075,192,893.1196685686716,3.05013604301901,269.8301710605088,1162.9498396291804,0,13,13,31.0
lower_support_continuous_001_length_0p004m_shift_0p995,lower_support,0.1,192,2550.4839280370406,5.154371049609497,269.8301710605088,2820.3140990975494,0,47,47,38.0
lower_support_continuous_002_length_0p003m_shift_0p986,lower_support,0.0,192,2886.557259549587,5.483457375322148,269.9101487793646,3156.4674083289515,120,0,120,18.0
lower_support_continuous_002_length_0p003m_shift_0p986,lower_support,0.005,192,2428.6034900314676,5.029707051226852,269.9101487793646,2698.513638810832,84,0,84,18.0
lower_support_continuous_002_length_0p003m_shift_0p986,lower_support,0.01,192,2017.086530481114,4.583810426473256,269.9101487793646,2286.9966792604787,55,0,55,18.0
lower_support_continuous_002_length_0p003m_shift_0p986,lower_support,0.015,192,1652.0063808985235,4.148300832994913,269.9101487793646,1921.916529677888,39,0,39,18.0
lower_support_continuous_002_length_0p003m_shift_0p986,lower_support,0.02,192,1333.3630412836974,3.72682148039119,269.9101487793646,1603.273190063062,35,0,35,18.0
lower_support_continuous_002_length_0p003m_shift_0p986,lower_support,0.03,192,835.3867919573377,2.9499060577509244,269.9101487793646,1105.2969407367023,12,1,13,18.0
