run_id,run_kind,current_combined_objective,direct_permeability_objective,current_nmr_objective_from_summary,current_nmr_rmse_normalized_residual,label_bias_combined_objective,label_bias_objective,label_bias_rmse_normalized_residual,trend_anomaly_combined_objective,trend_anomaly_objective,trend_anomaly_rmse_normalized_residual,active_nmr_rows,active_nmr_label_groups,combined_active_component_count,ert_residual_mae_log10,ert_residual_rmse_log10,ert_residual_mean_log10,ert_compared_rows,ert_compared_output_times,taupe_trend_mae,taupe_trend_rmse,taupe_trend_residual_mean,taupe_compared_rows,taupe_compared_series,active_objective_rank,active_objective_normalized_loss,nmr_label_bias_rank,nmr_label_bias_normalized_loss,nmr_trend_anomaly_rank,nmr_trend_anomaly_normalized_loss,ert_mae_rank,ert_normalized_loss,taupe_mae_rank,taupe_normalized_loss,mean_rank_all_streams,mean_rank_diagnostics_only,worst_rank_all_streams,worst_rank_diagnostics_only,rank_spread_all_streams,mean_normalized_loss_all_streams,mean_normalized_loss_diagnostics_only,top10_stream_count,top10_diagnostic_stream_count,pareto_all_streams,pareto_diagnostics_only
lower_support_loop_002_001_length_0p004m_shift_0p992,lower_support,3156.399181991058,269.84793480410434,2886.551247186954,5.483451664617592,505.6672281168069,235.8192933127025,1.567306916978075,505.6672281168069,235.81929331270257,1.567306916978075,192,17,2,0.2541820627248812,0.2999675432627688,0.1573067431451206,162800,80,1.863248183527256,2.354313069274751,-0.4839940119893099,1860,12,16.0,0.0002334586680147968,24.0,0.00043081819324033375,24.0,0.00043081819324033375,20.0,0.0056005899135204975,33.0,0.9048857246699455,23.4,25.25,33.0,33.0,17.0,0.1823162819275923,0.22783698774248667,0,0,False,False
lower_support_continuous_002_length_0p003m_shift_0p986,lower_support,3156.4674083289515,269.9101487793646,2886.557259549587,5.483457375322148,505.7294017348557,235.81925295549112,1.5673067828666152,505.7294017348557,235.81925295549112,1.5673067828666152,192,17,2,0.2541834851046106,0.2999688247868765,0.1573088542309383,162800,80,1.8632764991010973,2.354345364732945,-0.4840514938104903,1860,12,18.0,0.0005788563788297997,26.0,0.0009369475882467887,26.0,0.0009369475882467887,21.0,0.0056730288335994725,35.0,0.9056536928252119,25.2,27.0,35.0,35.0,17.0,0.18275589464282696,0.22830015420882624,0,0,False,False
continuous_proposed_001_length_0p006m_shift_0p992,continuous_proposed,3156.784121343252,269.84644842990474,2886.937672913347,5.483818690126498,505.662921337777,235.81647290787225,1.5672975444344752,505.662921337777,235.81647290787225,1.5672975444344752,192,17,2,0.2542268611897122,0.3000017925627397,0.1573450942313093,162800,80,1.863263802210975,2.354268273346244,-0.4844723790225097,1860,12,23.0,0.0021822247187145184,23.0,0.0003957585082287057,23.0,0.0003957585082287057,31.0,0.007882085035046064,34.0,0.9053093308377264,26.8,27.75,34.0,34.0,11.0,0.18323303152158887,0.22849573322230746,0,0,False,False
lower_support_loop_001_002_length_0p005m_shift_0p985,lower_support,3156.485265083342,269.92678633517795,2886.558478748164,5.483458533349189,505.7460311612598,235.81924482608184,1.567306755851691,505.7460311612598,235.81924482608184,1.567306755851691,192,17,2,0.254183772463402,0.2999690837186402,0.1573092802937796,162800,80,1.863282206988614,2.3543518749027825,-0.4840630832037783,1860,12,19.0,0.000669256688731073,29.0,0.001072320786547862,29.0,0.001072320786547862,22.0,0.005687663435103007,36.0,0.9058085007719342,27.0,29.0,36.0,36.0,17.0,0.18286201249377282,0.22841020144503324,0,0,False,False
broad_continuous_loop_001_003_length_0p010m,broad_continuous,3157.702128613753,269.8180571059851,2887.884071507768,5.484717471745704,505.6335100965505,235.81545299056535,1.5672941551131117,505.6335100965505,235.8154529905654,1.5672941551131117,192,17,2,0.2543076709365578,0.3000388892844381,0.1574465868095034,162800,80,1.864829253502515,2.355945617376328,-0.4892406298696959,1860,12,32.0,0.0068296617574333624,7.0,0.00015633390667698467,7.0,0.00015633390667698467,41.0,0.011997561846481195,57.0,0.9477671226969191,28.8,28.0,57.0,57.0,50.0,0.19338140282283753,0.24001933808918857,2,2,True,False
lower_support_loop_002_003_length_0p006m_shift_0p975,lower_support,3156.704034323091,270.13460474436965,2886.5694295787216,5.483468934726601,505.9537773590654,235.81917261469573,1.5673065158852666,505.9537773590654,235.81917261469573,1.5673065158852666,192,17,2,0.2541863378887519,0.2999713955260339,0.1573130771668535,162800,80,1.8633329714627165,2.354409775069564,-0.4841661890154997,1860,12,21.0,0.0017767819779244244,32.0,0.00276349560812091,32.0,0.00276349560812091,23.0,0.005818315354593074,37.0,0.9071853225784869,29.0,31.0,37.0,37.0,16.0,0.18406148222544924,0.22963265728733046,0,0,False,False
local_refined_001_length_0p013m,local_smooth,3159.6643814648755,269.8180571059851,2889.8463243588903,5.486580526952871,505.6221068767481,235.80404977076304,1.5672562601923512,505.62210687674815,235.80404977076304,1.5672562601923512,192,17,2,0.2544020734693177,0.3000723422007426,0.1574685246668358,162800,80,1.8647922046546093,2.3556418752910817,-0.490736901223502,1860,12,40.0,0.016763620749571443,3.0,6.350506832341521e-05,3.0,6.350506832387795e-05,46.0,0.016805291726595343,56.0,0.9467622927916338,29.6,27.0,56.0,56.0,53.0,0.19609164308088958,0.24092364866371913,2,2,True,True
production_sampler_round4_004_length_0p003m_shift_0p972,production_sampler_round,3156.764647985251,270.19285301913465,2886.5717949661166,5.483471181429124,506.0120102241656,235.81915720503093,1.5673064646772412,506.0120102241656,235.819157205031,1.5673064646772414,192,17,2,0.2541868883254522,0.2999718916380994,0.1573138903138184,162800,80,1.8633438195932013,2.35442214819871,-0.4841882300079702,1860,12,22.0,0.0020836403086009177,33.0,0.0032375449832034242,33.0,0.0032375449832034242,24.0,0.005846347981408521,39.0,0.9074795429535788,30.2,32.25,39.0,39.0,17.0,0.184376924241999,0.22995024522534854,0,0,False,False
broad_continuous_loop_001_001_length_0p015m,broad_continuous,3161.360041617328,269.8180571059851,2891.5419845113424,5.488189957110311,505.6225434185805,235.80448631259543,1.5672577109151096,505.6225434185805,235.80448631259543,1.5672577109151096,192,17,2,0.2544986629637561,0.3000497022826647,0.1575580481656128,162800,80,1.8639508565406715,2.3541339440761084,-0.4911816543411966,1860,12,45.0,0.025347946877281594,4.0,6.70587726190435e-05,4.0,6.70587726190435e-05,48.0,0.021724399137599208,51.0,0.9239434524382211,30.4,26.75,51.0,51.0,47.0,0.194229983199668,0.2364504922802646,2,2,True,True
production_sampler_round4_003_length_0p006m_shift_0p977,production_sampler_round,3157.026058912853,270.0727984904783,2886.9532604223746,5.483833494560753,505.8891636767138,235.81636518623552,1.5672971864614424,505.88916367671385,235.81636518623557,1.5672971864614424,192,17,2,0.2542306687822703,0.3000052190943498,0.1573508502071227,162800,80,1.8633376857617256,2.3543525329173205,-0.4846224593527354,1860,12,27.0,0.0034070403145727767,31.0,0.0022375026711797075,31.0,0.00223750267118017,32.0,0.008075998015742727,38.0,0.9073131826576698,31.8,33.0,38.0,38.0,11.0,0.18465424526606905,0.2299660465039431,0,0,False,False
