run_id,run_kind,run_dir,ogs_output_count,support_cell_rows,diagnostic_rows,compared_rows,compared_output_times,outside_time_tolerance_output_times,mean_abs_time_delta_days,theta_inside_calibration_rows,ert_residual_mean_log10,ert_residual_mae_log10,ert_residual_rmse_log10,ert_residual_p50_abs_log10,ert_residual_p90_abs_log10,combined_active_objective,combined_active_component_count,direct_permeability_objective,nmr_state_objective,nmr_state_rmse,ert_mae_delta_from_reference,ert_mae_rank,combined_objective_rank
production_sampler_round3_003_length_0p008m_shift_0p934,production_sampler_round,inversion_workflow/runs/production_sampler_round3_003_length_0p008m_shift_0p934,83,2035,162800,162800,80,3,1.350546630968318,162800,0.1574377534197225,0.2543086067616134,0.3000473097925926,0.2455238698966793,0.4382030028081018,3160.012660206409,2,271.96604510856247,2888.0466150978464,5.484871822319026,0.00012841098769117432,42.0,42.0
production_sampler_round3_004_length_0p010m_shift_0p950,production_sampler_round,inversion_workflow/runs/production_sampler_round3_004_length_0p010m_shift_0p950,83,2035,162800,162800,80,3,1.350546630968318,162800,0.1574645002953025,0.2543194765399609,0.3000501357916321,0.2455320448321662,0.4382398308463762,3158.96214224312,2,271.035882236753,2887.926260006366,5.484757534148584,0.00013928076603869632,43.0,36.0
production_sampler_round3_005_basis_019_det_l_0p0050_s_1p000,production_sampler_round,inversion_workflow/runs/production_sampler_round3_005_basis_019_det_l_0p0050_s_1p000,83,2035,162800,162800,80,3,1.350546630968318,162800,0.1573039668532844,0.2541801957738999,0.2999658616045462,0.2453246570292515,0.4381918993439331,3156.3614696727627,2,269.8180571059851,2886.543412566777,5.483444223074636,-2.2315482794965646e-14,15.0,9.0
production_sampler_round3_006_basis_014_det_l_0p0035_s_1p000,production_sampler_round,inversion_workflow/runs/production_sampler_round3_006_basis_014_det_l_0p0035_s_1p000,83,2035,162800,162800,80,3,1.350546630968318,162800,0.1573039668532738,0.2541801957738903,0.2999658616045389,0.2453246570292508,0.4381918993439313,3156.3614696725817,2,269.8180571059851,2886.5434125665965,5.483444223074463,-3.191891195797325e-14,13.0,8.0
production_sampler_round4_001_length_0p029m_shift_0p954,production_sampler_round,inversion_workflow/runs/production_sampler_round4_001_length_0p029m_shift_0p954,83,2035,162800,162800,80,3,1.350546630968318,162800,0.1573517189658226,0.2548093828770709,0.3001960592913793,0.2460192076287348,0.4370661781223965,3169.222932457921,2,272.10573144525995,2897.117201012661,5.4934783313684985,0.0006291871031486873,54.0,54.0
production_sampler_round4_002_basis_009_det_l_0p0025_s_1p000,production_sampler_round,inversion_workflow/runs/production_sampler_round4_002_basis_009_det_l_0p0025_s_1p000,83,2035,162800,162800,80,3,1.350546630968318,162800,0.1573039668532849,0.2541801957738991,0.2999658616045459,0.245324657029252,0.4381918993439306,3156.361469672941,2,269.8180571059851,2886.543412566956,5.483444223074806,-2.3092638912203256e-14,14.0,12.0
production_sampler_round4_003_length_0p006m_shift_0p977,production_sampler_round,inversion_workflow/runs/production_sampler_round4_003_length_0p006m_shift_0p977,83,2035,162800,162800,80,3,1.350546630968318,162800,0.1573508502071227,0.2542306687822703,0.3000052190943498,0.2453892441482539,0.4382128152811546,3157.026058912853,2,270.0727984904783,2886.9532604223746,5.483833494560753,5.0473008348095316e-05,32.0,27.0
production_sampler_round4_004_length_0p003m_shift_0p972,production_sampler_round,inversion_workflow/runs/production_sampler_round4_004_length_0p003m_shift_0p972,83,2035,162800,162800,80,3,1.350546630968318,162800,0.1573138903138184,0.2541868883254522,0.2999718916380994,0.2453525233278608,0.4381980455773904,3156.764647985251,2,270.19285301913465,2886.5717949661166,5.483471181429124,6.692551530018687e-06,24.0,22.0
production_sampler_round4_005_length_0p006m_shift_0p970,production_sampler_round,inversion_workflow/runs/production_sampler_round4_005_length_0p006m_shift_0p970,83,2035,162800,162800,80,3,1.350546630968318,162800,0.1573147579269802,0.2541874760199899,0.2999724213727769,0.2453540165953613,0.4381980203274622,3156.834598911425,2,270.26027226962503,2886.5743266417994,5.483473586075291,7.280246067720153e-06,25.0,25.0
production_sampler_round4_006_length_0p004m_shift_0p967,production_sampler_round,inversion_workflow/runs/production_sampler_round4_006_length_0p004m_shift_0p967,83,2035,162800,162800,80,3,1.350546630968318,162800,0.1573159688437492,0.2541882969281145,0.2999731613926972,0.2453550304918037,0.4381979851221864,3156.9412683334226,2,270.36339469849605,2886.5778736349266,5.483476955092497,8.101154192308169e-06,26.0,26.0
production_sampler_round5_001_length_0p009m_shift_0p933,production_sampler_round,inversion_workflow/runs/production_sampler_round5_001_length_0p009m_shift_0p933,83,2035,162800,162800,80,3,1.350546630968318,162800,0.157464412424028,0.2543021606127255,0.3000363086691617,0.2455170892118039,0.4381863819763174,3159.915044111669,2,272.0253102166674,2887.889733895002,5.484722848793085,0.00012196483880327902,38.0,41.0
production_sampler_round5_002_length_0p009m_shift_0p929,production_sampler_round,inversion_workflow/runs/production_sampler_round5_002_length_0p009m_shift_0p929,83,2035,162800,162800,80,3,1.350546630968318,162800,0.1574657096971158,0.2543029583049674,0.3000372566782332,0.2455170861048941,0.4381776891816737,3160.191870096294,2,272.3062065685393,2887.885663527755,5.484718983540917,0.0001227625310452063,39.0,43.0
production_sampler_round5_003_length_0p010m_shift_0p926,production_sampler_round,inversion_workflow/runs/production_sampler_round5_003_length_0p010m_shift_0p926,83,2035,162800,162800,80,3,1.350546630968318,162800,0.1574738924596435,0.2543260048301,0.3000563211095354,0.2455321604885985,0.4382398582874705,3160.4202326708323,2,272.4667094889542,2887.953523181878,5.484783423236621,0.0001458090561777814,44.0,44.0
production_sampler_round5_004_length_0p009m_shift_0p913,production_sampler_round,inversion_workflow/runs/production_sampler_round5_004_length_0p009m_shift_0p913,83,2035,162800,162800,80,3,1.350546630968318,162800,0.1574700987418427,0.254305658641731,0.3000327746507773,0.245506779666351,0.4381782369780722,3161.7621112225206,2,273.4893359862264,2888.2727752362944,5.4850865756198175,0.0001254628678087899,40.0,46.0
production_sampler_round5_005_length_0p004m_shift_1p031,production_sampler_round,inversion_workflow/runs/production_sampler_round5_005_length_0p004m_shift_1p031,83,2035,162800,162800,80,3,1.350546630968318,162800,0.1572933378940892,0.2541730866174347,0.2999594621131285,0.2453165663653924,0.4381924957362562,3156.785440082782,2,270.2712715334339,2886.514168549348,5.483416446193837,-7.109156487494772e-06,2.0,24.0
production_sampler_round5_006_length_0p003m_shift_0p964,production_sampler_round,inversion_workflow/runs/production_sampler_round5_006_length_0p003m_shift_0p964,83,2035,162800,162800,80,3,1.350546630968318,162800,0.1573170509378331,0.2541890311647075,0.2999738233514502,0.2453550096799919,0.4381979536977092,3157.045427945438,2,270.46437127304176,2886.581056672396,5.483479978414327,8.835390785277841e-06,27.0,28.0
regularized_ogs_candidate_001_length_0p025m,regularized_ogs,inversion_workflow/runs/regularized_ogs_candidate_001_length_0p025m,83,2035,162800,162800,80,3,1.350546630968318,162800,0.1574885008211181,0.2548674915010115,0.3002892724079505,0.2461504973010344,0.4372967207147191,3166.611452441739,2,269.97395938140704,2896.637493060332,5.493023504353359,0.0006872957270893099,58.0,49.0
regularized_ogs_candidate_002_length_0p025m_shift_0p750,regularized_ogs,inversion_workflow/runs/regularized_ogs_candidate_002_length_0p025m_shift_0p750,83,2035,162800,162800,80,3,1.350546630968318,162800,0.1578515426733093,0.2550732151323712,0.3005151128333857,0.2462929019860971,0.4378000907277948,3198.4872116155457,2,301.1610315167709,2897.326180098775,5.493676459593845,0.0008930193584489876,59.0,61.0
regularized_ogs_candidate_003_length_0p025m_shift_0p500,regularized_ogs,inversion_workflow/runs/regularized_ogs_candidate_003_length_0p025m_shift_0p500,83,2035,162800,162800,80,3,1.350546630968318,162800,0.1581530997110312,0.2551892684920937,0.3006918626265272,0.2463535166891688,0.4384154954525525,3289.6453640522564,2,392.7190805671872,2896.926283485069,5.493297320641718,0.001009072718171522,62.0,64.0
