rank_by_direct_objective,candidate_id,family,shape_id,shape_description,amplitude_log10,shape_nonzero_cells,shape_mean_weight,shape_p95_weight,affected_cells,objective_support_cell_count,objective_support_cells_with_nonzero_shape,objective_support_cells_with_nonzero_applied,mean_abs_applied_log10_multiplier_objective_support,max_abs_applied_log10_multiplier_objective_support,requested_log10_multiplier_min,requested_log10_multiplier_max,applied_log10_multiplier_min,applied_log10_multiplier_max,mean_abs_applied_log10_multiplier_affected,objective_value,weighted_rmse_log10,weighted_mean_abs_log10_residual,max_abs_log10_residual,used_in_objective_rows,effective_objective_weight,direct_objective_delta_vs_active,mesh,evaluation_csv,summary_json,cap_radius_m,decay_length_m,shell_center_radius_m,shell_width_m,bedding_theta_deg,band_normal_offset_m,band_width_m,corridor_width_m,decay_along_borehole_m,execution_priority_score
190,struct_central_edz_cap_decay_cap_r1p5_d0p2_a1p5,central_edz_cap_decay,cap_r1p5_d0p2,central EDZ cap with full weight inside r <= 1.50 m and exponential decay length 0.20 m,1.5,10055,0.5862290171459255,1.0,10055,30,30,30,0.4388320232525214,1.5,1.553924507481944e-08,1.5,1.5539245035464687e-08,1.5,0.8954349437927097,318.29871891530405,1.7494469425949581,1.3656409510027647,4.079068753871994,75,52.0,48.480661809318974,,,,1.5,0.2,,,,,,,,48.555688984037936
191,struct_bedding_parallel_band_bed_o0p75_w0p25_a2,bedding_parallel_band,bed_o0p75_w0p25,"bedding-parallel band using theta=144 deg, normal offset 0.75 m, width 0.25 m",2.0,6267,0.13734964130127258,0.841819856469243,6267,30,26,26,0.5002858656946549,1.9658861729055443,2.0107076840364012e-08,2.0,2.0107076881105516e-08,2.0,0.4488026096325929,320.84957427789874,1.7564430136968323,1.3677072435051407,4.817063388385122,75,52.0,51.03151717191366,,,,,,,,144.0,0.75,0.25,,,51.07043118496182
192,struct_open_twin_depth_decay_corridor_open_decay_w0p5_d0p9_a1p5,open_twin_depth_decay_corridor,open_decay_w0p5_d0p9,open-twin corridor around BCD-A32/A33 with width 0.50 m and decay along borehole distance 0.90 m,1.5,9314,0.19154020163536345,0.8097117467090826,9314,30,30,30,0.6432053501052197,1.3350461329926846,1.5579204044743724e-08,1.5,1.5579204064130157e-08,1.5,0.3158439109745254,323.29272044721847,1.7631176507692343,1.3899118133920096,4.312429628315151,75,52.0,53.474663341233395,,,,,,,,,,,0.5,0.9,53.53938256078826
193,struct_open_twin_depth_decay_corridor_open_decay_w0p12_d0p9_a1p5,open_twin_depth_decay_corridor,open_decay_w0p12_d0p9,open-twin corridor around BCD-A32/A33 with width 0.12 m and decay along borehole distance 0.90 m,1.5,2970,0.03791999788320335,0.29671912984747845,2970,30,30,30,0.6488773745027233,1.3645572762162685,1.5116220429181342e-08,1.5,1.5116220434793842e-08,1.5,0.19609235268995914,324.6546760646762,1.766827546068083,1.392461234007403,4.315723812749393,75,52.0,54.83661895869113,,,,,,,,,,,0.12,0.9,54.83729942045458
194,struct_open_twin_depth_decay_corridor_open_decay_w0p25_d0p9_a1p5,open_twin_depth_decay_corridor,open_decay_w0p25_d0p9,open-twin corridor around BCD-A32/A33 with width 0.25 m and decay along borehole distance 0.90 m,1.5,5792,0.08661898860263488,0.6264330878876757,5792,30,30,30,0.6520785939593406,1.3567813957646364,1.5044180105616436e-08,1.5,1.504418006460823e-08,1.5,0.2296853826749945,324.855823587335,1.7673748013196746,1.392963959680188,4.323555240553947,75,52.0,55.037766481349934,,,,,,,,,,,0.25,0.9,55.06683490826331
195,struct_bedding_parallel_band_bed_o0p75_w0p5_a1p5,bedding_parallel_band,bed_o0p75_w0p5,"bedding-parallel band using theta=144 deg, normal offset 0.75 m, width 0.50 m",1.5,9490,0.2720091013230711,0.9303327933705999,9490,30,30,30,0.6230267358131002,1.474725904859325,1.5286468654363497e-08,1.5,1.5286468682177607e-08,1.5,0.4402162047071009,329.995105946894,1.7813000490860547,1.3901791024012498,4.722362570567199,75,52.0,60.177048840908924,,,,,,,,144.0,0.75,0.5,,,60.24414992193246
196,struct_central_edz_cap_decay_cap_r1p3_d0p4_a2,central_edz_cap_decay,cap_r1p3_d0p4,central EDZ cap with full weight inside r <= 1.30 m and exponential decay length 0.40 m,2.0,10239,0.5382139285702732,1.0,10239,30,30,30,0.5599642230664015,2.0,2.293402165340341e-06,2.0,2.2934021653760734e-06,2.0,1.0764278571405463,330.1025022849073,1.7815898860204227,1.4110894168658759,4.236152054877966,75,52.0,60.284445178922226,,,,1.3,0.4,,,,,,,,60.362217318207925
197,struct_central_edz_cap_decay_cap_r1p3_d0p8_a1p5,central_edz_cap_decay,cap_r1p3_d0p8,central EDZ cap with full weight inside r <= 1.30 m and exponential decay length 0.80 m,1.5,10239,0.6418133597110091,1.0,10239,30,30,30,0.67618691325768,1.5,0.0016062619450164049,1.5,0.0016062619450164471,1.5,0.9627200395665136,331.12142144103194,1.78433736203342,1.4092123974967774,4.391057071148381,75,52.0,61.303364335046865,,,,1.3,0.8,,,,,,,,61.3805679352447
198,struct_central_edz_shell_shell_r1p45_w0p3_a1p5,central_edz_shell,shell_r1p45_w0p3,annular central EDZ shell centred at r = 1.45 m with width 0.30 m,1.5,8996,0.5688783814322107,0.9963681459089744,8996,30,26,26,0.6362707192667839,1.4999663148814206,1.5125489742037633e-08,1.5,1.5125489742945113e-08,1.5,0.9712226124084713,333.11768465101767,1.7897079817964547,1.3965688198891044,4.585819154016889,75,52.0,63.29962754503259,,,,,,1.45,0.3,,,,,,63.36844365809463
199,struct_central_edz_cap_decay_cap_r1p5_d0p4_a1p5,central_edz_cap_decay,cap_r1p5_d0p4,central EDZ cap with full weight inside r <= 1.50 m and exponential decay length 0.40 m,1.5,10239,0.6438031774325996,1.0,10239,30,30,30,0.6090696227631565,1.5,2.835885699199764e-06,1.5,2.8358856991971576e-06,1.5,0.9657047661488996,333.13814085674323,1.7897629324555144,1.4097631117855312,4.421743756927484,75,52.0,63.32008375075816,,,,1.5,0.4,,,,,,,,63.3973022745889
200,struct_central_edz_shell_shell_r1p45_w0p15_a2,central_edz_shell,shell_r1p45_w0p15,annular central EDZ shell centred at r = 1.45 m with width 0.15 m,2.0,7955,0.3699278336408571,0.9855515393947979,7955,30,22,22,0.6143503715726676,1.9998203520858184,2.1444010692225966e-08,2.0,2.1444010677072067e-08,2.0,0.952279343469198,336.3337978534626,1.798326673748144,1.3747744533516497,4.105483805832549,75,52.0,66.51574074747754,,,,,,1.45,0.15,,,,,,66.57805214419487
201,struct_central_edz_cap_decay_cap_r1p15_d0p8_a2,central_edz_cap_decay,cap_r1p15_d0p8,central EDZ cap with full weight inside r <= 1.15 m and exponential decay length 0.80 m,2.0,10239,0.5519134482870139,0.9503535043083874,10239,30,30,30,0.7488087631698591,1.699175514530927,0.001775517231791578,2.0,0.0017755172317915607,2.0,1.1038268965740279,344.9975067318772,1.8213411867565457,1.439262817939281,4.4900554858373205,75,52.0,75.17944962589212,,,,1.15,0.8,,,,,,,,75.25735876037498
202,struct_open_twin_depth_decay_corridor_open_decay_w0p12_d1p5_a1p5,open_twin_depth_decay_corridor,open_decay_w0p12_d1p5,open-twin corridor around BCD-A32/A33 with width 0.12 m and decay along borehole distance 1.50 m,1.5,2982,0.0422423301105384,0.34570552456715803,2982,30,30,30,0.8573668289981832,1.4208310694146797,1.503330961224198e-08,1.5,1.503330958718518e-08,1.5,0.21756499899487053,354.3931108295854,1.845975640594721,1.462648891349441,4.523516454704158,75,52.0,84.57505372360032,,,,,,,,,,,0.12,1.5,84.57596154859529
203,struct_open_twin_depth_decay_corridor_open_decay_w0p5_d1p5_a1p5,open_twin_depth_decay_corridor,open_decay_w0p5_d1p5,open-twin corridor around BCD-A32/A33 with width 0.50 m and decay along borehole distance 1.50 m,1.5,9334,0.20686838513220193,0.8450000635495911,9334,30,30,30,0.8614582457100243,1.4053081711647455,1.511398108867686e-08,1.5,1.5113981073628947e-08,1.5,0.3403886964916352,354.5568532692435,1.8464020451148402,1.4632115436798114,4.531110959891851,75,52.0,84.73879616325843,,,,,,,,,,,0.5,1.5,84.80383810674088
204,struct_bedding_parallel_band_bed_o0p75_w0p75_a1p5,bedding_parallel_band,bed_o0p75_w0p75,"bedding-parallel band using theta=144 deg, normal offset 0.75 m, width 0.75 m",1.5,10030,0.3763427086484103,0.9526193555113254,10030,30,30,30,0.8121678017921028,1.4739101692330652,1.5043631836000777e-08,1.5,1.504363184446248e-08,1.5,0.5762771177244874,354.7078500469707,1.846795171181091,1.4443941652956835,4.773395407278819,75,52.0,84.88979294098561,,,,,,,,144.0,0.75,0.75,,,84.96297432657424
205,struct_open_twin_depth_decay_corridor_open_decay_w0p25_d1p5_a1p5,open_twin_depth_decay_corridor,open_decay_w0p25_d1p5,open-twin corridor around BCD-A32/A33 with width 0.25 m and decay along borehole distance 1.50 m,1.5,5805,0.09493632999058783,0.6818894567859304,5805,30,30,30,0.8638109146870525,1.4133171830858238,1.5293140330993465e-08,1.5,1.529314028508733e-08,1.5,0.2511765071766483,355.1381859796249,1.8479151089279198,1.4643782678351984,4.533677087601969,75,52.0,85.32012887363982,,,,,,,,,,,0.25,1.5,85.3494347561757
206,struct_central_edz_shell_shell_r1p15_w0p5_a2,central_edz_shell,shell_r1p15_w0p5,annular central EDZ shell centred at r = 1.15 m with width 0.50 m,2.0,9632,0.5859176809124615,0.9966798012593792,9632,30,28,28,0.7319869724001032,1.9331237130293883,2.030599845160793e-08,2.0,2.0305998438083597e-08,2.0,1.2456833751791305,355.59197284353087,1.8490953423320147,1.4582946307782114,4.605726997838133,75,52.0,85.77391573754579,,,,,,1.15,0.5,,,,,,85.84846415442169
207,struct_central_edz_cap_decay_cap_r1p5_d0p2_a2,central_edz_cap_decay,cap_r1p5_d0p2,central EDZ cap with full weight inside r <= 1.50 m and exponential decay length 0.20 m,2.0,10055,0.5862290171459255,1.0,10055,30,30,30,0.5851093643366952,2.0,2.0718993433092588e-08,2.0,2.0718993449929303e-08,2.0,1.1939132583902796,356.0059003225521,1.8501712507083274,1.4470633883180415,4.288243340664003,75,52.0,86.18784321656705,,,,1.5,0.2,,,,,,,,86.264362782859
208,struct_central_edz_cap_decay_cap_r1p5_d0p8_a1p5,central_edz_cap_decay,cap_r1p5_d0p8,central EDZ cap with full weight inside r <= 1.50 m and exponential decay length 0.80 m,1.5,10239,0.7161208496677735,1.0,10239,30,30,30,0.8305557376461663,1.5,0.002062481163259351,1.5,0.0020624811632593667,1.5,1.0741812745016601,359.1177519211504,1.8582398410684609,1.4576464603864117,4.657902380486771,75,52.0,89.29969481516531,,,,1.5,0.8,,,,,,,,89.37745572153781
209,struct_central_edz_shell_shell_r1p45_w0p5_a1p5,central_edz_shell,shell_r1p45_w0p5,annular central EDZ shell centred at r = 1.45 m with width 0.50 m,1.5,9770,0.6763907796264227,0.9986910098754374,9770,30,30,30,0.7862973407515859,1.4999878732701666,1.5318082977819028e-08,1.5,1.5318082999861674e-08,1.5,1.0632764290563204,359.8233984792731,1.8600646144671993,1.4528568333339538,4.807973473307307,75,52.0,90.00534137328805,,,,,,1.45,0.5,,,,,,90.07835775543333
210,struct_open_twin_depth_decay_corridor_open_decay_w0p5_d0p9_a2,open_twin_depth_decay_corridor,open_decay_w0p5_d0p9,open-twin corridor around BCD-A32/A33 with width 0.50 m and decay along borehole distance 0.90 m,2.0,9314,0.19154020163536345,0.8097117467090826,9314,30,30,30,0.8576071334736265,1.7800615106569129,2.07722720596583e-08,2.0,2.0772272057747593e-08,2.0,0.42112521463270053,364.8841252681779,1.8730993578830009,1.4770464646516939,4.59939117325488,75,52.0,95.06606816219283,,,,,,,,,,,0.5,0.9,95.131313788266
