cell_id,material_id,centroid_x,centroid_y,radial_distance_from_origin_m,within_approx_1p5m_center_support,current_log10_k_geom_m2,ert_ready_support_lookup_count,inside_ert_ready_support_cells,bcdma32_nearest_distance_m,bcdma32_distance_along_m,bcdma33_nearest_distance_m,bcdma33_distance_along_m
2657,1,1.2497471540914233,-0.4578719506893327,1.3309825965758029,True,-19.323357789461152,1,True,2.3223456044802107,0.0,1.0672242296733556,0.0
2658,1,0.9541123362726304,-0.5794475684811192,1.1162839400646676,True,-19.107231490473325,0,False,2.0354048645831746,0.0,0.7552847117646975,0.0
2659,1,1.1488940985500633,0.3276315172516357,1.1946966396452998,True,-19.611447347758528,0,False,2.329173384680135,0.0,1.5801916160667049,0.0
2660,1,0.9626472936073892,-0.591365702523111,1.1297801582654405,True,-19.104271674837392,0,False,2.0451133458962376,0.0,0.7549708831097054,0.0
2661,1,0.7607593190281836,-0.9306356493574683,1.2020139156196248,True,-18.902528780154558,1,True,1.913816710041974,0.0,0.4193140046503417,0.03397051702166174
2662,1,-1.2058712915722116,-0.0873601909118959,1.2090315855238012,True,-18.866022307058635,0,False,0.31560507027249135,0.04837336977498768,1.8267900932837502,0.0
2663,1,-0.6714398108168935,-1.007722427127786,1.210923577145206,True,-18.9241792424086,0,False,0.7468549212317278,0.0,1.0259150145830387,0.0
2664,1,0.9031606342475289,-0.9897576340233872,1.3398952591012372,True,-18.94658422847173,0,False,2.0672909567152775,0.0,0.5339378116760275,0.13709629706707338
2665,1,1.0134797828387214,-0.6378054344571716,1.1974711029690543,True,-19.10148441922342,1,True,2.1009337226217633,0.0,0.7714310059738191,0.0
2666,1,-0.34180312445153066,-1.1510496868950417,1.2007267622510969,True,-18.953371773313528,0,False,1.0636625909733393,0.0,0.704938379978548,0.0
2667,1,1.1578087840380467,0.3379001667722,1.2061084955758916,True,-19.610976776008066,0,False,2.3407871308131054,0.0,1.5935528399297785,0.0
2668,1,-0.7515998423067578,1.107481583007725,1.3384385602846474,True,-19.38490387184326,1,True,1.5183490000098803,0.0,2.4136852970801836,0.0
2669,1,-1.100374096051245,0.4550298936656934,1.1907457139918693,True,-18.95834488617545,1,True,0.8323948372171966,0.0,2.0843895655902855,0.0
2670,1,-0.6182378016936712,-1.120436852490805,1.2796861802264354,True,-18.936595393164772,0,False,0.8706766963639911,0.0,0.9757446815941068,0.0
2671,1,-1.11073008699439,0.44677771024698226,1.1972182961048088,True,-18.957152629246515,0,False,0.8245795160422765,0.0,2.085745848218319,0.0
2672,1,-0.8352451238496005,-0.9522226538733921,1.2666342800762265,True,-18.939729654289504,0,False,0.621866351631362,0.0,1.192366550609827,0.0
2673,1,1.195749790326245,0.4255514298771641,1.2692169162659934,True,-19.5933578833768,0,False,2.4047547086903327,0.0,1.688413396057875,0.0
2674,1,-0.13534864445344982,-1.3319614605071084,1.3388205958348622,True,-19.0151976731736,1,True,1.3371691894981694,0.0,0.5592626448889754,0.11434233973660181
2675,1,-0.17566974803516686,-1.325571177196095,1.33716072563764,True,-19.009848081789453,1,True,1.3046123369586875,0.0,0.5951615831702255,0.09490286070238876
2676,1,0.9624370974959521,0.9319174335749486,1.339684765023978,True,-19.378153442218107,1,True,2.4183668007181844,0.0,2.061816145052755,0.0
