--- Sheet: A3 ---
Datum	MV EDZ 0-50	MV EDZ 0-10	MV EDZ 10-20	MV EDZ 20-30	MV EDZ 30-40	MV EDZ 40-50
2020-03-10T00:00:00	10.398470038847556	10.236760668842974	10.434425117623967	10.53351493	10.55564367216942	10.653714477024794
2020-03-20T00:00:00	10.391505061727369	10.234296495805786	10.430652187768596	10.525110868533059	10.5550778092562	10.65547450605372
2020-03-30T09:00:00	10.400356041449012	10.238734182892564	10.437663771342976	10.539132746115703	10.554512067210744	10.665468551404958
2020-04-10T09:00:00	10.452721060013658	10.287942121967976	10.471658480149795	10.615866920521697	10.638681470439051	10.734897069405992
2020-04-20T12:00:00	10.45194976641324	10.275844314529959	10.492558060108472	10.607777768248969	10.641015992339875	10.737310010315085
2020-04-30T00:00:00	10.426919872354318	10.244666328347106	10.473576144070247	10.57423298289256	10.608220132500001	10.721360310495866
2020-05-10T00:00:00	10.453781986298125	10.267567456859506	10.491177724235536	10.62136948	10.631398553987603	10.767330198099172
2020-05-20T00:00:00	10.423773629368497	10.244418808125001	10.46564117560434	10.580794592422519	10.620654496472108	10.756075873125
2020-05-31T00:00:00	10.445499741644122	10.268068147871901	10.487316802644628	10.60345403878099	10.648323837768597	10.7862815325
2020-06-10T00:00:00	10.45397493144641	10.264066004070248	10.491729767933887	10.62310939663223	10.656531045619834	10.80349870357438
2020-06-20T00:00:00	10.472957381030177	10.2831450817562	10.517254436115703	10.641736193326446	10.683664383223139	10.810906499442149
2020-06-30T21:00:00	10.456870934893342	10.258575687024795	10.5044601325	10.62833567338843	10.660643533326446	10.801649474132232
2020-07-10T00:00:00	10.474513421404787	10.278107350351242	10.517254436115703	10.649924336301654	10.68959677785124	10.825774306053717
2020-07-20T00:00:00	10.471402314640997	10.285163558615704	10.515024746859506	10.640568392499999	10.681294809669422	10.825774306053717
2020-07-31T21:00:00	10.496302121824272	10.304180829405993	10.550649398125	10.654320586430785	10.711950905563016	10.852899654529956
2020-08-10T00:00:00	10.472374116995317	10.280624705206613	10.523396053161157	10.63182529694215	10.696136372169422	10.82019072
2020-08-20T00:00:00	10.491204433244668	10.293003422587809	10.53712767167872	10.666077158744834	10.70716776258781	10.846643696885328
2020-08-31T00:00:00	10.477044064341833	10.29275007049587	10.52563299448347	10.638817597768593	10.692567507706611	10.83385677
2020-09-10T00:00:00	10.456774346277967	10.259323505439049	10.506402967133264	10.629207671348139	10.672130978290289	10.800109280563015
--- Sheet: A8 ---
Datum	MV EDZ 0-50	MV EDZ 0-10	MV EDZ 10-20	MV EDZ 20-30	MV EDZ 30-40	MV EDZ 40-50
2019-12-01T00:00:00	9.974866232146457	9.87126613789583	10.012257578813596	10.05326141216587	10.069968504052648	10.020490983828683
2019-12-10T00:00:00	10.03205875370668	9.954470405948515	10.063040625430332	10.091599430631781	10.108689528303682	10.060751648957813
2019-12-20T00:00:00	10.011962424140147	9.932266289618452	10.040985894038286	10.072772358640561	10.084216213895104	10.043152928113287
