source_file,source_sheet,source_row_1based,group,label,original_x,original_y,original_z,bgr_model_x,bgr_model_y,bgr_model_z,model_xy_x_from_bgr,model_xy_y_from_bgr_z,bgr_to_model_transform_note,lookup_x,lookup_y,lookup_status,inside_mesh_bbox,distance_to_mesh_bbox_m,containing_cell_id,nearest_cell_id,lookup_cell_id,lookup_material_id,nearest_centroid_x,nearest_centroid_y,nearest_centroid_distance_m
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/Coordinates_NMR_Taupe_characborehole.xlsx,Tabelle1,24,Charac. Bohrungen,BCD-A32 Ende,2579348.11,1247476.96,511.727815,-9.531107671293904,11.324012331845177,-0.2121720000000095,-4.901107671293905,-1.4921720000000096,model x = BGR X + 4.63; model y = BGR Z + -1.28; BGR Y is ignored for this 2D lookup,-4.901107671293905,-1.4921720000000096,inside_cell,True,0.0,6333,5981,6333,0,-4.712199871591216,-1.6048733684837069,0.21997216925467905
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/Coordinates_NMR_Taupe_characborehole.xlsx,Tabelle1,25,Charac. Bohrungen,BCD-A33 Anfang,2579352.55,1247479.78,512.181899,-4.275974282809706,11.546662385729572,0.2419120000000134,0.35402571719029385,-1.0380879999999866,model x = BGR X + 4.63; model y = BGR Z + -1.28; BGR Y is ignored for this 2D lookup,0.35402571719029385,-1.0380879999999866,inside_mesh_bbox_nearest_cell,True,0.0,-1,2925,2925,1,0.36111074840359536,-1.14190148773811,0.10405497539112173
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/Coordinates_NMR_Taupe_characborehole.xlsx,Tabelle1,26,Charac. Bohrungen,BCD-A33 Ende,2579353.66,1247480.52,508.40787,-2.9446935795439906,11.632637314563894,-3.532117000000028,1.6853064204560093,-4.812117000000028,model x = BGR X + 4.63; model y = BGR Z + -1.28; BGR Y is ignored for this 2D lookup,1.6853064204560093,-4.812117000000028,inside_cell,True,0.0,5842,5842,5842,0,1.7741246506988702,-4.86248388983656,0.10210534567435332
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/Coordinates_NMR_Taupe_characborehole.xlsx,Tabelle1,27,Charac. Bohrungen,BCD-A34 Anfang,2579362.92,1247485.04,511.951091,7.334764035991739,10.917968832231768,0.0111039999999889,11.964764035991738,-1.2688960000000111,model x = BGR X + 4.63; model y = BGR Z + -1.28; BGR Y is ignored for this 2D lookup,11.964764035991738,-1.2688960000000111,outside_mesh_bbox_nearest_cell,False,6.964764035991738,-1,5763,5763,0,4.91221400377144,-0.7390450159297993,7.072425610940754
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/Coordinates_NMR_Taupe_characborehole.xlsx,Tabelle1,28,Charac. Bohrungen,BCD-A34 Ende,2579361.84,1247484.41,508.152901,6.0844570931966855,10.91226376132416,-3.787086000000045,10.714457093196685,-5.067086000000045,model x = BGR X + 4.63; model y = BGR Z + -1.28; BGR Y is ignored for this 2D lookup,10.714457093196685,-5.067086000000045,outside_mesh_bbox_nearest_cell,False,5.714850864316751,-1,5733,5733,0,4.8379232913584636,-4.735565165850393,5.885877639538768
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/Coordinates_NMR_Taupe_characborehole.xlsx,Tabelle1,29,Charac. Bohrungen,BCD-A35 Anfang,2579364.24,1247485.77,512.643444,8.842919988050536,10.890298935786646,0.7034570000000144,13.472919988050535,-0.5765429999999856,model x = BGR X + 4.63; model y = BGR Z + -1.28; BGR Y is ignored for this 2D lookup,13.472919988050535,-0.5765429999999856,outside_mesh_bbox_nearest_cell,False,8.472919988050535,-1,5763,5763,0,4.91221400377144,-0.7390450159297993,8.562248177578898
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/Coordinates_NMR_Taupe_characborehole.xlsx,Tabelle1,30,Charac. Bohrungen,BCD-A35 Ende,2579367.45,1247487.85,511.494324,12.662844391655518,11.086964995019798,-0.4456630000000245,17.292844391655517,-1.7256630000000246,model x = BGR X + 4.63; model y = BGR Z + -1.28; BGR Y is ignored for this 2D lookup,17.292844391655517,-1.7256630000000246,outside_mesh_bbox_nearest_cell,False,12.292844391655517,-1,5828,5828,0,4.8906615029022005,-1.78181480040215,12.402310003816787
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/Coordinates_NMR_Taupe_characborehole.xlsx,Tabelle1,32,Taupe,BCD-A3 Anfang,2579353.402,1247475.254,513.259,-5.800741555529807,7.200898385318622,1.319012999999984,-1.1707415555298075,0.03901299999998398,model x = BGR X + 4.63; model y = BGR Z + -1.28; BGR Y is ignored for this 2D lookup,-1.1707415555298075,0.03901299999998398,inside_cell,True,0.0,2959,2959,2959,1,-1.1705787362973867,0.04618698329279903,0.007175830710658912
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/Coordinates_NMR_Taupe_characborehole.xlsx,Tabelle1,33,Taupe,BCD-A3 Ende,2579349.56409147,1247473.03818279,512.477583189073,-10.23237642599781,7.2005120769531805,0.5375961890729855,-5.60237642599781,-0.7424038109270146,model x = BGR X + 4.63; model y = BGR Z + -1.28; BGR Y is ignored for this 2D lookup,-5.60237642599781,-0.7424038109270146,outside_mesh_bbox_nearest_cell,False,0.6023764259978099,-1,5769,5769,0,-4.90408528721537,-0.7638124386552594,0.6986192409626888
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/Coordinates_NMR_Taupe_characborehole.xlsx,Tabelle1,34,Taupe,BCD-A4 Anfang,2579354.398,1247475.829,512.111,-4.650680254903337,7.200963314152476,0.1710129999999594,-0.020680254903337136,-1.1089870000000406,model x = BGR X + 4.63; model y = BGR Z + -1.28; BGR Y is ignored for this 2D lookup,-0.020680254903337136,-1.1089870000000406,inside_mesh_bbox_nearest_cell,True,0.0,-1,3019,3019,1,-0.023817440607677234,-1.1445621439100433,0.03571320201775415
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/Coordinates_NMR_Taupe_characborehole.xlsx,Tabelle1,35,Taupe,BCD-A4 Ende,2579354.398,1247475.8289999,507.711,-4.650680304837964,7.2009632276457385,-4.228987000000018,-0.020680304837964236,-5.508987000000018,model x = BGR X + 4.63; model y = BGR Z + -1.28; BGR Y is ignored for this 2D lookup,-0.020680304837964236,-5.508987000000018,outside_mesh_bbox_nearest_cell,False,0.5089870000000181,-1,4100,4100,0,-0.2690081803347025,-4.88502313559377,0.6715635769110039
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/Coordinates_NMR_Taupe_characborehole.xlsx,Tabelle1,36,Taupe,BCD-A7 Anfang,2579366.047,1247482.554,513.075,8.800149658729602,7.201657493964639,1.135013000000015,13.4301496587296,-0.1449869999999851,model x = BGR X + 4.63; model y = BGR Z + -1.28; BGR Y is ignored for this 2D lookup,13.4301496587296,-0.1449869999999851,outside_mesh_bbox_nearest_cell,False,8.4301496587296,-1,5763,5763,0,4.91221400377144,-0.7390450159297993,8.538625928584645
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/Coordinates_NMR_Taupe_characborehole.xlsx,Tabelle1,37,Taupe,BCD-A7 Ende,2579369.71433472,1247484.67133661,512.328312825114,13.03482297766653,7.202026824536858,0.3883258251140091,17.664822977666528,-0.8916741748859909,model x = BGR X + 4.63; model y = BGR Z + -1.28; BGR Y is ignored for this 2D lookup,17.664822977666528,-0.8916741748859909,outside_mesh_bbox_nearest_cell,False,12.664822977666528,-1,5763,5763,0,4.91221400377144,-0.7390450159297993,12.753522309590918
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/Coordinates_NMR_Taupe_characborehole.xlsx,Tabelle1,38,Taupe,BCD-A8 Anfang,2579365.051,1247481.979,511.927,7.650088358506426,7.201592564897987,-0.0129870000000096,12.280088358506426,-1.2929870000000097,model x = BGR X + 4.63; model y = BGR Z + -1.28; BGR Y is ignored for this 2D lookup,12.280088358506426,-1.2929870000000097,outside_mesh_bbox_nearest_cell,False,7.2800883585064255,-1,5763,5763,0,4.91221400377144,-0.7390450159297993,7.388668637100809
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/Coordinates_NMR_Taupe_characborehole.xlsx,Tabelle1,39,Taupe,BCD-A8 Ende,2579365.051,1247481.97899991,507.927,7.650088313460504,7.201592486860441,-4.01298700000001,12.280088313460503,-5.29298700000001,model x = BGR X + 4.63; model y = BGR Z + -1.28; BGR Y is ignored for this 2D lookup,12.280088313460503,-5.29298700000001,outside_mesh_bbox_nearest_cell,False,7.285981555971247,-1,5733,5733,0,4.8379232913584636,-4.735565165850393,7.46301141077687
