source_file,zone_name,measurement_type,model_role,model_quantity,nodes,elements,zonetype,datapacking,coordinate_values_read,coordinate_complete,x_min,x_max,x_mean,y_min,y_max,y_mean,z_min,z_max,z_mean
cda_knowledge_base/measurements/other_hm_monitoring/source_files/VisualisationCDA.dat,Mini_Piezo,mini_piezometer,pore-pressure validation,liquid pore pressure or hydraulic head trend,1061,1690,FEQuadrilateral,BLOCK,3183,True,-9.85221386,13.23467636,1.7952209215589074,1.939342737,8.381292343,5.243548522016966,-3.590656996,2.207645178,0.7536761581190089
cda_knowledge_base/measurements/other_hm_monitoring/source_files/VisualisationCDA.dat,Konvergenz_points_N3,convergence_points,mechanical validation,niche convergence displacement trend,1465,2880,FEQuadrilateral,BLOCK,4395,True,0.0,8.655714989,7.619710309687369,0.0,8.788973808,8.086050091489376,0.0,2.201612949,1.0630202265793078
cda_knowledge_base/measurements/other_hm_monitoring/source_files/VisualisationCDA.dat,Konvergenz_points_N4,convergence_points,mechanical validation,niche convergence displacement trend,1465,2880,FEQuadrilateral,BLOCK,4395,True,-5.646197319,0.0,-4.641339862252567,0.0,8.820370674,8.115129932363164,0.0,2.327213049,1.2594943559180276
cda_knowledge_base/measurements/other_hm_monitoring/source_files/VisualisationCDA.dat,closed_twin_LS,laser_scan_surface,mechanical validation,niche surface displacement or scan-difference field,1228098,2340998,FETriangle,BLOCK,3684294,True,6.34583807,8.954117775,7.621796447365368,3.690763712,13.91851521,8.565931517560722,-0.1829072535,2.380091667,1.1515791841216367
cda_knowledge_base/measurements/other_hm_monitoring/source_files/VisualisationCDA.dat,open_twin_LS,laser_scan_surface,mechanical validation,niche surface displacement or scan-difference field,1499860,2891741,FETriangle,BLOCK,4499580,True,-6.057243824,-3.341907024,-4.657011836957353,2.145966291,14.00585461,8.345935385779043,-0.02226758003,2.730125189,1.321452755660818
cda_knowledge_base/measurements/other_hm_monitoring/source_files/VisualisationCDA.dat,Permeability_bhrg,permeability_support,parameter-observation support,pulse-test borehole or measurement layout,215,262,FEQuadrilateral,BLOCK,645,True,-11.30984783,14.30624485,1.649229318120928,10.90357304,11.67014313,11.30662633790699,-5.464787006,1.767707944,-1.2338881943895355
cda_knowledge_base/measurements/other_hm_monitoring/source_files/VisualisationCDA.dat,Permeability_Meas_points,permeability_support,parameter-observation support,pulse-test borehole or measurement layout,7809,15360,FEQuadrilateral,BLOCK,23427,True,-11.36288643,14.3584547,1.5176310808633724,0.0,11.67680168,11.322689569891082,-5.520786762,1.782271743,0.009986398681344535
cda_knowledge_base/measurements/other_hm_monitoring/source_files/VisualisationCDA.dat,Taupe,taupe_tdr_support,water-content trend support,Taupe/TDR borehole layout,299,486,FEQuadrilateral,BLOCK,897,True,-10.23237896,13.03482628,1.4257416965518397,7.150062561,7.252476215,7.201474441755845,-4.228987217,1.401919723,-0.6002843477096993
cda_knowledge_base/measurements/other_hm_monitoring/source_files/VisualisationCDA.dat,MINIPRISMA_1,miniprisma_geodesy,geodetic deformation validation,3D point displacement trend,122,240,FEQuadrilateral,BLOCK,366,True,-5.322528362,-5.215286255,-5.268907281245903,8.702722549,8.809965134,8.756343732131144,0.3210130036,0.4310129881,0.3760130007188525
cda_knowledge_base/measurements/other_hm_monitoring/source_files/VisualisationCDA.dat,MINIPRISMA_2,miniprisma_geodesy,geodetic deformation validation,3D point displacement trend,122,240,FEQuadrilateral,BLOCK,366,True,-5.56076622,-5.453524113,-5.5071450843114755,7.687908649,7.795150757,7.741529589786884,0.4990130067,0.609013021,0.5540130040631142
cda_knowledge_base/measurements/other_hm_monitoring/source_files/VisualisationCDA.dat,MINIPRISMA_3,miniprisma_geodesy,geodetic deformation validation,3D point displacement trend,122,240,FEQuadrilateral,BLOCK,366,True,-5.668215752,-5.560973644,-5.614594615950824,8.219871521,8.327113152,8.273492594278682,0.707013011,0.8170130253,0.7620129985762292
cda_knowledge_base/measurements/other_hm_monitoring/source_files/VisualisationCDA.dat,MINIPRISMA_4,miniprisma_geodesy,geodetic deformation validation,3D point displacement trend,122,240,FEQuadrilateral,BLOCK,366,True,-5.664475918,-5.55723381,-5.610855039999997,7.684267998,7.791510105,7.737889196016397,1.612012982,1.722012997,1.6670129895
cda_knowledge_base/measurements/other_hm_monitoring/source_files/VisualisationCDA.dat,MINIPRISMA_5,miniprisma_geodesy,geodetic deformation validation,3D point displacement trend,122,240,FEQuadrilateral,BLOCK,366,True,-5.5853405,-5.478098392,-5.531719590770492,8.167414665,8.274656296,8.22103573842623,1.836012959,1.946012974,1.8910130058442638
cda_knowledge_base/measurements/other_hm_monitoring/source_files/VisualisationCDA.dat,MINIPRISMA_6,miniprisma_geodesy,geodetic deformation validation,3D point displacement trend,122,240,FEQuadrilateral,BLOCK,366,True,-4.963088036,-4.855845928,-4.909467095213117,8.159240723,8.266482353,8.212861748967216,2.212013006,2.322012901,2.2670129928442613
