series_id,sensor,edz_band_cm,row_count,date_min,date_max,baseline_rows,baseline_date_min,baseline_date_max,baseline_taupe_value,robust_scale_taupe_value,min_taupe_value,max_taupe_value,first_taupe_value,final_taupe_value,net_change_taupe_value,net_change_standardized
A4_30-40cm,A4,30-40,212,2019-12-01,2025-10-10,3,2019-12-01,2019-12-20,10.345433226126033,0.015099348880343113,10.246482399938015,10.357376477623967,10.330660818042356,10.261651790769628,-0.06900902727272751,-4.570331331476551
A4_40-50cm,A4,40-50,212,2019-12-01,2025-10-10,3,2019-12-01,2019-12-20,10.389585133165703,0.022942323687286124,10.246257779415703,10.406990478925,10.406990478925,10.254449306858884,-0.1525411720661154,-6.648898086580857
A7_0-10cm,A7,0-10,212,2019-12-01,2025-10-10,3,2019-12-01,2019-12-20,10.18895858307335,0.15909554132876563,10.154201427210744,10.567156820315084,10.19383263247934,10.532991217190084,0.3391585847107432,2.131791889817222
A7_0-50cm,A7,0-50,212,2019-12-01,2025-10-10,3,2019-12-01,2019-12-20,10.304275925980098,0.12681591241324744,10.267565303610825,10.708115418764308,10.30936920409209,10.67815746746358,0.3687882633714903,2.9080598511150715
A7_10-20cm,A7,10-20,212,2019-12-01,2025-10-10,3,2019-12-01,2019-12-20,10.329542199106406,0.11329812609063891,10.28964474355372,10.712649093553718,10.341360426714877,10.687024589524794,0.34566416280991774,3.0509256837433054
A7_20-30cm,A7,20-30,212,2019-12-01,2025-10-10,3,2019-12-01,2019-12-20,10.405838336585743,0.09090096757224209,10.365881440433885,10.861699230826444,10.40337795603306,10.8254845461157,0.42210659008263995,4.643587426582424
A7_30-40cm,A7,30-40,212,2019-12-01,2025-10-10,3,2019-12-01,2019-12-20,10.420326154478305,0.093739930997913,10.382318911735537,10.89468237,10.43946490357438,10.86123880605372,0.4217739024793392,4.499404874628396
A7_40-50cm,A7,40-50,212,2019-12-01,2025-10-10,3,2019-12-01,2019-12-20,10.471436983403926,0.07992192414530237,10.426096653161157,11.004376182086776,10.486508598099174,10.969842318347103,0.48333372024792887,6.047573621591018
A8_0-10cm,A8,0-10,212,2019-12-01,2025-10-10,3,2019-12-01,2019-12-20,9.919334277820932,0.10801643085557552,9.87126613789583,10.169160816692315,9.87126613789583,10.114032287469692,0.24276614957386222,2.2474927902261017
A8_0-50cm,A8,0-50,212,2019-12-01,2025-10-10,3,2019-12-01,2019-12-20,10.006295803331094,0.08470275431107303,9.974866232146455,10.21660016071013,9.974866232146455,10.138860741065226,0.16399450891877088,1.936117783330833
A8_10-20cm,A8,10-20,212,2019-12-01,2025-10-10,3,2019-12-01,2019-12-20,10.038761366094072,0.0884125155986755,10.000997744980952,10.245429705918454,10.012257578813596,10.156348467695311,0.14409088888171517,1.6297566911881172
A8_20-30cm,A8,20-30,212,2019-12-01,2025-10-10,3,2019-12-01,2019-12-20,10.072544400479403,0.06833132352491987,10.035963285487153,10.250951058020725,10.05326141216587,10.15215913188436,0.09889771971849015,1.4473262717123132
A8_30-40cm,A8,30-40,212,2019-12-01,2025-10-10,3,2019-12-01,2019-12-20,10.087624748750478,0.07146122293603263,10.034763709977234,10.26354379525874,10.069968504052648,10.166029511167832,0.09606100711518373,1.3442396193131372
