semantic_activation_gate,rows,mapped_trend_rows,outside_current_mesh_rows,trend_ready_gate_rows,wc_percent_candidate_physical_rows,topp_candidate_physical_rows,linear_eps6_candidate_physical_rows,taupe_value_min,taupe_value_median,taupe_value_max,standardized_anomaly_min,standardized_anomaly_median,standardized_anomaly_max,band_mean_porosity_min,band_mean_porosity_median,band_mean_porosity_max,group_type,group_key,mapping_status,operator_status,sensor,edz_band_cm
,848,424,424,424,424,0,424,9.87126613789583,10.169035404686067,10.567156820315084,-6.005866924144911,0.6191686971465296,2.96483728319936,0.1081799852487923,0.1114159221606828,0.1146518590725733,edz_band,0-10,,,,0-10
,848,424,424,424,424,0,424,9.974866232146455,10.234388453476047,10.708115418764308,-5.147214340167427,0.915206677997308,3.184454419791121,0.11130669674141,0.11579096144684205,0.1202752261522741,edz_band,0-50,,,,0-50
,848,424,424,424,212,0,424,10.000997744980952,10.215692392766613,10.712649093553718,-5.520081520205189,-0.24538063141265676,3.381405391831684,0.075815082312704,0.09495153286576904,0.1140879834188341,edz_band,10-20,,,,10-20
,848,424,424,424,424,0,424,10.035963285487153,10.239923141892646,10.861699230826444,-4.761982312116978,0.9975784508024338,5.014917953193539,0.1157251983928661,0.14302196412652268,0.1703187298601793,edz_band,20-30,,,,20-30
,848,424,424,424,212,0,424,10.034763709977234,10.259176416778628,10.89468237,-6.553317429259198,-0.33003299830554433,5.0603431266901175,0.0756638555435984,0.09175430148405475,0.1078447474245111,edz_band,30-40,,,,30-40
,848,424,424,424,424,0,424,10.020490983828685,10.33806836506489,11.004376182086776,-6.247290191857355,1.5005183941511255,6.668247847911397,0.1296825422343941,0.14218612588334034,0.1546897095322866,edz_band,40-50,,,,40-50
,212,212,0,212,212,0,212,10.076536191930847,10.13306662026246,10.193064805758327,-6.005866924144911,-2.466751614175484,1.2894643411186026,0.1081799852487923,0.1081799852487923,0.1081799852487923,sensor_edz_band,A3 | 0-10,,,A3,0-10
,212,212,0,212,212,0,212,10.180355204899032,10.217578834913631,10.258827128946397,-5.147214340167427,-2.0151541527543553,1.4555481803622266,0.11130669674141,0.11130669674141,0.11130669674141,sensor_edz_band,A3 | 0-50,,,A3,0-50
,212,212,0,212,0,0,212,10.10227635599335,10.151608626008844,10.21376954722269,-4.644361682411584,-2.212454954277245,0.851858982208852,0.075815082312704,0.075815082312704,0.075815082312704,sensor_edz_band,A3 | 10-20,,,A3,10-20
,212,212,0,212,212,0,212,10.143840287746963,10.200240410842264,10.24863489505585,-4.761982312116978,-1.940004487579225,0.4814115268844356,0.1703187298601793,0.1703187298601793,0.1703187298601793,sensor_edz_band,A3 | 20-30,,,A3,20-30
,212,212,0,212,0,0,212,10.199030527480954,10.230241327713394,10.286405040345109,-4.396041658283777,-2.1764736851424877,1.8176301789584537,0.0756638555435984,0.0756638555435984,0.0756638555435984,sensor_edz_band,A3 | 30-40,,,A3,30-40
,212,212,0,212,212,0,212,10.320521919658123,10.374186170946864,10.457128084040871,-1.2422963201065131,1.852153639164851,6.634845905095924,0.1296825422343941,0.1296825422343941,0.1296825422343941,sensor_edz_band,A3 | 40-50,,,A3,40-50
,212,212,0,212,212,0,212,10.170141415639051,10.220598622059503,10.287483828325,-1.1257117979611122,0.6332232250769839,2.96483728319936,0.1146518590725733,0.1146518590725733,0.1146518590725733,sensor_edz_band,A4 | 0-10,,,A4,0-10
,212,212,0,212,212,0,212,10.219847562987436,10.247803453518133,10.266094941878563,-2.3252467102105383,0.7588990354864961,2.776849991022865,0.1202752261522741,0.1202752261522741,0.1202752261522741,sensor_edz_band,A4 | 0-50,,,A4,0-50
,212,212,0,212,212,0,212,10.198450859700005,10.235779566132337,10.2746182695812,-5.520081520205189,-1.9352407819897595,1.7946116466055737,0.1140879834188341,0.1140879834188341,0.1140879834188341,sensor_edz_band,A4 | 10-20,,,A4,10-20
,212,212,0,212,212,0,212,10.19422188880434,10.280905191642667,10.318135730457232,-3.8764701714033074,1.047656849109167,3.1625728267221827,0.1157251983928661,0.1157251983928661,0.1157251983928661,sensor_edz_band,A4 | 20-30,,,A4,20-30
,212,212,0,212,212,0,212,10.246482399938015,10.282220592835746,10.357376477623967,-6.553317429259198,-4.186447627061611,0.7909779151789939,0.1078447474245111,0.1078447474245111,0.1078447474245111,sensor_edz_band,A4 | 30-40,,,A4,30-40
,212,212,0,212,212,0,212,10.246257779415703,10.28388331753812,10.406990478925,-6.247290191857355,-4.607284644238522,0.7586566206866975,0.1546897095322866,0.1546897095322866,0.1546897095322866,sensor_edz_band,A4 | 40-50,,,A4,40-50
,212,0,212,0,0,0,0,10.154201427210744,10.405562761451266,10.567156820315084,-0.21846719004388,1.361472336489379,2.3771768465855425,,,,sensor_edz_band,A7 | 0-10,,,A7,0-10
