cell_id,material_id,centroid_x,centroid_y,bbox_min_x,bbox_min_y,bbox_max_x,bbox_max_y
2523,1,-0.48212217884456693,-1.1697365457059135,-0.494794664035646,-1.18445907447825,-0.473150453208826,-1.16104165757706
2524,1,-0.48267698849351737,-1.1562392413203766,-0.494794664035646,-1.16370890506243,-0.473150453208826,-1.14396716132164
2525,1,1.2111469208561132,0.20760086002816633,1.19692367329528,0.192307642770736,1.23039205520577,0.21636238358157
2526,1,-0.8352812345532827,-0.8441819517186163,-0.847330877101538,-0.853702209266627,-0.82690858688354,-0.833191166067121
2527,1,1.0070947774333685,-0.672104640235542,0.992221163306866,-0.686571173149666,1.01621675216821,-0.657000075238442
2528,1,1.0254220530813867,-0.6747526872809892,1.01284641682503,-0.686571173149666,1.04720299025092,-0.657000075238442
2529,1,-0.8417926691845077,-0.8551250240292023,-0.847330877101538,-0.866020382998879,-0.83160423967477,-0.845652479822101
2530,1,0.9962492672901367,-0.660768824811485,0.980309886395334,-0.672742672318518,1.01621675216821,-0.652563726877495
2531,1,-0.8237331954175643,-0.8460118642650173,-0.83160423967477,-0.853702209266627,-0.812686759694383,-0.833191166067121
2532,1,0.9722293402051153,-0.5655590911186418,0.96031022224426,-0.578992871829,0.989046383457554,-0.553616801643371
2533,1,0.9791007401271931,-0.6360457375251847,0.960449847167586,-0.652563726877495,0.996542486818659,-0.625938444897221
2534,1,0.9976897084607343,-0.6451674156710526,0.980309886395334,-0.657000075238442,1.01621675216821,-0.625938444897221
2535,1,-0.7902202107946946,0.887760165777813,-0.80428482613525,0.878799477888283,-0.780941504561298,0.902589152861791
2536,1,-0.0884747208938053,-1.1735808364518232,-0.098181676028917,-1.18725684805848,-0.0753792617800122,-1.15904011501434
2537,1,0.5830179969976114,-1.2054121155609134,0.570534746411966,-1.22351546910394,0.605356527752203,-1.18733248387696
2538,1,0.976304006407647,-0.619781415924382,0.960449847167586,-0.629635040800838,0.996542486818659,-0.603770762075087
2539,1,1.1934132161579367,0.20187497090840767,1.17719094111124,0.192307642770736,1.20612503406729,0.21636238358157
2540,1,0.9888146833597498,-0.6104612862910753,0.971919685236696,-0.625938444897221,0.997981878023894,-0.601674651900918
2541,1,-0.08308437023691283,-1.1849817779967433,-0.098181676028917,-1.1932429396491,-0.0753792617800122,-1.17444554628265
2542,1,-1.0432703697985968,0.545810782747462,-1.0518193201583,0.530885944054034,-1.03278427650556,0.556308104922134
2543,1,-0.330224743155765,-1.2083256507495301,-0.344250407500933,-1.22686848817268,-0.311428662308107,-1.19318932217737
2544,1,-0.32370832799605836,-1.2226782147071666,-0.344250407500933,-1.23624701405028,-0.311428662308107,-1.20491914189854
2545,1,0.8907196200857292,0.9638782424576208,0.873218731068566,0.949973204528804,0.904112836425911,0.981040752905013
2546,1,0.8875657042959496,0.9454863076089173,0.873218731068566,0.925864948358903,0.904112836425911,0.960620769939045
2547,1,0.9081968815959277,0.9707100236726306,0.894827292762711,0.949973204528804,0.925650515599161,0.981116113584075
2548,1,-1.0309353351989865,0.5374759228485196,-1.04520751273193,0.530885944054034,-1.01481421635947,0.550238299266218
2549,1,-1.2143414977394467,0.12007363556689134,-1.22900134649886,0.112210566450692,-1.19870694680397,0.134684424082107
2550,1,-1.2298359251403332,0.12610641730664132,-1.24519022900663,0.112210566450692,-1.21531619991551,0.134684424082107
2551,1,1.0761411724679832,0.452356642144978,1.06783755772906,0.44031461105356,1.08782688616316,0.46212597713479
2552,1,-1.1927348163573566,-0.17674470914359566,-1.20177459039611,-0.189649630379051,-1.18217222071026,-0.161776029306018
2553,1,-0.0692011692602173,-1.1850964168022733,-0.0756921729018093,-1.1932429396491,-0.0565320730988304,-1.17444554628265
2554,1,0.5538682228278066,-1.15801856138514,0.54462172631842,-1.17028652110915,0.569955430936124,-1.14628743304949
2555,1,0.5591220406994313,-1.1435423697027867,0.54462172631842,-1.15748172999678,0.569955430936124,-1.12685794606209
2556,1,-0.05063988657901939,-1.17572931413995,-0.057343729230296,-1.18760076447507,-0.0380438574079318,-1.16383160310242
2557,1,-0.06308502136971288,-1.17529263795338,-0.0753792617800122,-1.18760076447507,-0.0565320730988304,-1.16383160310242
2558,1,-0.7367203240560443,0.8717235137052416,-0.747757314972717,0.866242006195612,-0.725906052652994,0.881044534523385
2559,1,-0.0640688157480726,-1.1976903991020267,-0.0756921729018093,-1.21222749318191,-0.0565320730988304,-1.18760076447507
2560,1,-1.2147660258818067,0.32941978576519265,-1.22581332883111,0.310975066830172,-1.20185364749348,0.341997072663972
2561,1,-1.21200845752438,0.34646704548113094,-1.22581332883111,0.335287217801434,-1.20185364749348,0.362116845977987
2562,1,0.787877554875505,-0.8230953565854854,0.775382361348537,-0.835091161599573,0.8020047005656,-0.816889860104529
2563,1,-0.27550255771460996,1.2961736105182267,-0.291037059532842,1.28288988559436,-0.262718648794607,1.32099359235846
2564,1,0.9057282320112829,0.9899316426599628,0.894827292762711,0.981040752905013,0.925650515599161,1.0076380614908
2565,1,0.7750435211318782,-0.830322986628843,0.76350259933472,-0.838572750234602,0.786245602712378,-0.817305048052354
2566,1,-1.11708950829924,0.4796195563774513,-1.13001888176036,0.462885473590059,-1.10840860178934,0.489116556971751
2567,1,-1.2868149156816966,0.06397763353517927,-1.30136366937928,0.0537069080066256,-1.27340749699284,0.080101235760725
2568,1,-1.17297878743157,0.43450296646426567,-1.18660668006079,0.418263505638985,-1.16167431127198,0.447598999092812
2569,1,-0.367744351714513,1.2886498570364735,-0.386846240616987,1.26975480273603,-0.349405746191097,1.30399985603091
2570,1,0.26402513869257865,1.2627322669954666,0.252246521555324,1.24696851973197,0.279150021494887,1.28081440089394
2571,1,0.275360118154398,1.2782789324802233,0.260678873027525,1.26041388036049,0.286251459940782,1.29360851618624
2572,1,-0.5332551531231716,-1.2200671125671034,-0.547255774349761,-1.2385387216343,-0.518244263739502,-1.2077661735775
2573,1,-0.5842024767063777,-1.2029583835066566,-0.605356359925767,-1.22351554853983,-0.570534576061144,-1.17997112399443
