source_file,source_sheet,source_row_1based,measurement_type,original_3d_x,original_3d_y,original_3d_z,model_xz_x,model_xz_y,model_xz_z,model_xy_x,model_xy_y,model_xy_z
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,43,Permeablilty,-4.661299179,0.0,-0.343597827,-0.03129917900000034,0.0,-1.623597827,-0.03129917900000034,-1.623597827,0.0
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,44,Permeablilty,-4.663255323,0.0,-0.443543775,-0.03325532299999967,0.0,-1.723543775,-0.03325532299999967,-1.723543775,0.0
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,45,Permeablilty,-4.665211467,0.0,-0.543489723,-0.035211466999999885,0.0,-1.823489723,-0.035211466999999885,-1.823489723,0.0
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,46,Permeablilty,-4.667167611,0.0,-0.643435671,-0.0371676110000001,0.0,-1.923435671,-0.0371676110000001,-1.923435671,0.0
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,47,Permeablilty,-4.669123755,0.0,-0.743381619,-0.039123755000000315,0.0,-2.0233816190000002,-0.039123755000000315,-2.0233816190000002,0.0
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,48,Permeablilty,-4.671079899,0.0,-0.843327567,-0.04107989900000053,0.0,-2.123327567,-0.04107989900000053,-2.123327567,0.0
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,49,Permeablilty,-4.673036043,0.0,-0.943273515,-0.04303604299999986,0.0,-2.223273515,-0.04303604299999986,-2.223273515,0.0
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,50,Permeablilty,-4.674992187,0.0,-1.043219464,-0.04499218700000007,0.0,-2.323219464,-0.04499218700000007,-2.323219464,0.0
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,51,Permeablilty,-4.683794835,0.0,-1.49297623,-0.05379483499999971,0.0,-2.7729762300000003,-0.05379483499999971,-2.7729762300000003,0.0
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,52,Permeablilty,-4.699443986,0.0,-2.292543815,-0.06944398600000046,0.0,-3.5725438150000004,-0.06944398600000046,-3.5725438150000004,0.0
