source_file,source_sheet,source_row_1based,measurement_type,original_3d_x,original_3d_y,original_3d_z,model_xz_x,model_xz_y,model_xz_z,model_xy_x,model_xy_y,model_xy_z,lookup_coordinate_frame,lookup_x,lookup_y,lookup_status,inside_mesh_bbox,distance_to_mesh_bbox_m,containing_cell_id,nearest_cell_id,lookup_cell_id,lookup_material_id,nearest_centroid_x,nearest_centroid_y,nearest_centroid_distance_m
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,13,NMR,-5.642890090767658,0.0,1.8380129999999892,-1.012890090767658,0.0,0.5580129999999894,-1.012890090767658,0.5580129999999894,0.0,2D_Model (x/y),-1.012890090767658,0.5580129999999894,inside_cell,True,0.0,477,477,477,1,-1.004637680632892,0.5603068124299381,0.0085652699021206
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,14,NMR,-5.448567067109508,0.0,2.110012999999924,-0.818567067109508,0.0,0.830012999999924,-0.818567067109508,0.830012999999924,0.0,2D_Model (x/y),-0.818567067109508,0.830012999999924,inside_mesh_bbox_nearest_cell,True,0.0,-1,2919,2919,1,-0.8171711281001196,0.8434969533449715,0.013556018719718281
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,15,NMR,-5.079952808463071,0.0,2.3560130000000186,-0.4499528084630713,0.0,1.0760130000000183,-0.4499528084630713,1.0760130000000183,0.0,2D_Model (x/y),-0.4499528084630713,1.0760130000000183,inside_mesh_bbox_nearest_cell,True,0.0,-1,3154,3154,1,-0.471765264057622,1.0909886276757035,0.02645850795764934
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,16,NMR,-4.799945341345843,0.0,2.388012999999944,-0.1699453413458433,0.0,1.108012999999944,-0.1699453413458433,1.108012999999944,0.0,2D_Model (x/y),-0.1699453413458433,1.108012999999944,inside_mesh_bbox_nearest_cell,True,0.0,-1,2950,2950,1,-0.17587616688718233,1.1924690683062733,0.08466405474205194
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,17,NMR,-4.471761765525789,0.0,2.359012999999948,0.1582382344742106,0.0,1.0790129999999476,0.1582382344742106,1.0790129999999476,0.0,2D_Model (x/y),0.1582382344742106,1.0790129999999476,inside_mesh_bbox_nearest_cell,True,0.0,-1,3036,3036,1,0.149878311187668,1.2007350232746967,0.12200876717455776
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,18,NMR,-4.170271548222123,0.0,2.301012999999955,0.4597284517778766,0.0,1.0210129999999549,0.4597284517778766,1.0210129999999549,0.0,2D_Model (x/y),0.4597284517778766,1.0210129999999549,inside_mesh_bbox_nearest_cell,True,0.0,-1,422,422,1,0.49175017505998264,1.0800130437567466,0.06712969480981652
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,19,NMR,-3.9872776195275534,0.0,0.3400129999999421,0.6427223804724465,0.0,-0.939987000000058,0.6427223804724465,-0.939987000000058,0.0,2D_Model (x/y),0.6427223804724465,-0.939987000000058,inside_mesh_bbox_nearest_cell,True,0.0,-1,2613,2613,1,0.6748597929336263,-0.966685616773831,0.04178073021540903
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,20,NMR,-5.439659818933414,0.0,0.319012999999984,-0.8096598189334143,0.0,-0.960987000000016,-0.8096598189334143,-0.960987000000016,0.0,2D_Model (x/y),-0.8096598189334143,-0.960987000000016,inside_cell,True,0.0,1551,1551,1551,1,-0.8173072748168283,-0.9559327399624477,0.009166740206645091
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,21,NMR,-5.768737657981749,0.0,0.9980129999999576,-1.138737657981749,0.0,-0.2819870000000424,-1.138737657981749,-0.2819870000000424,0.0,2D_Model (x/y),-1.138737657981749,-0.2819870000000424,inside_mesh_bbox_nearest_cell,True,0.0,-1,2729,2729,1,-1.1605386426434101,-0.28032626794061866,0.021864147895383025
cda_knowledge_base/measurements/coordinates_geometry_layout/source_files/2025-09-05_Mess_Koord_XY.xlsx,Tabelle1,22,Suction,-6.5,0.0,1.15,-1.87,0.0,-0.1300000000000001,-1.87,-0.1300000000000001,0.0,2D_Model (x/y),-1.87,-0.1300000000000001,inside_cell,True,0.0,4742,4742,4742,0,-1.8616062510188331,-0.12685342159314345,0.00896414957647059
