model_time_s,ogs_open_niche_pressure_pa,ogs_open_niche_pressure_mpa,implied_rh_percent_at_assumed_T_rho,below_valid_collected_rh_min,above_valid_collected_rh_max,below_clean_rh5_rh6_collected_rh_min,above_clean_rh5_rh6_collected_rh_max,curve_role,provenance_status
33705216.03603604,-35965556.38391441,-35.96555638391441,78.765449182725,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
33864956.39639639,-36636771.45104775,-36.63677145104775,78.41535219011026,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
34024696.75675675,-37297725.920710966,-37.29772592071097,78.07212763816057,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
34184437.117117114,-37947429.40653234,-37.947429406532336,77.73620975862661,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
34344177.477477476,-38584898.10266923,-38.58489810266923,77.40802247252886,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
34503917.83783784,-39209157.391810715,-39.20915739181071,77.0879785844236,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
34663658.1981982,-39819244.47342871,-39.81924447342871,76.77647901633942,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
34823398.55855855,-40414211.00222956,-40.41421100222956,76.47391208243681,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
34983138.918918915,-40993125.72662952,-40.993125726629515,76.1806528050511,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
35142879.27927928,-41555077.116990276,-41.555077116990276,75.89706227240607,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
35302619.63963964,-42099175.97330813,-42.09917597330813,75.62348703793587,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
35462360.0,-42624558.00204923,-42.62455800204923,75.36025856082883,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
35622100.360360354,-43130386.35186695,-43.13038635186695,75.10769268711394,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
35781840.720720716,-43615854.09802396,-43.61585409802396,74.866089170349,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
35941581.08108108,-44080186.66547037,-44.08018666547037,74.63573123074201,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
36101321.44144144,-44522644.180702806,-44.522644180702805,74.41688515134632,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
36261061.8018018,-44942523.742742,-44.942523742742004,74.20979990981571,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
36420802.16216216,-45339161.60382301,-45.339161603823015,74.0147068440885,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
36580542.52252252,-45711935.25068746,-45.71193525068746,73.83181935029114,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
36740282.88288288,-46060265.377702154,-46.06026537770215,73.66133261111017,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
36900023.24324324,-46383617.74340115,-46.383617743401146,73.50342335287681,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
37059763.6036036,-46681504.902457625,-46.681504902457625,73.35824962964018,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
37219503.96396396,-46953487.80553623,-46.953487805536234,73.22595063257039,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
37379244.324324325,-47199177.25995262,-47.19917725995262,73.10664652313173,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
37538984.68468468,-47418235.24457661,-47.41823524457661,73.00043828859506,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
37698725.04504504,-47610376.07295146,-47.61037607295146,72.9074076186159,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
37858465.4054054,-47775367.39916682,-47.775367399166825,72.82761680178812,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
38018205.765765764,-47913031.06161205,-47.913031061612045,72.76110864128849,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
38177946.126126125,-48023243.76034795,-48.023243760347945,72.7079063889533,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
38337686.48648649,-48105937.56446591,-48.10593756446591,72.66801369737114,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
38497426.84684684,-48161100.24645339,-48.16110024645339,72.6414145898295,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
38657167.2072072,-48188775.44124673,-48.18877544124673,72.62807344821984,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
38816907.567567565,-48189062.62832875,-48.18906262832875,72.6279350192746,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
38976647.927927926,-48162116.935913116,-48.16211693591312,72.64092443978393,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
39136388.28828829,-48108148.766948596,-48.108148766948595,72.66694728170964,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
39296128.64864865,-48027423.247371346,-48.027423247371345,72.70588961838055,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
39455869.009009,-47920259.49772937,-47.92025949772937,72.75761811320808,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
39615609.369369365,-47787029.72999689,-47.78702972999689,72.8219801326039,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
39775349.72972973,-47628158.172085196,-47.62815817208519,72.89880388500563,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
39935090.09009009,-47444119.82323807,-47.44411982323807,72.98789858812097,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
40094830.45045045,-47235439.04417041,-47.23543904417041,73.08905466667743,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
40254570.810810804,-47002687.98646623,-47.00268798646623,73.20204398311633,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
40414311.171171166,-46746484.86639376,-46.74648486639376,73.32662010378554,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
40574051.53153153,-46467492.088918224,-46.46749208891823,73.46251860326812,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
40733791.89189189,-46166414.2282947,-46.1664142282947,73.60945740952715,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
40893532.25225225,-45843995.87220108,-45.84399587220108,73.76713719254916,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
41053272.61261261,-45501019.33692351,-45.50101933692351,73.93524179912683,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
41213012.97297297,-45138302.261629894,-45.138302261629896,74.11343873633407,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
41372753.33333333,-44756695.09025935,-44.75669509025935,74.30137970611293,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
41532493.69369369,-44357078.45001712,-44.35707845001712,74.4987011932072,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
41692234.05405405,-43940360.4358878,-43.9403604358878,74.7050251084479,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
41851974.41441441,-43507473.81097094,-43.50747381097094,74.91995948911323,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
42011714.774774775,-43059373.13279258,-43.05937313279258,75.14309925775792,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
42171455.13513513,-42597031.81605828,-42.597031816058276,75.37402704053108,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
42331195.49549549,-42121439.14258347,-42.12143914258347,75.61231404558065,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
42490935.85585585,-41633597.22936563,-41.633597229365634,75.85752100168025,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
42650676.216216214,-41134517.965946995,-41.134517965947,76.10919915671292,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
42810416.576576576,-40625219.93235874,-40.62521993235874,76.36689133510907,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
42970156.93693694,-40106725.30903353,-40.10672530903353,76.63013305277165,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
43129897.29729729,-39580056.79012454,-39.580056790124544,76.89845368742954,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
43289637.65765765,-39046234.51167543,-39.04623451167543,77.1713777017527,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
43449378.018018015,-38506273.006046094,-38.506273006046094,77.44842591594184,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
43609118.37837838,-37961178.19391305,-37.96117819391305,77.72911682588114,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
43768858.73873874,-37411944.425034456,-37.411944425034456,78.01296796232093,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
43928599.0990991,-36859551.57879326,-36.85955157879326,78.29949728594725,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
44088339.459459454,-36304962.23531333,-36.30496223531333,78.58822461260411,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
44248079.819819815,-35749118.92768049,-35.74911892768049,78.87867306237118,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
44407820.18018018,-35192941.48549548,-35.19294148549548,79.1703705256719,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
44567560.54054054,-34637324.47963889,-34.63732447963889,79.46285113910375,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
44727300.9009009,-34083134.77774255,-34.08313477774255,79.75565676325009,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
44887041.261261255,-33531209.219436217,-33.531209219436214,80.04833845436066,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
45046781.621621616,-32982352.4199773,-32.9823524199773,80.3404579214806,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
45206521.98198198,-32437334.71037478,-32.43733471037478,80.63158896037275,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
45366262.34234234,-31896890.221587464,-31.896890221587466,80.92131885542074,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
45526002.7027027,-31361715.119817663,-31.361715119817664,81.20924974062387,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
45685743.063063055,-30832465.999329984,-30.832465999329983,81.49499991080356,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
45845483.423423424,-30309758.438609537,-30.30975843860954,81.7782050742369,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
46005223.78378378,-29794165.72503369,-29.79416572503369,82.05851953811674,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
46164964.14414415,-29286217.752568085,-29.286217752568085,82.33561731850965,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
46324704.5045045,-28786400.09631919,-28.78640009631919,82.60919316683966,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
46484444.864864856,-28295153.267075576,-28.295153267075577,82.87896350536923,False,False,True,False,active OGS open-niche liquid-pressure boundary condition,not_verified_as_direct_reconstruction_of_OT_RH5_to_OT_RH8
