source_file,source_sheet,sensor,date_iso,source_column,edz_band_cm,edz_min_cm,edz_max_cm,taupe_value,quantity_note
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-03-10T00:00:00,MV EDZ 0-50,0-50,0,50,10.221717914457855,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-03-10T00:00:00,MV EDZ 0-10,0-10,0,10,10.126772724665871,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-03-10T00:00:00,MV EDZ 10-20,10-20,10,20,10.17176946607858,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-03-10T00:00:00,MV EDZ 20-30,20-30,20,30,10.227171571515044,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-03-10T00:00:00,MV EDZ 30-40,30-40,30,40,10.249006958007813,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-03-10T00:00:00,MV EDZ 40-50,40-50,40,50,10.346491610900376,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-03-20T00:00:00,MV EDZ 0-50,0-50,0,50,10.231082402049768,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-03-20T00:00:00,MV EDZ 0-10,0-10,0,10,10.129800369100273,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-03-20T00:00:00,MV EDZ 10-20,10-20,10,20,10.180613567382814,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-03-20T00:00:00,MV EDZ 20-30,20-30,20,30,10.232331433408122,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
cda_knowledge_base/measurements/taupe_tdr/source_files/Taupe_WC.xlsx,A3,A3,2020-03-20T00:00:00,MV EDZ 30-40,30-40,30,40,10.25521801656928,Taupe workbook EDZ-band mean value; physical unit/conversion remains to be confirmed
