group,segment_label,start_label,end_label,sample_index,sample_count,sample_fraction,distance_along_segment_m,segment_length_2d_m,sample_spacing_target_m,lookup_x,lookup_y,lookup_status,inside_mesh_bbox,distance_to_mesh_bbox_m,containing_cell_id,nearest_cell_id,lookup_cell_id,lookup_material_id,nearest_centroid_x,nearest_centroid_y,nearest_centroid_distance_m
Charac. Bohrungen,BCD-A34,BCD-A34 Anfang,BCD-A34 Ende,0,41,0.0,0.0,3.998689126113928,0.1,11.964764035991738,-1.2688960000000111,outside_mesh_bbox_nearest_cell,False,6.964764035991738,-1,5763,5763,0,4.91221400377144,-0.7390450159297993,7.072425610940754
Charac. Bohrungen,BCD-A34,BCD-A34 Anfang,BCD-A34 Ende,1,41,0.025,0.0999672281528482,3.998689126113928,0.1,11.933506362421863,-1.3638507500000119,outside_mesh_bbox_nearest_cell,False,6.933506362421863,-1,5763,5763,0,4.91221400377144,-0.7390450159297993,7.0490374230081825
Charac. Bohrungen,BCD-A34,BCD-A34 Anfang,BCD-A34 Ende,2,41,0.05,0.1999344563056964,3.998689126113928,0.1,11.902248688851985,-1.4588055000000129,outside_mesh_bbox_nearest_cell,False,6.902248688851985,-1,5828,5828,0,4.8906615029022005,-1.78181480040215,7.019023427395117
Charac. Bohrungen,BCD-A34,BCD-A34 Anfang,BCD-A34 Ende,3,41,0.075,0.2999016844585446,3.998689126113928,0.1,11.87099101528211,-1.5537602500000136,outside_mesh_bbox_nearest_cell,False,6.87099101528211,-1,5828,5828,0,4.8906615029022005,-1.78181480040215,6.984053907249074
Charac. Bohrungen,BCD-A34,BCD-A34 Anfang,BCD-A34 Ende,4,41,0.1,0.3998689126113928,3.998689126113928,0.1,11.839733341712233,-1.6487150000000146,outside_mesh_bbox_nearest_cell,False,6.839733341712233,-1,5828,5828,0,4.8906615029022005,-1.78181480040215,6.950346392649055
Charac. Bohrungen,BCD-A34,BCD-A34 Anfang,BCD-A34 Ende,5,41,0.125,0.499836140764241,3.998689126113928,0.1,11.808475668142357,-1.7436697500000153,outside_mesh_bbox_nearest_cell,False,6.808475668142357,-1,5828,5828,0,4.8906615029022005,-1.78181480040215,6.917919330959819
Charac. Bohrungen,BCD-A34,BCD-A34 Anfang,BCD-A34 Ende,6,41,0.15,0.5998033689170892,3.998689126113928,0.1,11.77721799457248,-1.8386245000000163,outside_mesh_bbox_nearest_cell,False,6.77721799457248,-1,5828,5828,0,4.8906615029022005,-1.78181480040215,6.886790809581373
Charac. Bohrungen,BCD-A34,BCD-A34 Anfang,BCD-A34 Ende,7,41,0.175,0.6997705970699374,3.998689126113928,0.1,11.745960321002604,-1.933579250000017,outside_mesh_bbox_nearest_cell,False,6.745960321002604,-1,5828,5828,0,4.8906615029022005,-1.78181480040215,6.8569785134278005
Charac. Bohrungen,BCD-A34,BCD-A34 Anfang,BCD-A34 Ende,8,41,0.2,0.7997378252227856,3.998689126113928,0.1,11.714702647432727,-2.028534000000018,outside_mesh_bbox_nearest_cell,False,6.714702647432727,-1,5828,5828,0,4.8906615029022005,-1.78181480040215,6.82849968189907
Charac. Bohrungen,BCD-A34,BCD-A34 Anfang,BCD-A34 Ende,9,41,0.225,0.8997050533756338,3.998689126113928,0.1,11.683444973862851,-2.1234887500000186,outside_mesh_bbox_nearest_cell,False,6.683444973862851,-1,5828,5828,0,4.8906615029022005,-1.78181480040215,6.801371065541861
Charac. Bohrungen,BCD-A34,BCD-A34 Anfang,BCD-A34 Ende,10,41,0.25,0.999672281528482,3.998689126113928,0.1,11.652187300292976,-2.2184435000000198,outside_mesh_bbox_nearest_cell,False,6.652187300292976,-1,5828,5828,0,4.8906615029022005,-1.78181480040215,6.775608882609259
Charac. Bohrungen,BCD-A34,BCD-A34 Anfang,BCD-A34 Ende,11,41,0.275,1.0996395096813303,3.998689126113928,0.1,11.620929626723099,-2.3133982500000205,outside_mesh_bbox_nearest_cell,False,6.620929626723099,-1,7663,7663,0,4.890130566926607,-2.7425167116862066,6.7444642958145495
Charac. Bohrungen,BCD-A34,BCD-A34 Anfang,BCD-A34 Ende,12,41,0.3,1.1996067378341784,3.998689126113928,0.1,11.589671953153223,-2.4083530000000213,outside_mesh_bbox_nearest_cell,False,6.589671953153223,-1,7663,7663,0,4.890130566926607,-2.7425167116862066,6.7078700175220405
Charac. Bohrungen,BCD-A34,BCD-A34 Anfang,BCD-A34 Ende,13,41,0.325,1.2995739659870267,3.998689126113928,0.1,11.558414279583346,-2.503307750000022,outside_mesh_bbox_nearest_cell,False,6.558414279583346,-1,7663,7663,0,4.890130566926607,-2.7425167116862066,6.672572862085068
Charac. Bohrungen,BCD-A34,BCD-A34 Anfang,BCD-A34 Ende,14,41,0.35,1.3995411941398748,3.998689126113928,0.1,11.52715660601347,-2.598262500000023,outside_mesh_bbox_nearest_cell,False,6.52715660601347,-1,7663,7663,0,4.890130566926607,-2.7425167116862066,6.63859351979817
Charac. Bohrungen,BCD-A34,BCD-A34 Anfang,BCD-A34 Ende,15,41,0.375,1.499508422292723,3.998689126113928,0.1,11.495898932443593,-2.693217250000024,outside_mesh_bbox_nearest_cell,False,6.495898932443593,-1,7663,7663,0,4.890130566926607,-2.7425167116862066,6.605952326181858
Charac. Bohrungen,BCD-A34,BCD-A34 Anfang,BCD-A34 Ende,16,41,0.4,1.5994756504455712,3.998689126113928,0.1,11.464641258873717,-2.7881720000000247,outside_mesh_bbox_nearest_cell,False,6.464641258873717,-1,7663,7663,0,4.890130566926607,-2.7425167116862066,6.574669211745781
Charac. Bohrungen,BCD-A34,BCD-A34 Anfang,BCD-A34 Ende,17,41,0.425,1.6994428785984192,3.998689126113928,0.1,11.43338358530384,-2.8831267500000255,outside_mesh_bbox_nearest_cell,False,6.43338358530384,-1,7663,7663,0,4.890130566926607,-2.7425167116862066,6.544763650841594
Charac. Bohrungen,BCD-A34,BCD-A34 Anfang,BCD-A34 Ende,18,41,0.45,1.7994101067512676,3.998689126113928,0.1,11.402125911733965,-2.9780815000000262,outside_mesh_bbox_nearest_cell,False,6.402125911733965,-1,7663,7663,0,4.890130566926607,-2.7425167116862066,6.5162546098419165
Charac. Bohrungen,BCD-A34,BCD-A34 Anfang,BCD-A34 Ende,19,41,0.475,1.8993773349041156,3.998689126113928,0.1,11.370868238164087,-3.073036250000027,outside_mesh_bbox_nearest_cell,False,6.370868238164087,-1,7663,7663,0,4.890130566926607,-2.7425167116862066,6.48916049490254
Charac. Bohrungen,BCD-A34,BCD-A34 Anfang,BCD-A34 Ende,20,41,0.5,1.999344563056964,3.998689126113928,0.1,11.339610564594212,-3.167991000000028,outside_mesh_bbox_nearest_cell,False,6.339610564594212,-1,7663,7663,0,4.890130566926607,-2.7425167116862066,6.46349909958458
Charac. Bohrungen,BCD-A34,BCD-A34 Anfang,BCD-A34 Ende,21,41,0.525,2.099311791209812,3.998689126113928,0.1,11.308352891024336,-3.262945750000029,outside_mesh_bbox_nearest_cell,False,6.308352891024336,-1,7663,7663,0,4.890130566926607,-2.7425167116862066,6.439287552630858
Charac. Bohrungen,BCD-A34,BCD-A34 Anfang,BCD-A34 Ende,22,41,0.55,2.1992790193626606,3.998689126113928,0.1,11.277095217454459,-3.3579005000000297,outside_mesh_bbox_nearest_cell,False,6.277095217454459,-1,7663,7663,0,4.890130566926607,-2.7425167116862066,6.416542266206296
