source_file,source_sheet,source_row_1based,campaign_year,campaign_note,block_label,twin,direction_inferred,interval_id,borehole_depth_m,permeability_m2,transmissibility_m3,log10_permeability_m2,positive_permeability
cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_CD-A_Permeability.xlsx,2021_BCDA27_19,5,2021,1. MessEinsatz (März. 2021),BCDA_27 Closed twin,closed,horizontal,,0.25,1e-18,1.0000000000000001e-19,-18.0,True
cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_CD-A_Permeability.xlsx,2021_BCDA27_19,6,2021,1. MessEinsatz (März. 2021),BCDA_27 Closed twin,closed,horizontal,,0.35,2e-19,2.0000000000000002e-20,-18.69897000433602,True
cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_CD-A_Permeability.xlsx,2021_BCDA27_19,7,2021,1. MessEinsatz (März. 2021),BCDA_27 Closed twin,closed,horizontal,,0.45,6e-20,6.0000000000000006e-21,-19.221848749616356,True
cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_CD-A_Permeability.xlsx,2021_BCDA27_19,8,2021,1. MessEinsatz (März. 2021),BCDA_27 Closed twin,closed,horizontal,,0.55,4e-20,4e-21,-19.397940008672037,True
cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_CD-A_Permeability.xlsx,2021_BCDA27_19,9,2021,1. MessEinsatz (März. 2021),BCDA_27 Closed twin,closed,horizontal,,0.65,3e-20,3.0000000000000003e-21,-19.522878745280337,True
cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_CD-A_Permeability.xlsx,2021_BCDA27_19,10,2021,1. MessEinsatz (März. 2021),BCDA_27 Closed twin,closed,horizontal,,0.75,1e-21,9.999999999999999e-23,-21.0,True
cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_CD-A_Permeability.xlsx,2021_BCDA27_19,11,2021,1. MessEinsatz (März. 2021),BCDA_27 Closed twin,closed,horizontal,,0.85,2e-20,2e-21,-19.69897000433602,True
cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_CD-A_Permeability.xlsx,2021_BCDA27_19,12,2021,1. MessEinsatz (März. 2021),BCDA_27 Closed twin,closed,horizontal,,0.95,9e-20,9.000000000000001e-21,-19.045757490560675,True
cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_CD-A_Permeability.xlsx,2021_BCDA27_19,13,2021,1. MessEinsatz (März. 2021),BCDA_27 Closed twin,closed,horizontal,,1.05,1e-20,1e-21,-20.0,True
cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_CD-A_Permeability.xlsx,2021_BCDA27_19,14,2021,1. MessEinsatz (März. 2021),BCDA_27 Closed twin,closed,horizontal,,1.15,1e-20,1e-21,-20.0,True
cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_CD-A_Permeability.xlsx,2021_BCDA27_19,15,2021,1. MessEinsatz (März. 2021),BCDA_27 Closed twin,closed,horizontal,,1.25,2e-20,2e-21,-19.69897000433602,True
cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_CD-A_Permeability.xlsx,2021_BCDA27_19,16,2021,1. MessEinsatz (März. 2021),BCDA_27 Closed twin,closed,horizontal,,1.7,2e-20,2e-21,-19.69897000433602,True
cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_CD-A_Permeability.xlsx,2021_BCDA27_19,17,2021,1. MessEinsatz (März. 2021),BCDA_27 Closed twin,closed,horizontal,,2.5,8e-17,8e-18,-16.096910013008056,True
cda_knowledge_base/measurements/permeability_pulse_tests/source_files/2025-09-05_CD-A_Permeability.xlsx,2021_BCDA27_19,18,2021,1. MessEinsatz (März. 2021),BCDA_27 Closed twin,closed,horizontal,,3.3,5e-20,5.0000000000000005e-21,-19.30102999566398,True
