run_id,run_kind,compared_series_count,compared_sensor_count,compared_edz_band_count,compared_rows_total,aggregate_taupe_trend_mae,aggregate_taupe_mae_rank,combined_active_objective,equal_series_mae,row_weighted_from_series_mae,equal_sensor_mae,equal_edz_band_mae,a3_only_equal_series_mae,a4_only_equal_series_mae,drop_worst_series_mae,trim_best_worst_series_mae,series_mae_min,series_mae_max,series_mae_range,series_mae_std,mean_delta_sign_agreement_fraction,mean_model_taupe_standardized_pearson,aggregate_row_weighted_rank,equal_series_rank,equal_sensor_rank,equal_edz_band_rank,a3_only_equal_series_rank,a4_only_equal_series_rank,drop_worst_series_rank,trim_best_worst_series_rank,rank_spread_across_weighting_modes,mean_rank_across_weighting_modes,worst_rank_across_weighting_modes
regularized_ogs_candidate_001_length_0p025m,regularized_ogs,12,2,6,1860,1.8525878514054863,9.0,3166.611452441739,1.8525878514054863,1.8525878514054863,1.8525878514054863,1.8525878514054863,1.8691054604091297,1.8360702424018427,1.685739284494497,1.7531335217276856,1.011796912162612,3.687922087426368,2.676125175263756,1.0013659264796153,0.6849462365591398,0.1740645109363602,9.0,9.0,9.0,9.0,9.0,58.0,10.0,10.0,49.0,15.375,58.0
broad_continuous_001_001_length_0p023m_shift_1p004,broad_continuous,12,2,6,1860,1.8547658366194848,10.0,3159.0596578385903,1.854765836619486,1.8547658366194855,1.8547658366194855,1.854765836619486,1.8743462722468671,1.8351854009921038,1.6880637024020577,1.7557752191752862,1.0109485346697735,3.688489313011192,2.6775407783414185,1.0020504575691922,0.6849462365591398,0.17362436028874728,10.0,10.0,10.0,10.0,10.0,56.0,11.0,11.0,46.0,16.0,56.0
lower_support_loop_001_003_length_0p004m_shift_1p014,lower_support,12,2,6,1860,1.8631442996598964,16.0,3156.4439739755694,1.8631442996598964,1.8631442996598966,1.8631442996598966,1.8631442996598964,1.8976683368504357,1.8286202624693573,1.691890168071921,1.7600224856344944,1.0105669924461822,3.746939747127629,2.7363727546814465,1.0152786425294047,0.6849462365591398,0.17385620962524864,16.0,16.0,16.0,16.0,25.0,6.0,17.0,17.0,19.0,16.125,25.0
lower_support_loop_001_001_length_0p003m_shift_1p006,lower_support,12,2,6,1860,1.863182465347745,17.0,3156.3730086472674,1.8631824653477447,1.8631824653477447,1.863182465347745,1.8631824653477447,1.8976842660721598,1.8286806646233298,1.6919266527264734,1.7600623585896955,1.0105695940942525,3.7469964041817296,2.736426810087477,1.0152967248886147,0.6849462365591398,0.1738559223144186,17.0,17.0,17.0,17.0,26.0,7.0,18.0,18.0,19.0,17.125,26.0
regularized_ogs_candidate_002_length_0p025m_shift_0p750,regularized_ogs,12,2,6,1860,1.856246237082688,11.0,3198.4872116155457,1.8562462370826875,1.8562462370826878,1.8562462370826878,1.8562462370826875,1.8758123877922326,1.8366800863731427,1.6883174186085197,1.7560277677116596,1.0112139275771224,3.703463240298535,2.6922493127214127,1.0050097277564274,0.6838709677419356,0.17439565881418742,11.0,11.0,11.0,11.0,11.0,59.0,12.0,12.0,48.0,17.25,59.0
adaptive_combined_003_length_0p075m,adaptive_combined,12,2,6,1860,1.862538039063356,13.0,3353.8828587143416,1.862538039063356,1.862538039063356,1.862538039063356,1.862538039063356,1.8810594998252474,1.8440165783014641,1.6820300008191666,1.7467870589856809,1.034459419154025,3.8481264597494382,2.813667040595413,1.0081689336615733,0.6897849462365592,0.17603766721829836,13.0,13.0,13.0,13.0,12.0,66.0,4.0,4.0,62.0,17.25,66.0
regularized_ogs_candidate_003_length_0p025m_shift_0p500,regularized_ogs,12,2,6,1860,1.8615981820429024,12.0,3289.6453640522564,1.8615981820429024,1.8615981820429028,1.8615981820429024,1.8615981820429026,1.8875906929113855,1.8356056711744193,1.691864548265427,1.7600037993971624,1.0104720369480735,3.728668153595132,2.7181961166470585,1.009564570500495,0.6838709677419356,0.17468079607718787,12.0,12.0,12.0,12.0,13.0,57.0,16.0,16.0,45.0,18.75,57.0
local_basis_sampler_003_basis_029_det_l_0p0100_s_1p000,local_basis,12,2,6,1860,1.8632029805911825,18.0,3156.3542661780352,1.863202980591182,1.8632029805911818,1.863202980591182,1.863202980591182,1.8976957601896534,1.8287102009927108,1.6919462351066918,1.760083605522182,1.0105725309517912,3.747027180920576,2.7364546499687847,1.0153077640021042,0.6849462365591398,0.17385418104936412,18.0,18.0,18.0,18.0,33.0,8.0,20.0,20.0,25.0,19.125,33.0
production_sampler_round2_001_basis_003_det_l_0p0015_s_0p750,production_sampler_round,12,2,6,1860,1.863203752459492,19.0,3156.361078643836,1.8632037524594924,1.8632037524594927,1.8632037524594922,1.8632037524594924,1.8976932600866772,1.828714244832307,1.6919469672218297,1.7600845599057553,1.0105710403825696,3.747028390073784,2.7364573496912143,1.0153068110893786,0.6849462365591398,0.173855769547671,19.0,19.0,19.0,19.0,28.0,11.0,21.0,21.0,17.0,19.625,28.0
production_sampler_round2_003_basis_013_det_l_0p0035_s_0p750,production_sampler_round,12,2,6,1860,1.863203752469824,20.0,3156.361078643816,1.8632037524698244,1.8632037524698242,1.8632037524698242,1.8632037524698244,1.8976932601077774,1.8287142448318707,1.6919469672277145,1.760084559912233,1.01057104038253,3.747028390133031,2.736457349750501,1.0153068110953243,0.6849462365591398,0.1738557695478439,20.0,20.0,20.0,20.0,29.0,9.0,22.0,22.0,20.0,20.25,29.0
production_sampler_round2_004_basis_018_det_l_0p0050_s_0p750,production_sampler_round,12,2,6,1860,1.8632037524718403,21.0,3156.3610786433155,1.8632037524718406,1.8632037524718401,1.8632037524718403,1.8632037524718406,1.8976932601114698,1.8287142448322105,1.6919469672288872,1.7600845599135133,1.0105710403826245,3.7470283901443246,2.7364573497617,1.0153068110972872,0.6849462365591398,0.17385576954780738,21.0,21.0,21.0,21.0,30.0,10.0,23.0,23.0,20.0,21.25,30.0
production_sampler_round2_002_basis_008_det_l_0p0025_s_0p750,production_sampler_round,12,2,6,1860,1.8632037524743024,22.0,3156.3610786435147,1.8632037524743021,1.8632037524743028,1.8632037524743028,1.8632037524743026,1.8976932601155585,1.828714244833047,1.691946967230662,1.760084559915483,1.0105710403824486,3.747028390154348,2.7364573497718996,1.0153068110982304,0.6849462365591398,0.17385576954783766,22.0,22.0,22.0,22.0,31.0,12.0,24.0,24.0,19.0,22.375,31.0
production_sampler_round2_005_basis_023_det_l_0p0075_s_0p750,production_sampler_round,12,2,6,1860,1.8632038985054304,23.0,3156.3547580979066,1.8632038985054304,1.8632038985054302,1.8632038985054304,1.8632038985054304,1.8976922401578158,1.828715556853045,1.6919477732125345,1.7600854668228876,1.0105708371090028,3.747021276727286,2.7364504396182836,1.0153075305716306,0.6849462365591398,0.1738550825150819,23.0,23.0,23.0,23.0,27.0,13.0,25.0,25.0,14.0,22.75,27.0
production_sampler_round4_002_basis_009_det_l_0p0025_s_1p000,production_sampler_round,12,2,6,1860,1.8632108603701,24.0,3156.361469672941,1.8632108603701,1.8632108603700999,1.8632108603700999,1.8632108603701,1.8976962807995623,1.8287254399406372,1.6919537447506772,1.7600919669714703,1.0105715225427507,3.747039132183748,2.7364676096409974,1.0153101790841903,0.6849462365591398,0.17385571973980998,24.0,24.0,24.0,24.0,34.0,17.0,26.0,26.0,17.0,24.875,34.0
local_basis_sampler_001_basis_004_det_l_0p0015_s_1p000,local_basis,12,2,6,1860,1.863210860373134,25.0,3156.361469672912,1.8632108603731339,1.863210860373134,1.863210860373134,1.863210860373134,1.8976962808061624,1.8287254399401054,1.691953744751865,1.7600919669727877,1.0105715225426393,3.747039132207092,2.7364676096644525,1.0153101790867758,0.6849462365591398,0.17385571973992817,25.0,25.0,25.0,25.0,35.0,15.0,27.0,27.0,20.0,25.5,35.0
continuous_proposed_002_length_0p007m,continuous_proposed,12,2,6,1860,1.8632301001238376,30.0,3157.741295991051,1.863230100123838,1.8632301001238385,1.8632301001238378,1.8632301001238378,1.8979194097806742,1.8285407904670017,1.6918567794099681,1.7599821253904409,1.0106033196052404,3.748336627976407,2.7377333083711664,1.0152239446269777,0.6849462365591398,0.1739373546194385,30.0,30.0,30.0,30.0,57.0,4.0,14.0,14.0,53.0,26.125,57.0
production_sampler_round3_005_basis_019_det_l_0p0050_s_1p000,production_sampler_round,12,2,6,1860,1.863210860373616,26.0,3156.3614696727627,1.8632108603736164,1.8632108603736162,1.8632108603736164,1.8632108603736162,1.8976962808063014,1.828725439940931,1.691953744752108,1.760091966973039,1.0105715225427971,3.747039132210205,2.736467609667408,1.0153101790883807,0.6849462365591398,0.17385571973996158,26.0,26.0,26.0,26.0,36.0,19.0,28.0,28.0,17.0,26.875,36.0
direct_fit_observation_run,direct_reference,12,2,6,1860,1.8632108603748925,27.0,3156.361469672924,1.8632108603748925,1.8632108603748923,1.8632108603748923,1.8632108603748925,1.8976962808095177,1.828725439940267,1.6919537447531583,1.7600919669742137,1.0105715225426068,3.7470391322139656,2.736467609671359,1.0153101790874968,0.6849462365591398,0.17385571973998337,27.0,27.0,27.0,27.0,37.0,16.0,29.0,29.0,21.0,27.375,37.0
production_sampler_round3_006_basis_014_det_l_0p0035_s_1p000,production_sampler_round,12,2,6,1860,1.86321086038198,28.0,3156.3614696725817,1.8632108603819795,1.8632108603819795,1.8632108603819797,1.8632108603819797,1.8976962808232638,1.8287254399406956,1.6919537447562052,1.7600919669775525,1.010571522542736,3.747039132265495,2.7364676097227587,1.0153101790939683,0.6849462365591398,0.17385571974025518,28.0,28.0,28.0,28.0,38.0,18.0,30.0,30.0,20.0,28.5,38.0
local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000,local_basis,12,2,6,1860,1.863211058631399,29.0,3156.353066948979,1.8632110586313988,1.8632110586313986,1.863211058631399,1.863211058631399,1.8976949250868245,1.8287271921759736,1.6919548208113533,1.7600931777575055,1.0105712513498293,3.747029674651904,2.736458423302075,1.0153111386478386,0.6849462365591398,0.17385480607596984,29.0,29.0,29.0,29.0,32.0,20.0,31.0,31.0,12.0,28.75,32.0
