series_id,sensor,edz_band_cm,row_count,date_min,date_max,baseline_rows,baseline_date_min,baseline_date_max,baseline_taupe_value,robust_scale_taupe_value,min_taupe_value,max_taupe_value,first_taupe_value,final_taupe_value,net_change_taupe_value,net_change_standardized,row_count_from_operator,date_min_from_operator,date_max_from_operator,mapping_statuses,operator_statuses,semantic_activation_gate,mapped_trend_rows,outside_current_mesh_rows,segment_labels,band_mean_porosity_min,band_mean_porosity_median,band_mean_porosity_max,taupe_value_min,taupe_value_median,taupe_value_max,standardized_anomaly_min,standardized_anomaly_median,standardized_anomaly_max,wc_percent_candidate_physical_rows,topp_candidate_physical_rows,linear_eps6_candidate_physical_rows,recommended_use
A4_30-40cm,A4,30-40,212,2019-12-01,2025-10-10,3,2019-12-01,2019-12-20,10.345433226126032,0.0150993488803431,10.246482399938015,10.357376477623967,10.330660818042356,10.261651790769628,-0.0690090272727275,-4.570331331476551,212,2019-12-01,2025-10-10,mapped_band_samples,trend_operator_ready_absolute_calibration_pending,trend_series_ready_pending_ogs_outputs_absolute_calibration_blocked,212,0,BCD-A4,0.1078447474245111,0.1078447474245111,0.1078447474245111,10.246482399938015,10.282220592835746,10.357376477623967,-6.553317429259198,-4.186447627061611,0.7909779151789939,212,0,212,trend diagnostic against same-series band-average theta_model anomaly
A4_40-50cm,A4,40-50,212,2019-12-01,2025-10-10,3,2019-12-01,2019-12-20,10.389585133165705,0.0229423236872861,10.246257779415703,10.406990478925,10.406990478925,10.254449306858884,-0.1525411720661154,-6.648898086580857,212,2019-12-01,2025-10-10,mapped_band_samples,trend_operator_ready_absolute_calibration_pending,trend_series_ready_pending_ogs_outputs_absolute_calibration_blocked,212,0,BCD-A4,0.1546897095322866,0.1546897095322866,0.1546897095322866,10.246257779415703,10.28388331753812,10.406990478925,-6.247290191857355,-4.607284644238522,0.7586566206866975,212,0,212,trend diagnostic against same-series band-average theta_model anomaly
A7_0-10cm,A7,0-10,212,2019-12-01,2025-10-10,3,2019-12-01,2019-12-20,10.18895858307335,0.1590955413287656,10.154201427210744,10.567156820315084,10.19383263247934,10.532991217190084,0.3391585847107432,2.131791889817222,212,2019-12-01,2025-10-10,band_samples_outside_mesh,band_samples_outside_mesh,excluded_current_mesh_outside_support,0,212,BCD-A7,,,,10.154201427210744,10.405562761451266,10.567156820315084,-0.21846719004388,1.361472336489379,2.3771768465855425,0,0,0,retain as source data; outside current mesh support
A7_0-50cm,A7,0-50,212,2019-12-01,2025-10-10,3,2019-12-01,2019-12-20,10.304275925980098,0.1268159124132474,10.267565303610825,10.708115418764308,10.30936920409209,10.67815746746358,0.3687882633714903,2.9080598511150715,212,2019-12-01,2025-10-10,band_samples_outside_mesh,band_samples_outside_mesh,excluded_current_mesh_outside_support,0,212,BCD-A7,,,,10.267565303610825,10.564414739979188,10.708115418764308,-0.2894796218446702,2.0513105102409543,3.184454419791121,0,0,0,retain as source data; outside current mesh support
A7_10-20cm,A7,10-20,212,2019-12-01,2025-10-10,3,2019-12-01,2019-12-20,10.329542199106406,0.1132981260906389,10.28964474355372,10.712649093553718,10.341360426714877,10.687024589524794,0.3456641628099177,3.0509256837433054,212,2019-12-01,2025-10-10,band_samples_outside_mesh,band_samples_outside_mesh,excluded_current_mesh_outside_support,0,212,BCD-A7,,,,10.28964474355372,10.57405253080837,10.712649093553718,-0.3521457673604159,2.1581145261515946,3.381405391831684,0,0,0,retain as source data; outside current mesh support
A7_20-30cm,A7,20-30,212,2019-12-01,2025-10-10,3,2019-12-01,2019-12-20,10.405838336585743,0.090900967572242,10.365881440433885,10.861699230826444,10.40337795603306,10.8254845461157,0.4221065900826399,4.643587426582424,212,2019-12-01,2025-10-10,band_samples_outside_mesh,band_samples_outside_mesh,excluded_current_mesh_outside_support,0,212,BCD-A7,,,,10.365881440433885,10.739896046076963,10.861699230826444,-0.4395651357627574,3.6749631870060364,5.014917953193539,0,0,0,retain as source data; outside current mesh support
A7_30-40cm,A7,30-40,212,2019-12-01,2025-10-10,3,2019-12-01,2019-12-20,10.420326154478303,0.093739930997913,10.382318911735537,10.89468237,10.43946490357438,10.86123880605372,0.4217739024793392,4.499404874628396,212,2019-12-01,2025-10-10,band_samples_outside_mesh,band_samples_outside_mesh,excluded_current_mesh_outside_support,0,212,BCD-A7,,,,10.382318911735537,10.77530023541033,10.89468237,-0.4054541361206532,3.7867969087787126,5.0603431266901175,0,0,0,retain as source data; outside current mesh support
A7_40-50cm,A7,40-50,212,2019-12-01,2025-10-10,3,2019-12-01,2019-12-20,10.471436983403926,0.0799219241453023,10.426096653161157,11.004376182086776,10.486508598099174,10.969842318347103,0.4833337202479288,6.047573621591018,212,2019-12-01,2025-10-10,band_samples_outside_mesh,band_samples_outside_mesh,excluded_current_mesh_outside_support,0,212,BCD-A7,,,,10.426096653161157,10.877571114537709,11.004376182086776,-0.5673077910428976,5.081636052648182,6.668247847911397,0,0,0,retain as source data; outside current mesh support
A8_0-10cm,A8,0-10,212,2019-12-01,2025-10-10,3,2019-12-01,2019-12-20,9.919334277820932,0.1080164308555755,9.87126613789583,10.169160816692315,9.87126613789583,10.114032287469692,0.2427661495738622,2.2474927902261017,212,2019-12-01,2025-10-10,band_samples_outside_mesh,band_samples_outside_mesh,excluded_current_mesh_outside_support,0,212,BCD-A8,,,,9.87126613789583,10.047657139897122,10.169160816692315,-0.4450076672999083,1.1879939103687402,2.312856820879564,0,0,0,retain as source data; outside current mesh support
A8_0-50cm,A8,0-50,212,2019-12-01,2025-10-10,3,2019-12-01,2019-12-20,10.006295803331094,0.084702754311073,9.974866232146455,10.21660016071013,9.974866232146455,10.138860741065226,0.1639945089187708,1.936117783330833,212,2019-12-01,2025-10-10,band_samples_outside_mesh,band_samples_outside_mesh,excluded_current_mesh_outside_support,0,212,BCD-A8,,,,9.974866232146455,10.108691511619337,10.21660016071013,-0.3710572512106572,1.208882864802634,2.4828514620278743,0,0,0,retain as source data; outside current mesh support
A8_10-20cm,A8,10-20,212,2019-12-01,2025-10-10,3,2019-12-01,2019-12-20,10.038761366094072,0.0884125155986755,10.000997744980952,10.245429705918454,10.012257578813596,10.156348467695311,0.1440908888817151,1.6297566911881172,212,2019-12-01,2025-10-10,band_samples_outside_mesh,band_samples_outside_mesh,excluded_current_mesh_outside_support,0,212,BCD-A8,,,,10.000997744980952,10.129582890035188,10.245429705918454,-0.4271298114006585,1.0272473679334806,2.3375461994826283,0,0,0,retain as source data; outside current mesh support
A8_20-30cm,A8,20-30,212,2019-12-01,2025-10-10,3,2019-12-01,2019-12-20,10.072544400479403,0.0683313235249198,10.035963285487153,10.250951058020725,10.05326141216587,10.15215913188436,0.0988977197184901,1.4473262717123132,212,2019-12-01,2025-10-10,band_samples_outside_mesh,band_samples_outside_mesh,excluded_current_mesh_outside_support,0,212,BCD-A8,,,,10.035963285487153,10.146622299401148,10.250951058020725,-0.5353491357284998,1.084098698816049,2.6109059262734498,0,0,0,retain as source data; outside current mesh support
A8_30-40cm,A8,30-40,212,2019-12-01,2025-10-10,3,2019-12-01,2019-12-20,10.087624748750478,0.0714612229360326,10.034763709977234,10.26354379525874,10.069968504052648,10.166029511167832,0.0960610071151837,1.3442396193131372,212,2019-12-01,2025-10-10,band_samples_outside_mesh,band_samples_outside_mesh,excluded_current_mesh_outside_support,0,212,BCD-A8,,,,10.034763709977234,10.156543991849652,10.26354379525874,-0.7397164028463651,0.9644285427478034,2.461741337196704,0,0,0,retain as source data; outside current mesh support
A8_40-50cm,A8,40-50,212,2019-12-01,2025-10-10,3,2019-12-01,2019-12-20,10.041465186966596,0.0677339895791298,10.020490983828685,10.225173460189732,10.020490983828685,10.126738595757915,0.1062476119292306,1.5686011201969343,212,2019-12-01,2025-10-10,band_samples_outside_mesh,band_samples_outside_mesh,excluded_current_mesh_outside_support,0,212,BCD-A8,,,,10.020490983828685,10.12557551415926,10.225173460189732,-0.3096555107448345,1.2417742955241613,2.7122021656279327,0,0,0,retain as source data; outside current mesh support
