run_id,run_kind,run_dir,state_sample_rows,ogs_output_times,diagnostic_rows,compared_rows,compared_series,outside_time_tolerance_rows,operator_not_mapped_rows,taupe_trend_residual_mean,taupe_trend_mae,taupe_trend_rmse,taupe_trend_p50_abs,taupe_trend_p90_abs,combined_active_objective,combined_active_component_count,direct_permeability_objective,nmr_state_objective,nmr_state_rmse,taupe_mae_delta_from_reference,taupe_mae_rank,combined_objective_rank
lower_support_continuous_003_length_0p004m_shift_0p994,lower_support,inversion_workflow/runs/lower_support_continuous_003_length_0p004m_shift_0p994,37184,83,5088,1860,12,684,2544,-0.4839760992059378,1.8632393579378337,2.3543030032164056,1.471284751244326,4.060310539929595,3156.3848793875413,2,269.8354940466319,2886.5493853409093,5.483449896184682,2.8497562941209864e-05,32.0,23.0
lower_support_loop_001_001_length_0p003m_shift_1p006,lower_support,inversion_workflow/runs/lower_support_loop_001_001_length_0p003m_shift_1p006,37184,83,5088,1860,12,684,2544,-0.4838606656289798,1.863182465347745,2.3542381137275843,1.471348879601745,4.060257446609123,3156.3730086472674,2,269.83548846393245,2886.537520183335,5.483438626316192,-2.8395027147576357e-05,17.0,21.0
lower_support_loop_001_002_length_0p005m_shift_0p985,lower_support,inversion_workflow/runs/lower_support_loop_001_002_length_0p005m_shift_0p985,37184,83,5088,1860,12,684,2544,-0.4840630832037783,1.863282206988614,2.3543518749027825,1.4712367652580538,4.0605636286495495,3156.485265083342,2,269.92678633517795,2886.558478748164,5.483458533349189,7.134661372143469e-05,36.0,27.0
lower_support_loop_001_003_length_0p004m_shift_1p014,lower_support,inversion_workflow/runs/lower_support_loop_001_003_length_0p004m_shift_1p014,37184,83,5088,1860,12,684,2544,-0.4837832633300303,1.8631442996598964,2.354194582602588,1.4713921673512564,4.060261151928478,3156.4439739755694,2,269.91428213785247,2886.529691837717,5.483431190715313,-6.656071499611116e-05,16.0,25.0
lower_support_loop_002_001_length_0p004m_shift_0p992,lower_support,inversion_workflow/runs/lower_support_loop_002_001_length_0p004m_shift_0p992,37184,83,5088,1860,12,684,2544,-0.4839940119893099,1.863248183527256,2.354313069274751,1.4712748458024003,4.060362774129389,3156.399181991058,2,269.84793480410434,2886.551247186954,5.483451664617592,3.732315236359973e-05,33.0,24.0
lower_support_loop_002_002_length_0p004m_shift_1p020,lower_support,inversion_workflow/runs/lower_support_loop_002_002_length_0p004m_shift_1p020,37184,83,5088,1860,12,684,2544,-0.4837279315155645,1.863117009286771,2.354163454758873,1.471423257232089,4.060263765698688,3156.534153206201,2,270.0099953051288,2886.5241579010726,5.483425934407811,-9.385108812143272e-05,15.0,28.0
lower_support_loop_002_003_length_0p006m_shift_0p975,lower_support,inversion_workflow/runs/lower_support_loop_002_003_length_0p006m_shift_0p975,37184,83,5088,1860,12,684,2544,-0.4841661890154997,1.8633329714627165,2.354409775069564,1.4711802590759306,4.06086178751318,3156.704034323091,2,270.13460474436965,2886.5694295787216,5.483468934726601,0.00012211108782400615,37.0,29.0
optimizer_proposed_001_length_0p019m_shift_1p125,optimizer_proposed,inversion_workflow/runs/optimizer_proposed_001_length_0p019m_shift_1p125,37184,83,5088,1860,12,684,2544,-0.4981202098557397,1.8656652164396208,2.3556707521811093,1.4789455637124385,4.078851439063672,3172.692798165477,2,277.42946417328494,2895.263333992192,5.491720410073574,0.0024543560647283247,61.0,67.0
optimizer_proposed_002_length_0p019m_shift_0p875,optimizer_proposed,inversion_workflow/runs/optimizer_proposed_002_length_0p019m_shift_0p875,37184,83,5088,1860,12,684,2544,-0.5000805274498182,1.866755119678178,2.3570886861435048,1.4785112527403494,4.080591150230831,3172.373457220063,2,277.42946417328494,2894.943993046778,5.491417539600979,0.003544259303285502,66.0,66.0
optimizer_proposed_003_length_0p025m_shift_1p125,optimizer_proposed,inversion_workflow/runs/optimizer_proposed_003_length_0p025m_shift_1p125,37184,83,5088,1860,12,684,2544,-0.4644206535917951,1.8510803833817504,2.3365704052680303,1.4595782818672818,4.035226302747303,3173.394559307052,2,277.0195396568697,2896.3750196501824,5.492774628669564,-0.01213047699314207,6.0,68.0
production_sampler_001_length_0p004m_shift_0p954,production_sampler,inversion_workflow/runs/production_sampler_001_length_0p004m_shift_0p954,37184,83,5088,1860,12,684,2544,-0.4843732131883418,1.8634348079574783,2.354525930751409,1.4710680215854826,4.061454331190702,3157.461681147704,2,270.8696911370958,2886.591990010608,5.483490363136467,0.00022394758258581504,44.0,37.0
