file,name,timestep,time_s,point_count,cell_type,cell_count,point_fields,cell_fields
/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/ogs_output/results_cd-a_03_01_ts_0027_t_23328000.000000.vtu,results_cd-a_03_01_ts_0027_t_23328000.000000.vtu,27,23328000.0,20873,triangle6,10239,displacement;pressure;saturation;temperature,
/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/ogs_output/results_cd-a_03_01_ts_0029_t_25056000.000000.vtu,results_cd-a_03_01_ts_0029_t_25056000.000000.vtu,29,25056000.0,20873,triangle6,10239,displacement;pressure;saturation;temperature,
/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/ogs_output/results_cd-a_03_01_ts_0031_t_26784000.000000.vtu,results_cd-a_03_01_ts_0031_t_26784000.000000.vtu,31,26784000.0,20873,triangle6,10239,displacement;pressure;saturation;temperature,
/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/ogs_output/results_cd-a_03_01_ts_0033_t_28512000.000000.vtu,results_cd-a_03_01_ts_0033_t_28512000.000000.vtu,33,28512000.0,20873,triangle6,10239,displacement;pressure;saturation;temperature,
/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/ogs_output/results_cd-a_03_01_ts_0035_t_30240000.000000.vtu,results_cd-a_03_01_ts_0035_t_30240000.000000.vtu,35,30240000.0,20873,triangle6,10239,displacement;pressure;saturation;temperature,
/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/ogs_output/results_cd-a_03_01_ts_0037_t_31968000.000000.vtu,results_cd-a_03_01_ts_0037_t_31968000.000000.vtu,37,31968000.0,20873,triangle6,10239,displacement;pressure;saturation;temperature,
/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/ogs_output/results_cd-a_03_01_ts_0039_t_33696000.000000.vtu,results_cd-a_03_01_ts_0039_t_33696000.000000.vtu,39,33696000.0,20873,triangle6,10239,displacement;pressure;saturation;temperature,
/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/ogs_output/results_cd-a_03_01_ts_0041_t_35424000.000000.vtu,results_cd-a_03_01_ts_0041_t_35424000.000000.vtu,41,35424000.0,20873,triangle6,10239,displacement;pressure;saturation;temperature,
/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/ogs_output/results_cd-a_03_01_ts_0043_t_37152000.000000.vtu,results_cd-a_03_01_ts_0043_t_37152000.000000.vtu,43,37152000.0,20873,triangle6,10239,displacement;pressure;saturation;temperature,
/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/ogs_output/results_cd-a_03_01_ts_0045_t_38880000.000000.vtu,results_cd-a_03_01_ts_0045_t_38880000.000000.vtu,45,38880000.0,20873,triangle6,10239,displacement;pressure;saturation;temperature,
/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/ogs_output/results_cd-a_03_01_ts_0047_t_40608000.000000.vtu,results_cd-a_03_01_ts_0047_t_40608000.000000.vtu,47,40608000.0,20873,triangle6,10239,displacement;pressure;saturation;temperature,
/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/ogs_output/results_cd-a_03_01_ts_0049_t_42336000.000000.vtu,results_cd-a_03_01_ts_0049_t_42336000.000000.vtu,49,42336000.0,20873,triangle6,10239,displacement;pressure;saturation;temperature,
/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/ogs_output/results_cd-a_03_01_ts_0051_t_44064000.000000.vtu,results_cd-a_03_01_ts_0051_t_44064000.000000.vtu,51,44064000.0,20873,triangle6,10239,displacement;pressure;saturation;temperature,
/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/ogs_output/results_cd-a_03_01_ts_0053_t_45792000.000000.vtu,results_cd-a_03_01_ts_0053_t_45792000.000000.vtu,53,45792000.0,20873,triangle6,10239,displacement;pressure;saturation;temperature,
/home/ber0061/Repositories/gesa_mails/SOTA_OGS_Mont_Terri_work/inversion_workflow/runs/local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000/ogs_output/results_cd-a_03_01_ts_0055_t_47520000.000000.vtu,results_cd-a_03_01_ts_0055_t_47520000.000000.vtu,55,47520000.0,20873,triangle6,10239,displacement;pressure;saturation;temperature,
