observation_id,source_sheet,campaign_year,block_label,normalized_segment_label,borehole_depth_m,target_status,usable_for_current_ogs_fit,used_in_objective,observed_permeability_m2,observed_log10_permeability_m2,log10_sigma,segment_tangent_x,segment_tangent_y,selected_cell_ids,prediction_note,predicted_permeability_m2,predicted_log10_permeability_m2,prediction_cell_count,log10_residual_pred_minus_obs,normalized_residual,unweighted_objective_contribution,duplicate_group_key,duplicate_count,objective_weight,objective_contribution
perm_0043,2024_CT,2024,BCDA_35,BCD-A35,0.59,mapped_outside_mesh,False,False,1e-21,-21.0,0.5,0.9576091780545404,-0.2880705852837248,5763.0,,1.2647065634646106e-19,-18.898010227571955,1,2.1019897724280447,4.2039795448560895,,,0,0.0,
perm_0044,2024_CT,2024,BCDA_35,BCD-A35,0.73,mapped_outside_mesh,False,False,8e-20,-19.096910013008056,0.5,0.9576091780545404,-0.2880705852837248,5763.0,,1.2647065634646106e-19,-18.898010227571955,1,0.19889978543610098,0.39779957087220197,,,0,0.0,
perm_0045,2024_CT,2024,BCDA_35,BCD-A35,0.87,mapped_outside_mesh,False,False,4e-20,-19.39794000867204,0.5,0.9576091780545404,-0.2880705852837248,5763.0,,1.2647065634646106e-19,-18.898010227571955,1,0.4999297811000858,0.9998595622001716,,,0,0.0,
perm_0046,2024_CT,2024,BCDA_35,BCD-A35,1.01,mapped_outside_mesh,False,False,1e-20,-20.0,0.5,0.9576091780545404,-0.2880705852837248,5763.0,,1.2647065634646106e-19,-18.898010227571955,1,1.1019897724280447,2.2039795448560895,,,0,0.0,
perm_0047,2024_CT,2024,BCDA_35,BCD-A35,1.15,mapped_outside_mesh,False,False,9e-20,-19.045757490560675,0.5,0.9576091780545404,-0.2880705852837248,5763.0,,1.2647065634646106e-19,-18.898010227571955,1,0.14774726298871954,0.2954945259774391,,,0,0.0,
perm_0048,2024_CT,2024,BCDA_35,BCD-A35,1.29,mapped_outside_mesh,False,False,6e-20,-19.22184874961636,0.5,0.9576091780545404,-0.2880705852837248,5763.0,,1.2647065634646106e-19,-18.898010227571955,1,0.32383852204440444,0.6476770440888089,,,0,0.0,
perm_0049,2024_CT,2024,BCDA_35,BCD-A35,1.7,mapped_outside_mesh,False,False,4e-21,-20.39794000867204,0.5,0.9576091780545404,-0.2880705852837248,5763.0,,1.2647065634646106e-19,-18.898010227571955,1,1.4999297811000858,2.9998595622001716,,,0,0.0,
perm_0050,2024_CT,2024,BCDA_35,BCD-A35,2.5,mapped_outside_mesh,False,False,4e-21,-20.39794000867204,0.5,0.9576091780545404,-0.2880705852837248,5763.0,,1.2647065634646106e-19,-18.898010227571955,1,1.4999297811000858,2.9998595622001716,,,0,0.0,
perm_0051,2024_CT,2024,BCDA_35,BCD-A35,3.3,mapped_outside_mesh,False,False,4e-21,-20.39794000867204,0.5,0.9576091780545404,-0.2880705852837248,5828.0,,1.428735261102972e-19,-18.845048236774904,1,1.5528917718971371,3.1057835437942742,,,0,0.0,
perm_0052,2021_BCDA27_19,2021,BCDA_26,BCD-A26,0.15,missing_segment_geometry,False,False,6e-18,-17.221848749616356,0.5,,,,no cell mapping available,,,0,,,,,0,0.0,
perm_0053,2021_BCDA27_19,2021,BCDA_26,BCD-A26,0.25,missing_segment_geometry,False,False,3e-18,-17.522878745280337,0.5,,,,no cell mapping available,,,0,,,,,0,0.0,
perm_0054,2021_BCDA27_19,2021,BCDA_26,BCD-A26,0.35,missing_segment_geometry,False,False,6e-15,-14.221848749616356,0.5,,,,no cell mapping available,,,0,,,,,0,0.0,
perm_0055,2021_BCDA27_19,2021,BCDA_26,BCD-A26,0.45,missing_segment_geometry,False,False,7e-17,-16.154901959985743,0.5,,,,no cell mapping available,,,0,,,,,0,0.0,
perm_0056,2021_BCDA27_19,2021,BCDA_26,BCD-A26,0.55,missing_segment_geometry,False,False,1e-19,-19.0,0.5,,,,no cell mapping available,,,0,,,,,0,0.0,
perm_0057,2021_BCDA27_19,2021,BCDA_26,BCD-A26,0.65,missing_segment_geometry,False,False,2e-20,-19.69897000433602,0.5,,,,no cell mapping available,,,0,,,,,0,0.0,
perm_0058,2021_BCDA27_19,2021,BCDA_26,BCD-A26,0.75,missing_segment_geometry,False,False,1e-20,-20.0,0.5,,,,no cell mapping available,,,0,,,,,0,0.0,
perm_0059,2021_BCDA27_19,2021,BCDA_26,BCD-A26,0.85,missing_segment_geometry,False,False,2e-20,-19.69897000433602,0.5,,,,no cell mapping available,,,0,,,,,0,0.0,
perm_0060,2021_BCDA27_19,2021,BCDA_26,BCD-A26,0.95,missing_segment_geometry,False,False,6e-20,-19.22184874961636,0.5,,,,no cell mapping available,,,0,,,,,0,0.0,
perm_0061,2021_BCDA27_19,2021,BCDA_26,BCD-A26,1.05,missing_segment_geometry,False,False,5e-20,-19.30102999566398,0.5,,,,no cell mapping available,,,0,,,,,0,0.0,
perm_0062,2021_BCDA27_19,2021,BCDA_26,BCD-A26,1.15,missing_segment_geometry,False,False,6e-21,-20.22184874961636,0.5,,,,no cell mapping available,,,0,,,,,0,0.0,
perm_0063,2021_BCDA27_19,2021,BCDA_26,BCD-A26,1.25,missing_segment_geometry,False,False,1e-20,-20.0,0.5,,,,no cell mapping available,,,0,,,,,0,0.0,
perm_0064,2021_BCDA27_19,2021,BCDA_26,BCD-A26,1.7,missing_segment_geometry,False,False,8e-21,-20.096910013008056,0.5,,,,no cell mapping available,,,0,,,,,0,0.0,
perm_0065,2021_BCDA27_19,2021,BCDA_26,BCD-A26,2.5,missing_segment_geometry,False,False,8e-21,-20.096910013008056,0.5,,,,no cell mapping available,,,0,,,,,0,0.0,
perm_0066,2021_BCDA27_19,2021,BCDA_26,BCD-A26,3.3,missing_segment_geometry,False,False,6e-21,-20.22184874961636,0.5,,,,no cell mapping available,,,0,,,,,0,0.0,
perm_0067,2021_BCDA27_19,2021,BCDA_27 Closed twin,BCD-A27,0.15,missing_segment_geometry,False,False,8e-17,-16.096910013008056,0.5,,,,no cell mapping available,,,0,,,,,0,0.0,
perm_0068,2021_BCDA27_19,2021,BCDA_27 Closed twin,BCD-A27,0.25,missing_segment_geometry,False,False,1e-18,-18.0,0.5,,,,no cell mapping available,,,0,,,,,0,0.0,
perm_0069,2021_BCDA27_19,2021,BCDA_27 Closed twin,BCD-A27,0.35,missing_segment_geometry,False,False,2e-19,-18.69897000433602,0.5,,,,no cell mapping available,,,0,,,,,0,0.0,
perm_0070,2021_BCDA27_19,2021,BCDA_27 Closed twin,BCD-A27,0.45,missing_segment_geometry,False,False,6e-20,-19.22184874961636,0.5,,,,no cell mapping available,,,0,,,,,0,0.0,
perm_0071,2021_BCDA27_19,2021,BCDA_27 Closed twin,BCD-A27,0.55,missing_segment_geometry,False,False,4e-20,-19.39794000867204,0.5,,,,no cell mapping available,,,0,,,,,0,0.0,
perm_0072,2021_BCDA27_19,2021,BCDA_27 Closed twin,BCD-A27,0.65,missing_segment_geometry,False,False,3e-20,-19.522878745280337,0.5,,,,no cell mapping available,,,0,,,,,0,0.0,
perm_0073,2021_BCDA27_19,2021,BCDA_27 Closed twin,BCD-A27,0.75,missing_segment_geometry,False,False,1e-21,-21.0,0.5,,,,no cell mapping available,,,0,,,,,0,0.0,
perm_0074,2021_BCDA27_19,2021,BCDA_27 Closed twin,BCD-A27,0.85,missing_segment_geometry,False,False,2e-20,-19.69897000433602,0.5,,,,no cell mapping available,,,0,,,,,0,0.0,
perm_0075,2021_BCDA27_19,2021,BCDA_27 Closed twin,BCD-A27,0.95,missing_segment_geometry,False,False,9e-20,-19.045757490560675,0.5,,,,no cell mapping available,,,0,,,,,0,0.0,
perm_0076,2021_BCDA27_19,2021,BCDA_27 Closed twin,BCD-A27,1.05,missing_segment_geometry,False,False,1e-20,-20.0,0.5,,,,no cell mapping available,,,0,,,,,0,0.0,
