observation_id,source_sheet,campaign_year,block_label,normalized_segment_label,borehole_depth_m,target_status,usable_for_current_ogs_fit,used_in_objective,observed_log10_permeability_m2,predicted_log10_permeability_m2,log10_residual_pred_minus_obs,abs_log10_residual,normalized_residual,objective_weight,duplicate_count,prediction_cell_count,selected_cell_ids,selected_material_ids,support_cell_count,support_cell_ids,support_material_ids,current_log10_prediction_from_cells,configured_scalar_feasible_log10_min,configured_scalar_feasible_log10_max,configured_scalar_min_multiplier_min,configured_scalar_max_multiplier_min,configured_scalar_max_multiplier_max,configured_scalar_feasibility_status,headroom_up_log10_from_current,headroom_down_log10_from_current,residual_band,residual_sign,recommended_next_action
perm_0021,2024_OT,2024,BCDA_33,BCD-A33,1.15,mapped_inside_mesh,True,True,-15.154901959985745,-17.10032972527321,-1.945427765287464,1.945427765287464,-3.890855530574928,0.5,2,1,5030.0,,1.0,5030,0,-17.10032972527321,-21.695279282565984,-12.09321929123802,2.541267853177191e-05,101650.71412708767,101650.71412708767,observed_inside_configured_scalar_range,5.007110434035189,4.594949557292775,abs_1_to_2_log10,underpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
perm_0022,2024_OT,2024,BCDA_33,BCD-A33,1.25,mapped_inside_mesh,True,True,-16.045757490560675,-17.63380312008852,-1.5880456295278442,1.5880456295278442,-3.1760912590556885,0.5,2,1,5749.0,,1.0,5749,0,-17.63380312008852,-21.695279282565984,-12.09321929123802,8.680082191540857e-05,347203.28766163444,347203.28766163444,observed_inside_configured_scalar_range,5.540583828850499,4.061476162477465,abs_1_to_2_log10,underpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
perm_0023,2024_OT,2024,BCDA_33,BCD-A33,1.7,mapped_inside_mesh,True,True,-16.30102999566398,-18.349485002168013,-2.0484550065040317,2.0484550065040317,-4.096910013008063,0.5,2,1,4317.0,,1.0,4317,0,-18.349485002168013,-21.695279282565984,-12.09321929123802,0.00045103030108867726,1804121.204354709,1804121.204354709,observed_inside_configured_scalar_range,6.256265710929993,3.345794280397971,abs_2_to_3_log10,underpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
perm_0024,2024_OT,2024,BCDA_33,BCD-A33,3.3,mapped_inside_mesh,True,True,-20.096910013008056,-20.397940008672037,-0.30102999566398125,0.30102999566398125,-0.6020599913279625,0.5,2,1,3864.0,,1.0,3864,0,-20.397940008672037,-21.695279282565984,-12.09321929123802,0.05042672065732371,201706882.62929487,201706882.62929487,observed_inside_configured_scalar_range,8.304720717434018,1.2973392738939467,abs_lt_0p5_log10,underpredicts_observation,locally_consistent_under_current_log10_sigma
perm_0025,2024_CT,2024,BCDA_34,BCD-A34,0.15,mapped_outside_mesh,False,False,-17.30102999566398,-19.156825219949596,-1.8557952242856146,1.8557952242856146,-3.711590448571229,0.0,0,1,5828.0,,1.0,5828,0,-19.156825219949596,-21.943149205711865,-12.341089214383903,0.0016355959038180344,6542383.615272138,6542383.615272138,observed_inside_configured_scalar_range,6.815736005565693,2.7863239857622695,abs_1_to_2_log10,underpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
perm_0026,2024_CT,2024,BCDA_34,BCD-A34,0.25,mapped_outside_mesh,False,False,-19.522878745280337,-19.156825219949596,0.36605352533074154,0.36605352533074154,0.7321070506614831,0.0,0,1,5828.0,,1.0,5828,0,-19.156825219949596,-21.943149205711865,-12.341089214383903,0.0016355959038180344,6542383.615272138,6542383.615272138,observed_inside_configured_scalar_range,6.815736005565693,2.7863239857622695,abs_lt_0p5_log10,overpredicts_observation,locally_consistent_under_current_log10_sigma
perm_0027,2024_CT,2024,BCDA_34,BCD-A34,0.35,mapped_outside_mesh,False,False,-19.045757490560675,-19.156825219949596,-0.11106772938892107,0.11106772938892107,-0.22213545877784213,0.0,0,1,5828.0,,1.0,5828,0,-19.156825219949596,-21.943149205711865,-12.341089214383903,0.0016355959038180344,6542383.615272138,6542383.615272138,observed_inside_configured_scalar_range,6.815736005565693,2.7863239857622695,abs_lt_0p5_log10,underpredicts_observation,locally_consistent_under_current_log10_sigma
perm_0028,2024_CT,2024,BCDA_34,BCD-A34,0.45,mapped_outside_mesh,False,False,-19.096910013008056,-19.156825219949596,-0.05991520694153962,0.05991520694153962,-0.11983041388307925,0.0,0,1,5828.0,,1.0,5828,0,-19.156825219949596,-21.943149205711865,-12.341089214383903,0.0016355959038180344,6542383.615272138,6542383.615272138,observed_inside_configured_scalar_range,6.815736005565693,2.7863239857622695,abs_lt_0p5_log10,underpredicts_observation,locally_consistent_under_current_log10_sigma
perm_0029,2024_CT,2024,BCDA_34,BCD-A34,0.55,mapped_outside_mesh,False,False,-13.0,-19.156825219949596,-6.156825219949596,6.156825219949596,-12.313650439899192,0.0,0,1,5828.0,,1.0,5828,0,-19.156825219949596,-21.943149205711865,-12.341089214383903,0.0016355959038180344,6542383.615272138,6542383.615272138,observed_inside_configured_scalar_range,6.815736005565693,2.7863239857622695,abs_ge_3_log10,underpredicts_observation,review support_geometry_gas_to_water_conversion_or_uncertainty_before_more_ogs
perm_0030,2024_CT,2024,BCDA_34,BCD-A34,0.65,mapped_outside_mesh,False,False,-19.30102999566398,-19.156825219949596,0.1442047757143854,0.1442047757143854,0.2884095514287708,0.0,0,1,5828.0,,1.0,5828,0,-19.156825219949596,-21.943149205711865,-12.341089214383903,0.0016355959038180344,6542383.615272138,6542383.615272138,observed_inside_configured_scalar_range,6.815736005565693,2.7863239857622695,abs_lt_0p5_log10,overpredicts_observation,locally_consistent_under_current_log10_sigma
