observation_id,source_sheet,campaign_year,normalized_segment_label,borehole_depth_m,primary_cell_id,observed_log10_permeability_m2,predicted_log10_permeability_m2,log10_residual_pred_minus_obs,abs_log10_residual,normalized_residual,objective_weight,duplicate_count,configured_scalar_feasibility_status,residual_sign,recommended_next_action,gaussian_row_loss,gaussian_row_loss_share,capped_abs1_log10_row_loss,huber_delta_2sigma_row_loss,student_t_nu4_row_loss,policy_class
perm_0161,2024,2024,BCD-A32,3.3,3671,-20.30102999566398,-20.41195437047216,-0.110924374808178,0.110924374808178,-0.221848749616356,1.0,1,observed_inside_configured_scalar_range,underpredicts_observation,locally_consistent_under_current_log10_sigma,0.02460843385317031,9.12038064357719e-05,0.02460843385317031,0.02460843385317031,0.030572838256269257,ordinary_gaussian_row
perm_0175,2024,2024,BCD-A32,2.5,5948,-20.522878745280337,-20.41195437047216,0.110924374808178,0.110924374808178,0.221848749616356,1.0,1,observed_inside_configured_scalar_range,overpredicts_observation,locally_consistent_under_current_log10_sigma,0.02460843385317031,9.12038064357719e-05,0.02460843385317031,0.02460843385317031,0.030572838256269257,ordinary_gaussian_row
perm_0176,2024,2024,BCD-A32,3.3,3671,-20.522878745280337,-20.41195437047216,0.110924374808178,0.110924374808178,0.221848749616356,1.0,1,observed_inside_configured_scalar_range,overpredicts_observation,locally_consistent_under_current_log10_sigma,0.02460843385317031,9.12038064357719e-05,0.02460843385317031,0.02460843385317031,0.030572838256269257,ordinary_gaussian_row
perm_0010,2024_OT,2024,BCD-A32,2.5,5948,-20.30102999566398,-20.41195437047216,-0.110924374808178,0.110924374808178,-0.221848749616356,0.5,2,observed_inside_configured_scalar_range,underpredicts_observation,locally_consistent_under_current_log10_sigma,0.012304216926585156,4.560190321788595e-05,0.012304216926585156,0.012304216926585156,0.015286419128134629,ordinary_gaussian_row
perm_0160,2024,2024,BCD-A32,2.5,5948,-20.30102999566398,-20.41195437047216,-0.110924374808178,0.110924374808178,-0.221848749616356,0.5,2,observed_inside_configured_scalar_range,underpredicts_observation,locally_consistent_under_current_log10_sigma,0.012304216926585156,4.560190321788595e-05,0.012304216926585156,0.012304216926585156,0.015286419128134629,ordinary_gaussian_row
perm_0203,2024,2024,BCD-A33,3.3,3864,-20.39794000867204,-20.39794000867204,3.552713678800501e-15,3.552713678800501e-15,7.105427357601002e-15,1.0,1,observed_inside_configured_scalar_range,overpredicts_observation,locally_consistent_under_current_log10_sigma,2.524354896707238e-29,9.355767081651122e-32,2.524354896707238e-29,2.524354896707238e-29,3.155443620884047e-29,ordinary_gaussian_row
perm_0020,2024_OT,2024,BCD-A33,1.05,5034,-14.69897000433602,-14.69897000433602,1.7763568394002505e-15,1.7763568394002505e-15,3.552713678800501e-15,0.5,2,observed_inside_configured_scalar_range,overpredicts_observation,locally_consistent_under_current_log10_sigma,3.1554436208840472e-30,1.1694708852063903e-32,3.1554436208840472e-30,3.1554436208840472e-30,3.944304526105059e-30,ordinary_gaussian_row
perm_0186,2024,2024,BCD-A33,1.05,5034,-14.69897000433602,-14.69897000433602,1.7763568394002505e-15,1.7763568394002505e-15,3.552713678800501e-15,0.5,2,observed_inside_configured_scalar_range,overpredicts_observation,locally_consistent_under_current_log10_sigma,3.1554436208840472e-30,1.1694708852063903e-32,3.1554436208840472e-30,3.1554436208840472e-30,3.944304526105059e-30,ordinary_gaussian_row
perm_0013,2024_OT,2024,BCD-A33,0.35,9359,-16.096910013008056,-16.096910013008056,0.0,0.0,0.0,0.5,2,observed_inside_configured_scalar_range,zero_residual,locally_consistent_under_current_log10_sigma,0.0,0.0,0.0,0.0,0.0,ordinary_gaussian_row
perm_0017,2024_OT,2024,BCD-A33,0.75,6194,-14.154901959985745,-14.154901959985745,0.0,0.0,0.0,0.5,2,observed_inside_configured_scalar_range,zero_residual,locally_consistent_under_current_log10_sigma,0.0,0.0,0.0,0.0,0.0,ordinary_gaussian_row
perm_0164,2024,2024,BCD-A32,0.35,6995,-19.045757490560675,-19.045757490560675,0.0,0.0,0.0,1.0,1,observed_inside_configured_scalar_range,zero_residual,locally_consistent_under_current_log10_sigma,0.0,0.0,0.0,0.0,0.0,ordinary_gaussian_row
perm_0168,2024,2024,BCD-A32,0.75,5292,-19.096910013008056,-19.096910013008056,0.0,0.0,0.0,1.0,1,observed_inside_configured_scalar_range,zero_residual,locally_consistent_under_current_log10_sigma,0.0,0.0,0.0,0.0,0.0,ordinary_gaussian_row
perm_0171,2024,2024,BCD-A32,1.05,5046,-19.69897000433602,-19.69897000433602,0.0,0.0,0.0,1.0,1,observed_inside_configured_scalar_range,zero_residual,locally_consistent_under_current_log10_sigma,0.0,0.0,0.0,0.0,0.0,ordinary_gaussian_row
perm_0179,2024,2024,BCD-A33,0.35,9359,-16.096910013008056,-16.096910013008056,0.0,0.0,0.0,0.5,2,observed_inside_configured_scalar_range,zero_residual,locally_consistent_under_current_log10_sigma,0.0,0.0,0.0,0.0,0.0,ordinary_gaussian_row
perm_0183,2024,2024,BCD-A33,0.75,6194,-14.154901959985745,-14.154901959985745,0.0,0.0,0.0,0.5,2,observed_inside_configured_scalar_range,zero_residual,locally_consistent_under_current_log10_sigma,0.0,0.0,0.0,0.0,0.0,ordinary_gaussian_row
perm_0192,2024,2024,BCD-A33,0.17,1781,-19.39794000867204,-19.39794000867204,0.0,0.0,0.0,1.0,1,observed_inside_configured_scalar_range,zero_residual,locally_consistent_under_current_log10_sigma,0.0,0.0,0.0,0.0,0.0,ordinary_gaussian_row
perm_0196,2024,2024,BCD-A33,0.73,3539,-19.096910013008056,-19.096910013008056,0.0,0.0,0.0,1.0,1,observed_inside_configured_scalar_range,zero_residual,locally_consistent_under_current_log10_sigma,0.0,0.0,0.0,0.0,0.0,ordinary_gaussian_row
