downloads_path,relative_path,filename,normalized_filename,size_bytes,sha1,catalogue_status,catalogue_sha1_match,matching_catalogue_paths
/home/ber0061/Downloads/CDA_N4_2D_250403/results_cd-a_03_01_ts_0959_t_82857600.000000.vtu,CDA_N4_2D_250403/results_cd-a_03_01_ts_0959_t_82857600.000000.vtu,results_cd-a_03_01_ts_0959_t_82857600.000000.vtu,results_cd-a_03_01_ts_0959_t_82857600.000000.vtu,18207303,,downloads_relevant_name_candidate,,
/home/ber0061/Downloads/CDA_N4_2D_250403/results_cd-a_03_01_ts_0966_t_83462400.000000.vtu,CDA_N4_2D_250403/results_cd-a_03_01_ts_0966_t_83462400.000000.vtu,results_cd-a_03_01_ts_0966_t_83462400.000000.vtu,results_cd-a_03_01_ts_0966_t_83462400.000000.vtu,18206247,,downloads_relevant_name_candidate,,
/home/ber0061/Downloads/CDA_N4_2D_250403/results_cd-a_03_01_ts_0973_t_84067200.000000.vtu,CDA_N4_2D_250403/results_cd-a_03_01_ts_0973_t_84067200.000000.vtu,results_cd-a_03_01_ts_0973_t_84067200.000000.vtu,results_cd-a_03_01_ts_0973_t_84067200.000000.vtu,18203655,,downloads_relevant_name_candidate,,
/home/ber0061/Downloads/CDA_N4_2D_250403/results_cd-a_03_01_ts_0980_t_84672000.000000.vtu,CDA_N4_2D_250403/results_cd-a_03_01_ts_0980_t_84672000.000000.vtu,results_cd-a_03_01_ts_0980_t_84672000.000000.vtu,results_cd-a_03_01_ts_0980_t_84672000.000000.vtu,18199515,,downloads_relevant_name_candidate,,
/home/ber0061/Downloads/CDA_N4_2D_250403/results_cd-a_03_01_ts_0987_t_85276800.000000.vtu,CDA_N4_2D_250403/results_cd-a_03_01_ts_0987_t_85276800.000000.vtu,results_cd-a_03_01_ts_0987_t_85276800.000000.vtu,results_cd-a_03_01_ts_0987_t_85276800.000000.vtu,18199023,,downloads_relevant_name_candidate,,
/home/ber0061/Downloads/CDA_N4_2D_250403/results_cd-a_03_01_ts_0994_t_85881600.000000.vtu,CDA_N4_2D_250403/results_cd-a_03_01_ts_0994_t_85881600.000000.vtu,results_cd-a_03_01_ts_0994_t_85881600.000000.vtu,results_cd-a_03_01_ts_0994_t_85881600.000000.vtu,18197151,,downloads_relevant_name_candidate,,
/home/ber0061/Downloads/CDA_N4_2D_250403/results_cd-a_03_01_ts_1001_t_86486400.000000.vtu,CDA_N4_2D_250403/results_cd-a_03_01_ts_1001_t_86486400.000000.vtu,results_cd-a_03_01_ts_1001_t_86486400.000000.vtu,results_cd-a_03_01_ts_1001_t_86486400.000000.vtu,18194023,,downloads_relevant_name_candidate,,
/home/ber0061/Downloads/CDA_N4_2D_250403/results_cd-a_03_01_ts_1008_t_87091200.000000.vtu,CDA_N4_2D_250403/results_cd-a_03_01_ts_1008_t_87091200.000000.vtu,results_cd-a_03_01_ts_1008_t_87091200.000000.vtu,results_cd-a_03_01_ts_1008_t_87091200.000000.vtu,18193207,,downloads_relevant_name_candidate,,
/home/ber0061/Downloads/CDA_N4_2D_250403/results_cd-a_03_01_ts_1015_t_87696000.000000.vtu,CDA_N4_2D_250403/results_cd-a_03_01_ts_1015_t_87696000.000000.vtu,results_cd-a_03_01_ts_1015_t_87696000.000000.vtu,results_cd-a_03_01_ts_1015_t_87696000.000000.vtu,18191747,,downloads_relevant_name_candidate,,
/home/ber0061/Downloads/CDA_N4_2D_250403/results_cd-a_03_01_ts_1022_t_88300800.000000.vtu,CDA_N4_2D_250403/results_cd-a_03_01_ts_1022_t_88300800.000000.vtu,results_cd-a_03_01_ts_1022_t_88300800.000000.vtu,results_cd-a_03_01_ts_1022_t_88300800.000000.vtu,18189879,,downloads_relevant_name_candidate,,
