run_id,rank,cell_id,centroid_x_m,centroid_y_m,cell_area_m2,reference_log10_k_geom,candidate_log10_k_geom,delta_log10_k_geom,abs_delta_log10_k_geom,reference_log10_k_min,candidate_log10_k_min,reference_log10_k_max,candidate_log10_k_max,relative_tensor_frobenius
local_bracketed_003_length_0p031m,23,1938,-1.2469862297253833,-0.36299615504579236,0.00040814596238321213,-18.95104911184331,-16.27000251559797,2.6810465962453414,2.6810465962453414,-19.15001911617933,-16.46897251993399,-18.752079107507292,-16.07103251126195,478.78492287279613
local_bracketed_003_length_0p031m,24,1404,-1.2116422595848333,-0.49686054109677896,0.00030706105636993765,-18.973733206459002,-16.29268661021366,2.6810465962453414,2.6810465962453414,-19.17270321079502,-16.49165661454968,-18.774763202122983,-16.093716605877642,478.7849228727962
local_bracketed_003_length_0p031m,25,3279,-1.2148772336913265,-0.4154356551552077,0.00037572525196464895,-18.949299961881113,-16.268253365635772,2.6810465962453414,2.6810465962453414,-19.148269966217132,-16.46722336997179,-18.750329957545095,-16.069283361299753,478.78492287279624
production_sampler_round3_002_length_0p028m_shift_1p050,1,8349,-1.6755501732614568,-0.489238096054529,0.003096660060516067,-19.14690556820178,-13.052573001232055,6.094332566969726,6.094332566969726,-19.3458755725378,-13.251543005568074,-18.947935563865762,-12.853602996896036,1242602.4840575831
production_sampler_round3_002_length_0p028m_shift_1p050,2,9150,-1.6926256888715068,-0.6085221886134483,0.0029565069233257464,-19.16288630402443,-13.068553737054703,6.094332566969726,6.094332566969726,-19.361856308360448,-13.267523741390722,-18.96391629968841,-12.869583732718684,1242602.4840575855
production_sampler_round3_002_length_0p028m_shift_1p050,3,4977,-1.6162639276265933,-0.623913541794392,0.002317399843773364,-19.15394600094654,-13.059613433976814,6.094332566969726,6.094332566969726,-19.35291600528256,-13.258583438312833,-18.95497599661052,-12.860643429640795,1242602.4840575831
production_sampler_round3_002_length_0p028m_shift_1p050,4,3541,-1.68127498726719,-0.5661356956472403,0.002578805321418192,-19.156802443715176,-13.062469876745451,6.094332566969724,6.094332566969724,-19.355772448051194,-13.26143988108147,-18.957832439379157,-12.863499872409433,1242602.484057583
production_sampler_round3_002_length_0p028m_shift_1p050,5,8347,-1.7091873916729632,-0.5265266084960747,0.0031820257778288033,-19.156413289681844,-13.062080722712121,6.094332566969722,6.094332566969722,-19.355383294017866,-13.26105072704814,-18.957443285345825,-12.8631107183761,1242602.4840575804
production_sampler_round3_002_length_0p028m_shift_1p050,6,8058,-1.6123045437277934,-0.579365793549156,0.0017917688654833916,-19.14693272177644,-13.559517496182092,5.5874152255943486,5.5874152255943486,-19.34590272611246,-13.758487500518113,-18.947962717440422,-13.360547491846074,386735.55617952603
production_sampler_round3_002_length_0p028m_shift_1p050,7,8348,-1.63197475497348,-0.5106569267206214,0.0023413993708968172,-19.14105185310187,-13.565534089751742,5.575517763350129,5.575517763350129,-19.34002185743789,-13.76450409408776,-18.942081848765852,-13.366564085415723,376284.7426514357
production_sampler_round3_002_length_0p028m_shift_1p050,8,6198,0.6287262785885496,-1.7462899105350067,0.004416025866899624,-19.29127872402843,-13.987192421101255,5.304086302927175,5.304086302927175,-19.49024872836445,-14.186162425437274,-19.09230871969241,-13.788222416765237,201411.445657341
production_sampler_round3_002_length_0p028m_shift_1p050,9,9460,0.529363291264676,-1.7616537065994,0.004525716099736315,-19.295234448900278,-13.991148145973105,5.304086302927173,5.304086302927173,-19.494204453236296,-14.190118150309123,-19.09626444456426,-13.792178141637086,201411.445657341
production_sampler_round3_002_length_0p028m_shift_1p050,10,6658,0.6466628026535397,-2.0684455394240366,0.005153505424067849,-19.407119114703523,-14.581918720565303,4.8252003941382196,4.8252003941382196,-19.60608911903954,-14.780888724901322,-19.208149110367504,-14.382948716229285,66864.23790239995
production_sampler_round3_002_length_0p028m_shift_1p050,11,7685,-1.98807502023591,-0.7233939687865404,0.005277810143918523,-19.162724784411335,-15.382381867801332,3.780342916610003,3.780342916610003,-19.361694788747354,-15.58135187213735,-18.963754780075316,-15.183411863465311,6029.355517997632
production_sampler_round3_002_length_0p028m_shift_1p050,12,6434,0.5402703815395747,-1.3630394267371837,0.0009440362818185257,-19.041694624357092,-16.041206084452668,3.000488539904424,3.000488539904424,-19.24066462869311,-16.240176088788687,-18.842724620021073,-15.842236080116647,1000.1255376438643
production_sampler_round3_002_length_0p028m_shift_1p050,13,9621,0.42800445712842267,-1.4172653401320299,0.00137968168592557,-19.073230887111944,-16.07274234720752,3.000488539904424,3.000488539904424,-19.272200891447962,-16.27171235154354,-18.874260882775925,-15.8737723428715,1000.1255376438642
production_sampler_round3_002_length_0p028m_shift_1p050,14,3653,0.501145937512898,-1.3934652152154232,0.0010095123815512484,-19.060096974501388,-16.059608434596964,3.000488539904424,3.000488539904424,-19.259066978837406,-16.258578438932982,-18.86112697016537,-15.860638430260943,1000.1255376438644
production_sampler_round3_002_length_0p028m_shift_1p050,15,3762,0.548121974619463,-1.4135113688792333,0.001031324704762304,-19.075149635121537,-16.074661095217113,3.000488539904424,3.000488539904424,-19.274119639457556,-16.273631099553132,-18.87617963078552,-15.875691090881096,1000.1255376438643
production_sampler_round3_002_length_0p028m_shift_1p050,16,9620,0.4101891645411757,-1.44424012481654,0.0016642032437096765,-19.090103384039534,-16.08961484413511,3.000488539904424,3.000488539904424,-19.289073388375552,-16.288584848471128,-18.891133379703515,-15.890644839799092,1000.1255376438644
production_sampler_round3_002_length_0p028m_shift_1p050,17,3764,0.518497009009403,-1.4157060161226298,0.0012012252911705673,-19.075439303064094,-16.07495076315967,3.000488539904424,3.000488539904424,-19.274409307400113,-16.27392076749569,-18.876469298728075,-15.87598075882365,1000.1255376438642
production_sampler_round3_002_length_0p028m_shift_1p050,18,7000,0.459176953254458,-1.4200119085870666,0.0010757659748641942,-19.076087677310873,-16.075599137406453,3.0004885399044205,3.0004885399044205,-19.275057681646892,-16.27456914174247,-18.877117672974855,-15.876629133070432,1000.1255376438643
production_sampler_round3_002_length_0p028m_shift_1p050,19,1708,-1.24307761093156,-0.4238890882243467,0.00048750704610217945,-18.983453035901782,-16.152316209483132,2.83113682641865,2.83113682641865,-19.1824230402378,-16.35128621381915,-18.784483031565763,-15.953346205147112,676.85503523265
production_sampler_round3_002_length_0p028m_shift_1p050,20,2926,-1.2669033101781466,-0.44126878716084966,0.00045671243429819264,-19.00148503331761,-16.17034820689896,2.83113682641865,2.83113682641865,-19.20045503765363,-16.36931821123498,-18.802515028981592,-15.971378202562942,676.8550352326495
production_sampler_round3_002_length_0p028m_shift_1p050,21,821,-1.2754392412470468,-0.4048643300267843,0.0006219571155422926,-18.995104911292064,-16.163968084873414,2.83113682641865,2.83113682641865,-19.194074915628082,-16.362938089209432,-18.796134906956045,-15.964998080537393,676.8550352326502
production_sampler_round3_002_length_0p028m_shift_1p050,22,2944,-1.2532156954807032,-0.4736930346536499,0.0005665023059429255,-18.988187596862662,-16.173088670805054,2.8150989260576083,2.8150989260576083,-19.18715760119868,-16.372058675141073,-18.789217592526644,-15.974118666469037,652.2793433706526
production_sampler_round3_002_length_0p028m_shift_1p050,23,1410,-1.20224047848495,-0.4707159913964027,0.0004397219985427858,-18.960275964172695,-16.145177038115087,2.8150989260576083,2.8150989260576083,-19.159245968508714,-16.344147042451105,-18.761305959836676,-15.94620703377907,652.2793433706527
production_sampler_round3_002_length_0p028m_shift_1p050,24,1938,-1.2469862297253833,-0.36299615504579236,0.00040814596238321213,-18.95104911184331,-16.135950185785703,2.8150989260576083,2.8150989260576083,-19.15001911617933,-16.33492019012172,-18.752079107507292,-15.936980181449686,652.2793433706527
